resolution,coverage,stride,top1,n
112,10,1,0.07875,1600
112,10,2,0.0675,1600
112,10,4,0.05625,1600
112,10,8,0.0525,1600
112,10,16,0.0525,1600
112,25,1,0.14875,1600
112,25,2,0.13375,1600
112,25,4,0.11,1600
112,25,8,0.06625,1600
112,25,16,0.0525,1600
112,50,1,0.325,1600
112,50,2,0.346875,1600
112,50,4,0.23375,1600
112,50,8,0.11125,1600
112,50,16,0.069375,1600
112,75,1,0.59125,1600
112,75,2,0.565,1600
112,75,4,0.383125,1600
112,75,8,0.155,1600
112,75,16,0.088125,1600
112,100,1,0.715,1600
112,100,2,0.665625,1600
112,100,4,0.491875,1600
112,100,8,0.20375,1600
112,100,16,0.10125,1600
