resolution,coverage,stride,top1,n
224,10,1,0.085625,1600
224,10,2,0.073125,1600
224,10,4,0.06,1600
224,10,8,0.054375,1600
224,10,16,0.0525,1600
224,25,1,0.16125,1600
224,25,2,0.135,1600
224,25,4,0.11625,1600
224,25,8,0.071875,1600
224,25,16,0.05625,1600
224,50,1,0.358125,1600
224,50,2,0.3625,1600
224,50,4,0.234375,1600
224,50,8,0.126875,1600
224,50,16,0.07625,1600
224,75,1,0.614375,1600
224,75,2,0.575,1600
224,75,4,0.353125,1600
224,75,8,0.1525,1600
224,75,16,0.10375,1600
224,100,1,0.761875,1600
224,100,2,0.70375,1600
224,100,4,0.484375,1600
224,100,8,0.175,1600
224,100,16,0.11375,1600
