resolution,coverage,stride,top1,n
160,10,1,0.0925,1600
160,10,2,0.084375,1600
160,10,4,0.065625,1600
160,10,8,0.055625,1600
160,10,16,0.055,1600
160,25,1,0.17125,1600
160,25,2,0.1675,1600
160,25,4,0.143125,1600
160,25,8,0.095625,1600
160,25,16,0.06125,1600
160,50,1,0.40875,1600
160,50,2,0.391875,1600
160,50,4,0.351875,1600
160,50,8,0.241875,1600
160,50,16,0.13,1600
160,75,1,0.593125,1600
160,75,2,0.585625,1600
160,75,4,0.5575,1600
160,75,8,0.430625,1600
160,75,16,0.21875,1600
160,100,1,0.65875,1600
160,100,2,0.646875,1600
160,100,4,0.6375,1600
160,100,8,0.535625,1600
160,100,16,0.279375,1600
