model,dataset,method,accuracy,avg_frames
r3d_18,ucf101,fixed_cheap(cov100_s4),0.8163366336633663,4.0
r3d_18,ucf101,fixed_dense(cov100_s1),0.8123762376237624,16.0
r3d_18,ssv2,fixed_cheap(cov100_s4),0.3242748091603053,4.0
r3d_18,ssv2,fixed_dense(cov100_s1),0.3712977099236641,16.0
r3d_18,hmdb51,fixed_cheap(cov100_s4),0.7830508474576271,4.0
r3d_18,hmdb51,fixed_dense(cov100_s1),0.8033898305084746,16.0
r3d_18,diving48,fixed_cheap(cov100_s4),0.24629878869448182,4.0
r3d_18,diving48,fixed_dense(cov100_s1),0.288021534320323,16.0
r3d_18,autsl,fixed_cheap(cov100_s4),0.6803983703033046,4.0
r3d_18,autsl,fixed_dense(cov100_s1),0.7498868266183794,16.0
r3d_18,driveact,fixed_cheap(cov100_s4),0.5892857142857143,4.0
r3d_18,driveact,fixed_dense(cov100_s1),0.6830357142857143,16.0
r3d_18,epic_kitchens,fixed_cheap(cov100_s4),0.3568627450980392,4.0
r3d_18,epic_kitchens,fixed_dense(cov100_s1),0.3715686274509804,16.0
mc3_18,ucf101,fixed_cheap(cov100_s4),0.8534653465346534,4.0
mc3_18,ucf101,fixed_dense(cov100_s1),0.8539603960396039,16.0
mc3_18,ssv2,fixed_cheap(cov100_s4),0.30778625954198474,4.0
mc3_18,ssv2,fixed_dense(cov100_s1),0.33587786259541985,16.0
mc3_18,hmdb51,fixed_cheap(cov100_s4),0.7774011299435029,4.0
mc3_18,hmdb51,fixed_dense(cov100_s1),0.7864406779661017,16.0
mc3_18,diving48,fixed_cheap(cov100_s4),0.3149394347240915,4.0
mc3_18,diving48,fixed_dense(cov100_s1),0.3162853297442799,16.0
mc3_18,autsl,fixed_cheap(cov100_s4),0.6179266636487099,4.0
mc3_18,autsl,fixed_dense(cov100_s1),0.6373924852874604,16.0
mc3_18,driveact,fixed_cheap(cov100_s4),0.671875,4.0
mc3_18,driveact,fixed_dense(cov100_s1),0.6897321428571429,16.0
mc3_18,epic_kitchens,fixed_cheap(cov100_s4),0.36470588235294116,4.0
mc3_18,epic_kitchens,fixed_dense(cov100_s1),0.36176470588235293,16.0
r2plus1d_18,ucf101,fixed_cheap(cov100_s4),0.8886138613861386,4.0
r2plus1d_18,ucf101,fixed_dense(cov100_s1),0.8856435643564357,16.0
r2plus1d_18,ssv2,fixed_cheap(cov100_s4),0.3789312977099237,4.0
r2plus1d_18,ssv2,fixed_dense(cov100_s1),0.4256488549618321,16.0
r2plus1d_18,hmdb51,fixed_cheap(cov100_s4),0.7220338983050848,4.0
r2plus1d_18,hmdb51,fixed_dense(cov100_s1),0.7310734463276836,16.0
r2plus1d_18,diving48,fixed_cheap(cov100_s4),0.35800807537012114,4.0
r2plus1d_18,diving48,fixed_dense(cov100_s1),0.35262449528936746,16.0
r2plus1d_18,autsl,fixed_cheap(cov100_s4),0.6942055228610231,4.0
r2plus1d_18,autsl,fixed_dense(cov100_s1),0.7593933906745134,16.0
r2plus1d_18,driveact,fixed_cheap(cov100_s4),0.5558035714285714,4.0
r2plus1d_18,driveact,fixed_dense(cov100_s1),0.625,16.0
r2plus1d_18,epic_kitchens,fixed_cheap(cov100_s4),0.3392156862745098,4.0
r2plus1d_18,epic_kitchens,fixed_dense(cov100_s1),0.35490196078431374,16.0
slowfast_r50,ucf101,fixed_cheap(cov100_s4),0.8787128712871287,4.0
slowfast_r50,ucf101,fixed_dense(cov100_s1),0.8757425742574257,16.0
slowfast_r50,ssv2,fixed_cheap(cov100_s4),0.26534351145038165,4.0
slowfast_r50,ssv2,fixed_dense(cov100_s1),0.4949618320610687,16.0
slowfast_r50,hmdb51,fixed_cheap(cov100_s4),0.6745762711864407,4.0
slowfast_r50,hmdb51,fixed_dense(cov100_s1),0.7932203389830509,16.0
slowfast_r50,diving48,fixed_cheap(cov100_s4),0.41722745625841184,4.0
slowfast_r50,diving48,fixed_dense(cov100_s1),0.5047106325706595,16.0
slowfast_r50,autsl,fixed_cheap(cov100_s4),0.4146672702580353,4.0
slowfast_r50,autsl,fixed_dense(cov100_s1),0.822544137618832,16.0
slowfast_r50,driveact,fixed_cheap(cov100_s4),0.5691964285714286,4.0
slowfast_r50,driveact,fixed_dense(cov100_s1),0.7254464285714286,16.0
slowfast_r50,epic_kitchens,fixed_cheap(cov100_s4),0.3480392156862745,4.0
slowfast_r50,epic_kitchens,fixed_dense(cov100_s1),0.3941176470588235,16.0
timesformer,ucf101,fixed_cheap(cov100_s4),0.9108910891089109,4.0
timesformer,ucf101,fixed_dense(cov100_s1),0.9103960396039604,16.0
timesformer,ssv2,fixed_cheap(cov100_s4),0.41587786259541987,4.0
timesformer,ssv2,fixed_dense(cov100_s1),0.42290076335877863,16.0
timesformer,hmdb51,fixed_cheap(cov100_s4),0.7977401129943503,4.0
timesformer,hmdb51,fixed_dense(cov100_s1),0.7988700564971751,16.0
timesformer,diving48,fixed_cheap(cov100_s4),0.38627187079407804,4.0
timesformer,diving48,fixed_dense(cov100_s1),0.3822341857335128,16.0
