video_id,label_id,source_frames,distinct_frames,model_input_frames,span_pct,config,correct_top1,confidence,model,dataset
p1VKQa4N-hg,0,300,8,8,10,span10,False,0.013472583144903183,videomamba,kinetics400
9eTXpQq9QTA,0,300,8,8,10,span10,False,0.01367740798741579,videomamba,kinetics400
YgzCJmncmUA,0,300,8,8,10,span10,False,0.013683428056538105,videomamba,kinetics400
CBL6uetTPHg,0,300,8,8,10,span10,False,0.01349322497844696,videomamba,kinetics400
eHkBHH59-Js,0,300,8,8,10,span10,False,0.013557086698710918,videomamba,kinetics400
VHJGX13S_UY,0,300,8,8,10,span10,False,0.013549174182116985,videomamba,kinetics400
gGGlthnIB-4,0,300,8,8,10,span10,False,0.013587825931608677,videomamba,kinetics400
Zv09PB3YQAs,0,300,8,8,10,span10,False,0.013386474922299385,videomamba,kinetics400
lOpJLO8weZw,0,300,8,8,10,span10,False,0.013681204058229923,videomamba,kinetics400
xjhF2VEkh0E,0,300,8,8,10,span10,False,0.013579818420112133,videomamba,kinetics400
3caPS4FHFF8,0,300,8,8,10,span10,False,0.013470458798110485,videomamba,kinetics400
CQzUU7-cVck,0,300,8,8,10,span10,False,0.013495583087205887,videomamba,kinetics400
9EnSwbXxu5g,0,302,8,8,10,span10,False,0.013486274518072605,videomamba,kinetics400
G9zN5TTuGO4,0,300,8,8,10,span10,False,0.013666721060872078,videomamba,kinetics400
Ww61iwaFGrM,0,300,8,8,10,span10,False,0.013673313893377781,videomamba,kinetics400
O179fpfn1G4,0,300,8,8,10,span10,False,0.013171692378818989,videomamba,kinetics400
yq_M1PMw2hY,0,300,8,8,10,span10,False,0.013588134199380875,videomamba,kinetics400
qqJisE6m6XI,0,300,8,8,10,span10,False,0.013767040334641933,videomamba,kinetics400
rseBvhN6dio,0,300,8,8,10,span10,False,0.013788813725113869,videomamba,kinetics400
y3-3i88mNPc,0,282,8,8,10,span10,False,0.013665849342942238,videomamba,kinetics400
2cPLjY5AWXU,1,300,8,8,10,span10,False,0.013367097824811935,videomamba,kinetics400
XLkuBgAq6Bc,1,300,8,8,10,span10,False,0.013369540683925152,videomamba,kinetics400
oJmjFdkJDSg,1,299,8,8,10,span10,False,0.013676857575774193,videomamba,kinetics400
CSz0mcaxur4,1,236,8,8,10,span10,False,0.013673986308276653,videomamba,kinetics400
sHOUanBw4cE,1,193,8,8,10,span10,False,0.013555800542235374,videomamba,kinetics400
6Tnsmk9C2rg,1,300,8,8,10,span10,False,0.013463492505252361,videomamba,kinetics400
xVam2K4WJ54,1,300,8,8,10,span10,False,0.013666330836713314,videomamba,kinetics400
ZHubd5uJjQ4,1,261,8,8,10,span10,False,0.01368769258260727,videomamba,kinetics400
DcwyDVypfYg,1,299,8,8,10,span10,False,0.013688264414668083,videomamba,kinetics400
GUO-poN9EdQ,1,300,8,8,10,span10,False,0.013470141217112541,videomamba,kinetics400
cs4UM8n4-Jc,1,279,8,8,10,span10,False,0.01345761213451624,videomamba,kinetics400
--nQbRBEz2s,1,300,8,8,10,span10,False,0.013982672244310379,videomamba,kinetics400
iCT8VHCVRSc,1,300,8,8,10,span10,False,0.013471687212586403,videomamba,kinetics400
InSYAA9cJOs,1,300,8,8,10,span10,False,0.01349092647433281,videomamba,kinetics400
HoeC_GSXIqg,1,300,8,8,10,span10,False,0.013543123379349709,videomamba,kinetics400
pb803SLNzDU,1,300,8,8,10,span10,False,0.013684473931789398,videomamba,kinetics400
pj1OiSpSFI0,1,246,8,8,10,span10,False,0.013751700520515442,videomamba,kinetics400
WOCjeK86EVU,1,300,8,8,10,span10,False,0.013360708951950073,videomamba,kinetics400
3K0Sw7rbzPU,1,300,8,8,10,span10,False,0.013454527594149113,videomamba,kinetics400
wO9odHj7Ukw,1,300,8,8,10,span10,False,0.013469433411955833,videomamba,kinetics400
NqE4FpM7Ypk,2,300,8,8,10,span10,False,0.013765409588813782,videomamba,kinetics400
wvQ3DHI8wiQ,2,300,8,8,10,span10,False,0.013051587156951427,videomamba,kinetics400
u-xLgXHScxs,2,300,8,8,10,span10,False,0.01366537343710661,videomamba,kinetics400
SLJBlFHPinU,2,300,8,8,10,span10,False,0.013489842414855957,videomamba,kinetics400
UPujViBOznY,2,300,8,8,10,span10,False,0.013335072435438633,videomamba,kinetics400
EO15LGshDfQ,2,300,8,8,10,span10,False,0.013503088615834713,videomamba,kinetics400
EPtO8MgegKM,2,300,8,8,10,span10,False,0.013554854318499565,videomamba,kinetics400
Qbo_tnzfjOY,2,300,8,8,10,span10,False,0.013551149517297745,videomamba,kinetics400
lsUHYUUtqn0,2,300,8,8,10,span10,False,0.013656659051775932,videomamba,kinetics400
1438aE9LMgY,2,215,8,8,10,span10,False,0.013758232817053795,videomamba,kinetics400
wTdO7pISUgs,2,300,8,8,10,span10,False,0.013544866815209389,videomamba,kinetics400
0htNc0u9TDk,2,251,8,8,10,span10,False,0.013556757010519505,videomamba,kinetics400
ksSkRXtJmWg,2,300,8,8,10,span10,False,0.013576892204582691,videomamba,kinetics400
-emx5qjikEc,2,300,8,8,10,span10,False,0.013581572100520134,videomamba,kinetics400
tAnRE_25CsE,2,300,8,8,10,span10,False,0.013686017133295536,videomamba,kinetics400
njoCaIgSf7Q,2,300,8,8,10,span10,False,0.013456866145133972,videomamba,kinetics400
c6n1_Br_Gi0,2,300,8,8,10,span10,False,0.013659835793077946,videomamba,kinetics400
AZXoKz-EcL4,2,300,8,8,10,span10,False,0.013655216433107853,videomamba,kinetics400
79HQBfG8wMQ,2,300,8,8,10,span10,False,0.013474809937179089,videomamba,kinetics400
XAoAcyy2Psc,2,300,8,8,10,span10,False,0.01354365237057209,videomamba,kinetics400
jgBAA2mKCIM,3,300,8,8,10,span10,False,0.01342640072107315,videomamba,kinetics400
8xGUrnwsQJw,3,300,8,8,10,span10,False,0.013648473657667637,videomamba,kinetics400
5uVHxPCk7d4,3,300,8,8,10,span10,False,0.013650890439748764,videomamba,kinetics400
svVhMowxtT0,3,300,8,8,10,span10,False,0.013546377420425415,videomamba,kinetics400
CpeXj_A8YKY,3,300,8,8,10,span10,False,0.01358515303581953,videomamba,kinetics400
ohCzKMVmdEE,3,300,8,8,10,span10,False,0.013655384071171284,videomamba,kinetics400
8iWfa8K6q9k,3,300,8,8,10,span10,False,0.013443510979413986,videomamba,kinetics400
xpXwB-VsEs4,3,300,8,8,10,span10,False,0.013378912582993507,videomamba,kinetics400
YVx4Ct36FwQ,3,300,8,8,10,span10,False,0.01356220617890358,videomamba,kinetics400
-PgjjBi_gqM,3,300,8,8,10,span10,False,0.013668161816895008,videomamba,kinetics400
0CLLZNQN9aI,3,300,8,8,10,span10,False,0.01348350290209055,videomamba,kinetics400
1tZdoKrBtM0,3,300,8,8,10,span10,False,0.013545272871851921,videomamba,kinetics400
q9tSvBgtRo4,3,300,8,8,10,span10,False,0.013077947311103344,videomamba,kinetics400
ieIq7ym_UXQ,3,272,8,8,10,span10,False,0.013348380103707314,videomamba,kinetics400
nU8SAk0OogA,3,300,8,8,10,span10,False,0.013688399456441402,videomamba,kinetics400
j_OsTAVXTWQ,3,300,8,8,10,span10,False,0.013552085496485233,videomamba,kinetics400
k_jAwU5eWI8,3,300,8,8,10,span10,False,0.013560682535171509,videomamba,kinetics400
QqlTEhzK_Gw,3,300,8,8,10,span10,False,0.01326235756278038,videomamba,kinetics400
jJZQ9oDX2uw,3,300,8,8,10,span10,False,0.013654363341629505,videomamba,kinetics400
YSGHvSk3xqY,3,300,8,8,10,span10,False,0.013655239716172218,videomamba,kinetics400
a-Nl_2di4oU,4,301,8,8,10,span10,False,0.013658782467246056,videomamba,kinetics400
k1SgRqW-rnM,4,300,8,8,10,span10,False,0.013556152582168579,videomamba,kinetics400
V9UVEryEje8,4,300,8,8,10,span10,False,0.01365860179066658,videomamba,kinetics400
rFee2NCkWQE,4,300,8,8,10,span10,False,0.013498449698090553,videomamba,kinetics400
KgE1nhFYH4k,4,300,8,8,10,span10,False,0.01367165520787239,videomamba,kinetics400
TYqirauBM1w,4,300,8,8,10,span10,False,0.013575548306107521,videomamba,kinetics400
tLaGXcUF8n4,4,300,8,8,10,span10,False,0.01337281335145235,videomamba,kinetics400
6ufl42MTbA4,4,300,8,8,10,span10,False,0.013582478277385235,videomamba,kinetics400
IWQQ1uBu2ko,4,300,8,8,10,span10,False,0.013670389540493488,videomamba,kinetics400
q-kzc-82_54,4,300,8,8,10,span10,False,0.01364905945956707,videomamba,kinetics400
Z0Gm7WTyk-o,4,226,8,8,10,span10,False,0.013545576483011246,videomamba,kinetics400
g29fncASAic,4,300,8,8,10,span10,False,0.013592866249382496,videomamba,kinetics400
1M7RcHl3hHU,4,300,8,8,10,span10,False,0.01357986032962799,videomamba,kinetics400
4R7DbudEm8U,4,300,8,8,10,span10,False,0.013574786484241486,videomamba,kinetics400
U3_S9Fs3hFQ,4,300,8,8,10,span10,False,0.013489662669599056,videomamba,kinetics400
tcqZLCH3TUQ,4,300,8,8,10,span10,False,0.013490494340658188,videomamba,kinetics400
BY0883Dvt1c,4,300,8,8,10,span10,False,0.013488678261637688,videomamba,kinetics400
-mouPHwsYD8,4,300,8,8,10,span10,False,0.013705115765333176,videomamba,kinetics400
tkkRBRYUP1U,4,300,8,8,10,span10,False,0.013494008220732212,videomamba,kinetics400
7Mga5kywfU4,4,300,8,8,10,span10,False,0.013586662709712982,videomamba,kinetics400
