coverage,stride,top1,n
10,1,0.0110909913988229,4418
10,2,0.0079221367134449,4418
10,4,0.0067904028972385,4418
10,8,0.0061113626075147,4418
10,16,0.0061113626075147,4418
25,1,0.0402897238569488,4418
25,2,0.0473064735174287,4418
25,4,0.0307831598008148,4418
25,8,0.0190131281122679,4418
25,16,0.0115436849253055,4418
50,1,0.3395201448619285,4418
50,2,0.3632865550022635,4418
50,4,0.3535536441828882,4418
50,8,0.1813037573562698,4418
50,16,0.0701674966047985,4418
75,1,0.7324581258488003,4418
75,2,0.7161611588954278,4418
75,4,0.7320054323223177,4418
75,8,0.3757356269805342,4418
75,16,0.1532367587143503,4418
100,1,0.8476686283386148,4418
100,2,0.8433680398370303,4418
100,4,0.791534631054776,4418
100,8,0.4214576731552739,4418
100,16,0.1229062924400181,4418
