resolution,coverage,stride,top1,n
160,10,1,0.09875,1600
160,10,2,0.085,1600
160,10,4,0.08125,1600
160,10,8,0.07375,1600
160,10,16,0.074375,1600
160,25,1,0.2375,1600
160,25,2,0.19875,1600
160,25,4,0.15625,1600
160,25,8,0.1125,1600
160,25,16,0.08,1600
160,50,1,0.489375,1600
160,50,2,0.46625,1600
160,50,4,0.396875,1600
160,50,8,0.280625,1600
160,50,16,0.1425,1600
160,75,1,0.60875,1600
160,75,2,0.595625,1600
160,75,4,0.544375,1600
160,75,8,0.416875,1600
160,75,16,0.21625,1600
160,100,1,0.621875,1600
160,100,2,0.6225,1600
160,100,4,0.620625,1600
160,100,8,0.49875,1600
160,100,16,0.266875,1600
