coverage,stride,accuracy,avg_time,correct,total
10,1,0.705815,0.000000,8630,12227
25,1,0.776642,0.000000,9496,12227
50,1,0.813691,0.000000,9949,12227
75,1,0.848287,0.000000,10372,12227
100,1,0.854911,0.000000,10453,12227
10,2,0.695837,0.000000,8508,12227
25,2,0.765764,0.000000,9363,12227
50,2,0.820234,0.000000,10029,12227
75,2,0.838881,0.000000,10257,12227
100,2,0.838881,0.000000,10257,12227
10,4,0.675145,0.000000,8255,12227
25,4,0.728224,0.000000,8904,12227
50,4,0.817371,0.000000,9994,12227
75,4,0.826204,0.000000,10102,12227
100,4,0.844034,0.000000,10320,12227
10,8,0.562934,0.000000,6883,12227
25,8,0.686759,0.000000,8397,12227
50,8,0.794471,0.000000,9714,12227
75,8,0.808947,0.000000,9891,12227
100,8,0.839699,0.000000,10267,12227
10,16,0.562934,0.000000,6883,12227
25,16,0.562934,0.000000,6883,12227
50,16,0.691175,0.000000,8451,12227
75,16,0.752106,0.000000,9196,12227
100,16,0.801750,0.000000,9803,12227
