Comparison,Mean Diff,t-statistic,p-value,Bonferroni Sig,Cohen's d
10% vs 25%,-0.1236876831683168,-4.179460246151622,3.601476339160179e-05,***,-0.41690506154269485
10% vs 50%,-0.22969698019801976,-8.492567240666768,5.596725659439175e-16,***,-0.847141511008694
10% vs 75%,-0.24194670297029708,-9.044702607061835,1.0711688670189588e-17,***,-0.9022175292861225
10% vs 100%,-0.2752738217821781,-10.55578230277577,1.2226546996300716e-22,***,-1.052949139693856
25% vs 50%,-0.10600929702970296,-4.289421896173154,2.2739015834287017e-05,***,-0.4278738387937226
25% vs 75%,-0.11825901980198028,-4.848860400675884,1.8228904185156084e-06,***,-0.4836783519156792
25% vs 100%,-0.15158613861386128,-6.4095772185652695,4.603481995752956e-10,***,-0.6393613116021651
50% vs 75%,-0.012249722772277316,-0.5771110235020597,0.5641879056981949,ns,-0.0575673633913936
50% vs 100%,-0.04557684158415831,-2.2371840152257847,0.025830193808377824,ns,-0.22316119417784813
75% vs 100%,-0.033327118811880996,-1.6682913881903152,0.09604271073402801,ns,-0.16641362350678027
