class,acc_25pct,acc_100pct,aliasing_drop
YoYo,0.280734,0.8422018,0.5614678
PizzaTossing,0.2677966,0.7457626,0.47796600000000006
Lunges,0.1075,0.5775,0.47000000000000003
SalsaSpin,0.20574719999999996,0.6643678000000001,0.4586206000000001
SoccerJuggling,0.42260860000000006,0.853913,0.4313044
JumpingJack,0.45128219999999997,0.8769232,0.42564100000000005
BoxingSpeedBag,0.28456359999999997,0.7087247999999999,0.42416119999999996
Swing,0.5125,0.8921876,0.3796876
FloorGymnastics,0.25617999999999996,0.6314604,0.37528040000000007
RopeClimbing,0.568932,0.9359223999999999,0.36699039999999994
FrisbeeCatch,0.3333334,0.6791666000000001,0.34583320000000006
BodyWeightSquats,0.2190474,0.5587304,0.33968299999999996
BoxingPunchingBag,0.4587568,0.7774012,0.3186444
BlowDryHair,0.3494946,0.6484852,0.2989906
JugglingBalls,0.47868839999999996,0.7617488,0.28306040000000005
WalkingWithDog,0.6697674,0.9426352,0.2728678
UnevenBars,0.48125,0.74375,0.2625
PommelHorse,0.49217379999999994,0.7513044,0.25913060000000004
PoleVault,0.5239438,0.7802818,0.25633800000000007
PullUps,0.6246152,0.8646155999999999,0.2400003999999999
ThrowDiscus,0.7122805999999999,0.9403508,0.2280702000000001
HeadMassage,0.6977012,0.9229884,0.22528720000000002
JavelinThrow,0.5222224000000001,0.7444444,0.22222199999999992
BalanceBeam,0.6063494,0.8222224,0.21587299999999998
Biking,0.7423314,0.9521470000000001,0.2098156000000001
MoppingFloor,0.5773911999999999,0.7808694,0.20347820000000016
SkyDiving,0.7807230000000001,0.9783134,0.19759039999999994
Skijet,0.7128572,0.9057144000000001,0.19285720000000017
BrushingTeeth,0.19696980000000003,0.3868684,0.18989859999999997
Nunchucks,0.10434780000000002,0.2931676,0.18881979999999995
HandstandWalking,0.37528079999999997,0.5640452,0.18876440000000005
SkateBoarding,0.7121952,0.8975609999999999,0.18536579999999991
HulaHoop,0.740351,0.922807,0.18245600000000006
HighJump,0.02973,0.21081080000000002,0.18108080000000001
CleanAndJerk,0.7541282,0.9339449999999999,0.1798167999999999
TrampolineJumping,0.8129495999999999,0.9884894,0.17553980000000002
BabyCrawling,0.8232144,0.9874997999999999,0.16428539999999991
ParallelBars,0.7333332,0.8965516000000001,0.1632184000000001
TaiChi,0.7023808,0.8642856,0.16190479999999996
Basketball,0.771875,0.91875,0.14687499999999998
Rowing,0.7564104,0.9025638,0.1461534
SumoWrestling,0.795,0.9399998,0.1449998
Kayaking,0.8245614,0.9684208,0.14385939999999997
Mixing,0.8547366000000001,0.9936844,0.13894779999999995
