dataset,label_id,n_videos,mean_flow,temporal_std,temporal_cv,peak_ratio
ssv2,0,5,4.643808617899495,2.813910283564993,0.6017709406491173,2.4801205175330296
ssv2,1,5,1.6044034831946898,0.9286268477152296,0.5899220086064678,2.529834645856135
ssv2,2,5,1.5591641874082627,0.8334374940843974,0.5581229165658207,2.4188993520431747
ssv2,3,5,2.2725064179409413,1.4538663185711969,0.618018050860404,2.674975923350633
ssv2,4,5,4.228735153425125,2.0584702052808828,0.553349214046807,2.1994017257841043
ssv2,5,5,1.6076693992460929,0.9515937187016668,0.6524054659190786,2.6664540903000584
ssv2,6,5,2.3719433695384895,1.255440512626723,0.6270033887566113,2.6911244342398706
ssv2,7,5,3.794608082962898,2.0081657565033373,0.5416679097695503,2.5339653342328354
ssv2,8,5,1.5371029412757413,1.0028704335917318,0.705907029715058,2.846564645082714
ssv2,9,5,0.847485906943198,0.5830436951696275,0.8927394602998515,4.277878232599774
ssv2,10,5,1.0615126565018962,0.857069506786152,0.8012840404639411,3.1041953608844053
ssv2,11,5,0.5190118557138879,0.3519978321530498,0.658766132463216,3.1170914540323857
ssv2,12,5,1.468340090081854,1.4655986116525859,1.007395672065208,4.371486240213189
ssv2,13,5,2.7858826430529477,1.5076393548944034,0.5389751656555054,2.3684050256498947
ssv2,14,5,2.752103892882024,1.4332991235985728,0.5370758547904421,2.3934859956490264
ssv2,15,5,2.8934141822431085,1.7855924460833201,0.7536959075323416,2.853493705236811
ssv2,16,5,0.8711271679449466,0.5662723587587892,0.658132157378865,2.9939239514938167
ssv2,17,5,0.6732837421999823,0.41488967759263656,0.6499881287055315,3.085282412864275
ssv2,18,5,1.1890611949241157,0.9521151075277796,0.789939310875844,3.0672968564685954
ssv2,19,5,0.9159275334690216,0.7043005212272383,0.6851958480135165,2.8432917742991988
ssv2,20,5,1.3856915173511353,0.8581537363492684,0.6008691464561136,2.9862090556838283
ssv2,21,5,2.1683928744446845,1.4075068082860365,0.6587172729310712,2.7961704510389653
ssv2,22,5,1.4590389315677326,1.0140673058662402,0.7998476736455793,2.797844936765839
ssv2,23,5,0.8852711037088621,0.7396185909569478,0.8736701674192805,3.833782222286099
ssv2,24,5,2.390566603796305,1.4736325041374694,0.7346310978120192,3.034535500671194
ssv2,25,5,0.7428579341980719,0.5246923430820459,0.6928967879585288,3.036426250917647
ssv2,26,5,1.2967806226885576,0.9740192235569234,0.9807693456346384,4.338820537438934
ssv2,27,5,2.439698046541983,1.8177012314859051,0.7101132810276928,2.8340120801021484
ssv2,28,5,2.641854250911743,2.314242347575883,0.8459014801359253,3.235356716863599
ssv2,29,5,1.7941800922500302,1.5649408569201764,0.9488218338299333,3.3764429128827147
ssv2,30,5,2.5921115695468844,1.5480923924409766,0.6326281943818423,2.515557389154991
ssv2,31,5,1.878667026902399,1.3287066984565603,0.7076327128634743,2.8769531885159294
ssv2,32,5,4.160361089917922,2.35016832120509,0.5661236857256902,2.5162585987799155
ssv2,33,5,3.147584537536867,1.5479502656017938,0.4859733916856528,2.2535767602503634
ssv2,34,5,1.5567196846488984,0.9481375804512464,0.6253282647746007,2.740917848789773
ssv2,35,5,3.3263698102005064,2.1186623617065656,0.6266954200462823,2.713366520565768
ssv2,36,5,2.1128776445383988,1.344168629839433,0.6380920736896246,2.7311380970244254
ssv2,37,5,1.1762224489710325,1.111496167575877,0.9521695690609191,3.562829415873169
ssv2,38,5,0.8125359403857615,0.892823702419317,1.0640198752211778,4.168311529399324
ssv2,39,5,2.1712864750575633,1.3166027879260152,0.6027903547742053,2.401561111473616
ssv2,40,5,0.897209822696459,0.7086736626631824,0.72534427083801,2.8974737378294173
ssv2,41,5,1.8522270005556845,1.3845971047428207,0.7349571978659579,2.9211136583208335
ssv2,42,5,1.661957213474858,1.086985726506244,0.6304034088544396,2.552472770761442
ssv2,43,5,1.395307736574473,1.052840771611726,0.8477035334096042,3.0204142591414835
ssv2,44,5,1.7866822291230018,1.234427795723112,0.7176231821115924,2.837770378491559
ssv2,45,5,2.397674787028776,1.5301574125109874,0.71973958522844,2.90396857917033
ssv2,46,5,2.9493278344792704,1.9267249528102597,0.6608919666075654,2.728924533435615
ssv2,47,5,2.7252627165086807,1.6143687695141302,0.6220299760390325,2.7238435457626067
ssv2,48,5,4.217996165060228,2.041233676465635,0.4990303999974395,2.207562697749375
ssv2,49,5,1.9343205802863643,1.1900989430095141,0.6117613802330297,2.6329106717116786
ssv2,50,5,2.517681195274476,1.4284410495480249,0.6247626778788797,2.3423370743558727
ssv2,51,5,2.603991545592585,1.4419444622299589,0.5601391761980632,2.364139393369789
ssv2,52,5,1.1793682161833146,0.845505561124863,0.7650040663085441,2.864852389853191
ssv2,53,5,2.929190894852218,1.7553297098986,0.7309478384455377,2.727889768746145
ssv2,54,5,2.869204872959827,2.1003801022047743,0.7301953844117379,3.567878864116049
ssv2,55,5,1.1587110505723808,0.9167106851063187,0.8330053280338332,3.0098463517685676
ssv2,56,5,1.2129204590209655,0.937133901932734,0.8602183117272805,4.38140331542404
ssv2,57,5,2.1564571654318923,1.4561445780919793,0.6687521584092281,2.59595348915112
ssv2,58,5,2.153010060710291,1.2990880916125693,0.6323217650206513,2.433545252008122
ssv2,59,5,1.3153995948933788,0.7506516907338189,0.6016207201598093,2.487991651812537
ssv2,60,5,1.3011118141874192,0.6961143682799007,0.5479169753631296,2.6189298582568887
ssv2,61,5,1.6885241375815483,0.9662321555653692,0.5747837106280448,2.5744223992362714
ssv2,62,5,2.499048630845162,1.480699961475763,0.6060865740570878,2.827833253761678
ssv2,63,5,2.086184857445281,1.2139315956804786,0.6092185241131773,2.3923512643667526
ssv2,64,5,1.938632239968959,0.8647004453144456,0.48015340106329224,1.9469034652768034
ssv2,65,5,2.6749460133951115,1.413174807565281,0.5776786379828636,2.3457023068766296
ssv2,66,5,1.9264264898915446,1.1453592681538325,0.6226048156783656,2.7803637908245173
ssv2,67,5,1.9839433221989065,1.198275438205802,0.7413971942381244,3.241734472520426
ssv2,68,5,2.1365657850653084,1.1765856384390925,0.6895479998755628,2.8682258349895964
ssv2,69,5,0.8783550400106656,0.6720124087163748,0.8185088989548323,3.3562072655280843
ssv2,70,5,1.7449668517516508,0.9040697591161777,0.5697911392704114,2.5551549113857424
ssv2,71,5,2.6070575892240853,1.7956533912789623,0.7238110654923176,2.695799753311655
ssv2,72,5,1.7545376705381297,1.0492703930148743,0.6527878617374293,3.0366656261392095
ssv2,73,5,2.6696420998582915,1.8969232597054713,0.7792650157142098,2.99422994486386
ssv2,74,5,2.155181698140598,1.60227092496129,0.7459445384792194,2.953308641183772
ssv2,75,5,2.5011092196549134,1.777395052227974,0.7317777942535603,3.0499582266908263
ssv2,76,5,2.738176930782145,1.7424966311086745,0.6456259929828903,2.7873606902696344
ssv2,77,5,1.4926638213857528,0.741798728726599,0.5098230767930964,2.3194744521305406
ssv2,78,5,3.741173068058842,1.6526099340121996,0.5563140114709226,2.5244582826474113
ssv2,79,5,1.917256665169712,1.1429748206091745,0.6174225713684092,2.6216198821627863
ssv2,80,5,1.1904733047850669,0.6214450020517697,0.5231392902939842,2.404370217053609
ssv2,81,5,1.8856104100163418,0.9984641995240789,0.5690061772307266,2.388743623861447
ssv2,82,5,1.7355815743020362,1.4188723959747684,0.8102487127088246,3.09633386203988
ssv2,83,5,1.2046773386594836,0.8901090523950945,0.8403279022014607,3.272767006816894
ssv2,84,5,1.6439145399678137,0.9883980302232264,0.6523092115102442,2.5107389555758615
ssv2,85,5,2.425813448332971,1.3943220519157784,0.6580471869965074,2.688827276703255
ssv2,86,5,2.0306751041763254,1.2479969890510756,0.6327426784798712,2.4464298884819007
ssv2,87,5,2.1671016964700915,1.4935724129462824,0.6864827048482296,2.7290140715323745
ssv2,88,5,2.6736081913594276,1.4985782966945822,0.5596759579157508,2.151810347947854
ssv2,89,5,2.6461927773731366,1.4812771435241807,0.5808755942216106,2.331595814147838
ssv2,90,5,1.50749825032488,1.0723925078366185,0.7382986696169986,3.32286433167717
ssv2,91,5,1.093724711055972,0.8682030251215938,0.7789570932805165,2.969447620542361
ssv2,92,5,1.506952961942842,1.1622117785602606,0.8250424962989683,3.414237380350431
ssv2,93,5,1.4625178698339545,0.9624885417375608,0.7347300122355205,3.293993390207832
ssv2,94,5,2.6494934943944006,1.5238998419397256,0.6079382893875926,2.405144409095414
ssv2,95,5,3.0908213974367227,2.287408878468496,0.7414415083328056,3.092989319142679
ssv2,96,5,3.7104425000567587,1.6241174391754511,0.5618223442592267,2.6535749801628667
ssv2,97,5,1.5635308013323903,1.2581392080159608,0.7988675794367782,3.290559040642367
ssv2,98,5,1.300563455429097,1.000812577628975,0.8038390561312971,3.1014768611767685
ssv2,99,5,1.8000959298656056,1.088124943724102,0.6516213994224482,2.463304289524866
ssv2,100,5,1.4675464527981894,1.0504157594701256,0.6599625769933194,3.0412121211328964
ssv2,101,5,2.1290389003292205,1.344465806253338,0.6390362687431816,2.6249678600431756
ssv2,102,5,2.597365763062431,1.6569585241649603,0.6823001802558283,2.588274200376078
ssv2,103,5,1.9102564037807526,1.224000199881679,0.6542783976598333,2.6412047019713447
ssv2,104,5,2.065996767649607,1.2228588515828518,0.580034699595845,2.3901445436053157
ssv2,105,5,1.8641209625008124,1.6382144451366834,0.9676776108084855,3.628551702759146
ssv2,106,5,2.794145252019347,1.3412334624548987,0.5246250440556688,1.9927413417495934
ssv2,107,5,1.753648178111161,1.1648449840589812,0.7157742814800944,2.7148660583459994
ssv2,108,5,2.6058332154132997,1.9616638232686903,0.7476902525695687,2.8478277886633845
ssv2,109,5,2.5198063492106515,1.8623183360140576,0.9750932665264589,3.7243520354574597
ssv2,110,5,2.007739277280522,1.2906198965827795,0.6922232317037068,2.842164797768463
ssv2,111,5,1.540741600288499,1.2247223365513995,0.8463894414007009,3.524969916490092
ssv2,112,5,2.5206840099346257,1.6050196310793994,0.6349278220239876,2.58733491226106
ssv2,113,5,1.5469511847453936,1.138666681122046,0.7987549896847639,2.999322719523761
ssv2,114,5,1.5643039636790843,0.9589449936887473,0.6588877316743892,3.1258965253972812
