label_id,n_videos,mean_concentration,std_concentration
0,5,0.0037567174845515305,0.0027903775210287077
1,5,0.006650442533520873,0.003229352957963084
2,5,0.007102866974186628,0.0036624047467276495
3,5,0.0033362130238859143,0.0023302628632280897
4,5,0.006914635402470282,0.00333660976455267
5,5,0.008209637246243084,0.0040180794357711075
6,5,0.007652633595240666,0.006297987625556134
7,5,0.011309163614540929,0.0038871054920164507
8,5,0.011277807737635625,0.006162166668624221
9,5,0.007536662254110893,0.0075539942913480165
10,5,0.01690435086742703,0.00737393581499963
11,5,0.01667631563099503,0.006969842271751684
12,5,0.020734184364348686,0.008278604575679353
13,5,0.007213321111876758,0.005779594255930806
14,5,0.006154224430639399,0.004260553116342885
15,5,0.008917971871392694,0.005381232610320182
16,5,0.027349792839946097,0.019050483606764163
17,5,0.0211626275441781,0.006056346964420916
18,5,0.009243418081273403,0.009989538070915124
19,5,0.016737844144167725,0.013816492647242218
20,5,0.019288415649523483,0.01456649358656409
21,5,0.013794450505629196,0.008499883642440434
22,5,0.006949898725203174,0.003939537543457195
23,5,0.0066278508925035505,0.004639945885438715
24,5,0.019285471306540746,0.011008061751370441
25,5,0.0035517004061109913,0.0023152751266942197
26,5,0.0028950293692806108,0.0003902098604903981
27,5,0.015574044425085098,0.009981747866373325
28,5,0.007570783612042065,0.004149678805085855
29,5,0.002078153053518439,0.0010627404984681072
30,5,0.014172564682510113,0.018349932686848335
31,5,0.012793112477857638,0.0046352420756377195
32,5,0.01116140987953167,0.004875660398501034
33,5,0.0032179302359285344,0.0030960511227401994
34,5,0.026941107027047818,0.011252736159739738
35,5,0.006726734037443616,0.0026080050006435625
36,5,0.014622182366313786,0.009354804152004995
37,5,0.008202262630174095,0.004697926165879844
38,5,0.0027628779003576074,0.0006992344378364703
39,5,0.006808790399823295,0.0032693931202064158
40,5,0.019679449163137262,0.006954324987129412
41,5,0.01877424255789195,0.005572190813259459
42,5,0.023773475529008326,0.00924637868479432
43,5,0.011150361714040224,0.006637202849311265
44,5,0.005923561299302249,0.0030880436770523746
45,5,0.008222391479631063,0.002504248243812544
46,5,0.007214930869488834,0.00613725815670205
47,5,0.019292061681721796,0.0064092951375503086
48,5,0.019849436815250067,0.007754466399496652
49,5,0.004952602286979091,0.004000558804036679
50,5,0.011452390766179455,0.011631876882977267
