dataset,label_id,n_videos,mean_entropy,mean_concentration,std_entropy
driveact,0,5,2.021370168526967,0.02792642735508526,0.017398774300301092
driveact,1,4,1.985690345366796,0.045084795332743455,0.013160400598178166
driveact,2,4,2.0257517322897916,0.025819340584430334,0.006722275492719599
driveact,3,5,2.0261193096637724,0.025642573232901644,0.027661751202071014
driveact,4,5,2.00342230796814,0.036557523829347696,0.013234392197952484
driveact,5,5,2.0459703127543127,0.01609625866110358,0.015719989972416866
driveact,6,5,1.9707812309265136,0.05225456382175717,0.0072702393636415955
driveact,7,5,2.000043785572052,0.03818224966480366,0.02559477993571344
driveact,8,5,1.9792239010334014,0.04819449772340103,0.010938299131452259
driveact,9,5,1.991168944040934,0.04245014628667665,0.02889318570313903
driveact,10,5,2.0448458492755894,0.0166370112892422,0.013216367220542551
driveact,11,5,2.0169807811578115,0.030037276485092534,0.029051045418923272
driveact,13,5,2.0352615356445307,0.021246091871192842,0.015435527159298836
driveact,14,5,2.0053226828575133,0.035643636686437885,0.026771606540569603
driveact,15,4,2.0139111032088595,0.03151347953645217,0.005564481062571232
driveact,16,5,2.028940107425054,0.02428605625238458,0.022761672165751864
driveact,17,5,1.978969190518061,0.04831698758918217,0.014263271062871825
driveact,18,5,2.0154696325461066,0.03076398535447662,0.014004796428792127
driveact,19,5,2.0537238399187725,0.012367600264582435,0.010090253362412122
driveact,20,1,1.9155160983403523,0.07883147472713248,0.0
driveact,21,5,1.9601989249388374,0.057343577278287074,0.02634151292578203
driveact,22,5,1.9726330041885376,0.05136404912109958,0.026131815743734518
driveact,23,5,2.0471355338891346,0.015535905743521549,0.01726963900268566
driveact,24,5,2.0531308909257255,0.012652748455172192,0.010645033127771195
driveact,25,5,2.055442629257838,0.011541037312648217,0.003912208922429426
driveact,26,1,1.8938873708248138,0.08923269403626788,0.0
driveact,27,5,1.9759694476922351,0.049759558955435976,0.02910196778324243
driveact,28,5,1.9975211143493652,0.03939539808572488,0.018217139959520415
driveact,29,5,2.0463020523389184,0.015936725643244866,0.01196543577262961
driveact,30,5,1.9946513692537944,0.04077545375839,0.019370100071871916
driveact,31,5,2.055519866943359,0.011503893837357749,0.00579167336066378
driveact,32,5,2.0520633101463317,0.013166146287232028,0.014807338820078439
driveact,33,5,2.0330603102842963,0.022304657508222615,0.01329946028412172
