label_id,n_videos,mean_concentration,std_concentration
0,5,0.042646096793079805,0.0843432681757478
1,5,0.046763623077555036,0.05691097639435495
2,5,0.0008199485892600889,0.0014882448148468338
3,5,1.4746203488180676e-05,2.5451120765267633e-05
4,5,0.10783840256399799,0.15003796392999671
5,5,2.2353439239619631e-07,2.3697200787177087e-07
6,5,0.06322422173824063,0.1003325948631739
7,5,0.05887627627818539,0.07041039380615674
8,5,0.0009443348927554273,0.001571955121355981
9,5,1.0520299287275492e-07,7.997975743882581e-08
10,5,0.015090839773640962,0.018488471062658253
11,5,3.8832710642644485e-07,2.938457051413014e-07
12,5,0.26636287175694146,0.26930502383299704
13,5,0.0015523426379184357,0.0031046353432820505
14,5,0.049815914711346054,0.04664605978803595
15,5,1.6409165404240867e-08,2.537151585671872e-08
16,5,0.12200164215221905,0.06581142725698799
17,5,0.0043890556957661975,0.007773836135295173
18,5,0.0003948919829486641,0.0006240004734829009
19,5,0.2324508256023214,0.2734155984936271
20,5,0.15777843048661577,0.13804918252179446
21,5,0.13174724310493308,0.1365993066177763
22,5,0.09333317876523972,0.09627317965568118
23,5,0.18903597562266883,0.18167079262203667
24,5,0.010654475513251115,0.021069980859927732
25,5,0.00426400505553981,0.00852782517734203
26,5,0.07885717607028941,0.057644971848328515
27,5,0.014078209681511255,0.025848372242857697
28,5,0.03339736305434129,0.03914658057765993
29,5,0.06521197523321198,0.018577662385794332
30,5,0.09827080879446529,0.14869030920343507
31,5,0.03853807827948581,0.06770154990168598
32,5,0.022414373181926295,0.04461711452650468
33,5,0.07072140082986952,0.10005630447786626
34,5,0.029389153154173987,0.036100943988819495
35,5,0.03857009906973685,0.041282585792465666
36,5,0.029503076152392494,0.05799535801255981
37,5,0.1121577808527674,0.06964755971965635
38,5,0.018140741178795383,0.03153563240454547
39,5,0.22665194218326254,0.08348241712438556
40,5,0.011143527099393102,0.0140682744569395
41,5,9.539455549933962e-08,8.197497803300364e-08
42,5,0.0582856862039524,0.07891989348496825
43,5,0.045416544438818,0.0902563546863297
44,5,0.25234488822872886,0.20715024006124777
45,5,0.00037342134227111854,0.0007466484970295067
46,5,0.07581028731252941,0.1220043953205652
47,5,0.057179341219192346,0.06951235870538028
48,5,0.03691128460194328,0.03902307753697486
49,5,1.7330341799404182e-07,1.886112676894548e-07
50,5,0.18618558343228903,0.08091718787661292
51,5,0.09414984568892501,0.08677954884152417
52,5,0.012843497358087185,0.02214059219066025
53,5,0.02422853935234286,0.04845066055415974
54,5,0.04771136297466263,0.09297800777631471
55,5,0.15511395812708356,0.16206563674189406
56,5,0.023182330745396128,0.030626458350428702
57,5,0.1030357330200111,0.06805579072097961
58,5,0.022489081639466814,0.03478242623137167
59,5,0.09759449331197916,0.18185671948870624
60,5,0.060261073172713675,0.09465195509695351
61,5,0.00020379138966335474,0.00040588062974017056
62,5,0.01234673868009135,0.024693460427713386
63,5,0.03609778362292972,0.07219257645275795
64,5,6.027124112195636e-06,1.0993106971472006e-05
65,5,0.0005025260298871404,0.0006686603908175479
66,5,0.014048381272539,0.02801230421505954
67,5,0.1629647666833479,0.13938161140836952
68,5,0.06956518830235821,0.10513583651287396
69,5,0.12032149112990556,0.13574026286296806
70,5,0.0063728077237583,0.012745565435895733
71,5,3.1675520409057968e-06,2.238880540980101e-06
72,5,0.011754816166676795,0.015223721142777698
73,5,0.08855896215091305,0.17711785560051196
74,5,0.013643849934022146,0.027281273565791648
75,5,2.119438189938094e-05,2.5193725978446017e-05
76,5,4.086825972771102e-06,3.818013007504724e-06
77,5,0.0027405384299702628,0.004331389417946053
78,5,0.33191384400928214,0.28747182113065073
79,5,0.07671291307410077,0.11186082046689962
80,5,0.11554173435989697,0.16034730818874607
81,5,0.022097023261812555,0.022115413438690112
82,5,0.0007756336901449945,0.0015356596098179654
83,5,0.01397255194124054,0.027807796677262287
84,5,2.8223423531592573e-07,3.0312317383636187e-07
85,5,0.11196847230939022,0.1641972832523329
86,5,5.505315670895073e-07,9.999830155811591e-07
87,5,0.0026432890544211716,0.005286495463782217
88,5,0.02623851104692332,0.036731843076278296
89,5,0.001752143633985259,0.0014529579956066878
90,5,0.11349694665121084,0.2021455315046157
91,5,0.009973611771225532,0.019930166209409128
92,5,0.0983316894831058,0.15274182638289388
93,5,0.008988974806717764,0.01797621568486874
94,5,2.0116452260410255e-06,3.892488366394477e-06
95,5,0.1080117966780482,0.12799569413153764
96,5,0.01062521815606705,0.01626059661366217
97,5,0.0801710681438873,0.05532506531717431
98,5,0.07723504792499472,0.026379310679557896
99,5,2.274589607775823e-08,4.134696050369489e-09
100,5,0.11742556608313948,0.08716037912481361
