dataset,label_id,n_videos,mean_entropy,mean_concentration,std_entropy
diving48,0,5,1.706579540173213,0.17930872016984611,0.03470802794992781
diving48,1,5,1.7094413220882416,0.17793249397754013,0.015707446076000085
diving48,2,3,1.7166438781552846,0.17446879667099094,0.014571504434350428
diving48,3,5,1.7148849238952,0.17531467486704905,0.03560188079056597
diving48,4,5,1.7316191613674163,0.16726720772897416,0.03622807955265065
diving48,5,5,1.6969177077213924,0.18395507942455988,0.032768472191170406
diving48,6,5,1.7002910296122233,0.1823328545034852,0.014060302619262114
diving48,7,5,1.7300151467323304,0.16803857571549147,0.018340168389888587
diving48,8,5,1.73011015355587,0.167992887091101,0.014871986037254837
diving48,9,2,1.7342417861024537,0.1660059918291904,0.05259000013271964
diving48,10,5,1.718286400039991,0.17367891061178517,0.01546031698722338
diving48,11,5,1.7220201840003333,0.1718833400773396,0.013119909482471537
diving48,12,5,1.7059942315022152,0.17959019414219196,0.009382689823093504
diving48,13,5,1.7265128980080289,0.16972280133766138,0.010882328478463599
diving48,14,2,1.7127438758810363,0.1763443013178289,0.01263335595528281
diving48,15,5,1.731284323334694,0.16742823078541075,0.012634618178667914
diving48,16,5,1.709616905450821,0.17784805622872152,0.014139202890440117
diving48,17,5,1.717714575926463,0.17395389988273435,0.025925835372564536
diving48,18,5,1.6984942595163983,0.18319691827244006,0.017765675477130708
diving48,19,5,1.7380097101132073,0.16419400340093684,0.023498758707298232
diving48,20,5,1.7277671545743942,0.16911963142822867,0.02999045102921089
diving48,21,5,1.7151444017887116,0.17518989237698596,0.030571482175097434
diving48,22,5,1.7326165119806922,0.1667875834677071,0.009344774484090632
diving48,23,5,1.737650724252065,0.1643666391081433,0.0295227239717848
diving48,24,5,1.722652565439542,0.17157922888857396,0.028849445278398396
diving48,25,5,1.7043839663267135,0.18036456800326267,0.029509478117001716
diving48,26,5,1.7331680069367092,0.16652237045500035,0.022386656887542346
diving48,27,5,1.7252809673547744,0.17031523475238433,0.015593288827487855
diving48,28,5,1.7411008308331173,0.16270748855646922,0.02859698774881927
diving48,29,5,1.7136603613694508,0.17590356496143467,0.015435187395515734
diving48,31,5,1.7258847773075103,0.1700248635442339,0.03981079633141727
diving48,32,5,1.710648081700007,0.17735216527506042,0.046068145190904235
diving48,33,5,1.7503234565258026,0.15827234310619837,0.051934973154836486
diving48,34,5,1.7327909290790557,0.16670370657342218,0.025142461231926313
diving48,35,5,1.730157706141472,0.16797001913129128,0.02015176593956858
diving48,36,5,1.7169875472784042,0.17430352675778044,0.015101989796422133
diving48,37,4,1.7200192672510943,0.17284557763445918,0.029432616994869838
diving48,38,2,1.7216799184679985,0.17204697320936785,0.010649574299653297
diving48,39,5,1.7240951081116993,0.17088551250210993,0.0159974690320156
diving48,40,2,1.6997109577059746,0.18261181012431987,0.00026177118221926143
diving48,41,5,1.7264008402824402,0.16977668971266136,0.034924854983197216
diving48,42,3,1.7238808936542938,0.17098852788057198,0.004135119209846338
diving48,43,5,1.6936142921447754,0.18554368651468672,0.005474529536507223
diving48,44,5,1.7055496484041215,0.1798039934191529,0.010413941345939875
diving48,45,5,1.7259864310423534,0.16997597843118525,0.013324711993710037
diving48,46,5,1.7105011880397796,0.1774228061934431,0.014434980999974163
diving48,47,5,1.726008438070615,0.1699653952876726,0.02422151914885937
