dataset,label_id,n_videos,mean_entropy,mean_concentration,mean_peak_window,std_entropy
ucf101,0,5,2.3832311401863353,0.006115418291359287,5.8,0.029327588119371088
ucf101,1,5,2.304244719496139,0.03905531420183368,4.4,0.17332358809651296
ucf101,2,5,2.3448707734556655,0.02211293376496166,6.0,0.050000817027546766
ucf101,3,5,2.257807126615362,0.05842129461288963,6.6,0.28007528263030235
ucf101,4,5,2.359409225742152,0.016049928240320966,6.2,0.028181350344157363
ucf101,5,5,2.3669939084016356,0.012886869892642473,5.0,0.06173921505073123
ucf101,6,5,2.3450325377713854,0.02204547280552984,4.4,0.06610128664785338
ucf101,7,5,2.1369747468530336,0.108812310906656,6.4,0.28362864061924936
ucf101,8,5,2.3974984528404395,0.00016548677602086227,2.4,0.0006198829744682062
ucf101,9,5,2.3978621444961474,1.3815575100095678e-05,7.0,5.342942435231415e-05
ucf101,10,5,2.3238457729550293,0.0308810400034381,4.6,0.10755021753496506
ucf101,11,5,2.395335792547395,0.0010673861698675014,4.0,0.00327621831340515
ucf101,12,5,2.1969680194332355,0.0837931729731676,6.4,0.20741734855262442
ucf101,13,5,2.3875118041219565,0.004330242773403592,5.4,0.02076554308991421
ucf101,14,5,2.3071898497648187,0.03782709948283016,5.0,0.11587557193172802
ucf101,15,5,2.397893983656023,5.376141160029491e-07,5.2,6.402805880144143e-07
ucf101,16,5,2.2128540242577506,0.07716819439102322,4.0,0.11189052234229482
ucf101,17,5,2.3619820478378095,0.014976978089059779,4.6,0.07181083736105276
ucf101,18,5,2.395788911519265,0.0008784208814288874,2.8,0.004086249133436025
ucf101,19,5,2.134237346953083,0.1099538953332169,5.0,0.27250957286670974
ucf101,20,5,2.311297401918684,0.036114117185203784,3.2,0.08825041741257533
ucf101,21,5,2.1571590077259684,0.10039482032568522,7.8,0.252090165924646
ucf101,22,5,2.292232560667567,0.04406477352428084,8.0,0.07643240350202143
ucf101,23,5,2.2311971885265516,0.06951850072971719,3.6,0.14590913223176938
ucf101,24,5,2.394738217120057,0.0013165944793867013,6.2,0.00609171411516348
ucf101,25,5,2.3978844710704466,4.504670427785129e-06,7.2,1.2781087873682115e-05
ucf101,26,5,2.393010934473696,0.00203692729206415,5.6,0.006453133356334197
ucf101,27,5,2.397423714276544,0.0001966551780539616,4.4,0.0006318359267508013
ucf101,28,5,2.3975732329257538,0.00013430105821137238,7.2,0.0005798168734816647
ucf101,29,5,2.106212424299571,0.1216411958468907,5.0,0.13981580259755394
ucf101,30,5,2.2568095474889724,0.05883731742160272,3.0,0.24052183219427095
ucf101,31,5,2.242190857735495,0.06493378456898458,6.2,0.17014771568423526
ucf101,32,5,2.3978658531781085,1.226893459265188e-05,5.2,3.386441914355226e-05
ucf101,33,5,2.3596734172946325,0.015939751805395707,2.8,0.03247592405066914
ucf101,34,5,2.254318721896788,0.05987607237493207,6.0,0.1987912428446497
ucf101,35,5,2.3703081720630887,0.011504714592096121,4.2,0.04109647516914487
ucf101,36,5,2.1975445005638066,0.08355276166867484,5.2,0.40068823652381386
ucf101,37,5,2.1867566692496476,0.08805163675989983,5.8,0.12564425413134458
ucf101,38,5,2.3775088705985277,0.008501790061937076,4.0,0.03136550957993139
ucf101,39,5,1.524064724520868,0.36441564324772724,7.0,0.22641926603446433
ucf101,40,5,2.3978797644200123,6.4674961138821985e-06,4.2,2.7631089034447597e-05
ucf101,41,5,2.3978951887580267,3.5047545732247444e-08,5.4,8.022888290422803e-08
