dataset,label_id,n_videos,mean_entropy,mean_concentration,mean_peak_window,std_entropy
driveact,0,5,1.6727672006646728,0.30240189401076945,5.0,0.3655784634305991
driveact,1,4,1.7678467590916003,0.2627506383844265,6.0,0.16377586276033318
driveact,2,4,2.1100647901259286,0.12003463451368357,8.5,0.14322528318723546
driveact,3,5,2.1621682777227558,0.09830579247963525,4.8,0.19478529000488584
driveact,4,5,1.8108315258693473,0.2448245983002893,4.4,0.4121464585965526
driveact,5,5,2.366059379561133,0.013276598689852204,6.0,0.040128138617376914
driveact,6,5,2.304282986211364,0.03903935574207127,4.4,0.056517352640765635
driveact,7,5,2.3204186625416043,0.03231025605482356,6.6,0.08680982684804801
driveact,8,5,2.000922012746474,0.1655507079709216,6.4,0.26638029594056667
driveact,9,5,1.9316902626623087,0.1944225902710069,6.6,0.22238778466872045
driveact,10,5,2.368548519637915,0.012238546651041826,4.4,0.054514198590364535
driveact,11,5,2.0899003974679413,0.1284438394054616,6.2,0.38814273873060107
driveact,13,5,1.9632674293085444,0.18125388895012534,5.4,0.26988324709493494
driveact,14,5,2.325312272918007,0.030269462016853876,3.6,0.03514975910291314
driveact,15,4,2.2848152461689724,0.047158033927575393,4.75,0.06012442884033577
driveact,16,5,1.9490379580773087,0.18718803936638997,5.0,0.26114857636988587
driveact,17,5,1.6002981932084714,0.33262381749437053,5.2,0.3116472263691678
driveact,18,5,2.0112152314594405,0.1612581023556005,4.4,0.0805149591587994
driveact,19,5,2.3978305128127837,2.7007011657942394e-05,5.4,0.00010002939454000662
driveact,20,1,1.297723253018692,0.4588073683867626,6.0,0.0
driveact,21,5,1.8386795962006084,0.23321105093349281,5.2,0.2853827164736378
driveact,22,5,1.8582451261766253,0.22505159117811174,5.6,0.3201214003190914
driveact,23,5,2.3978678426481257,1.1439261153856073e-05,4.0,5.470360296728536e-05
driveact,24,5,2.3978891742590567,2.5432884344533948e-06,6.4,6.646427394777585e-06
driveact,25,5,2.339957558931075,0.02416190336773203,6.4,0.06702195387399418
driveact,26,1,1.411493235676342,0.41136160044674774,8.0,0.0
driveact,27,5,1.8155400323715132,0.24286099857365437,3.4,0.2652428200456944
driveact,28,5,1.8944048964927482,0.20997179568982743,4.2,0.15374522153912237
driveact,29,5,2.350076563265243,0.01994195079142167,7.0,0.05128759246795266
driveact,30,5,1.829872356974898,0.2368839549696362,5.0,0.3528125237675668
driveact,31,5,2.3978900517674546,2.177339008690993e-06,6.8,9.414823402949402e-06
driveact,32,5,2.3360876151457184,0.025775795279216827,5.4,0.1008920099250574
driveact,33,5,2.2638363442797385,0.0559069155518974,4.2,0.17480526507631408
