label_id,n_models,ensemble_concentration,std_across_models
0,7,0.07198793393170529,0.06645413356314374
1,7,0.056379722978466454,0.06148913512546604
2,7,0.05985511459114625,0.060912151075391274
3,7,0.06742560585063381,0.0637119934235137
4,7,0.05426939184382428,0.05735742013352766
5,7,0.06064948498422816,0.06392566997219504
6,7,0.04251343224415056,0.05519615241537909
7,7,0.04618345520327246,0.05412989310576863
8,7,0.04424329254821598,0.04876788011548119
9,7,0.06213261873167628,0.06144672407407521
10,7,0.051561997548796715,0.06207835865647524
11,7,0.03729669854724305,0.05566081721068437
12,7,0.049453057508110514,0.058950063574230924
13,7,0.03256895444050475,0.05607636175457073
14,7,0.05105202754935929,0.05109360708038143
15,7,0.04698454826168241,0.05479191108732398
16,7,0.05030581579276966,0.05559038322598774
17,7,0.0545843788878445,0.05709861893613284
18,7,0.050894186131015415,0.05733106368548788
19,7,0.06159138040269248,0.060345323682453
20,7,0.04726592301641802,0.05413797055960435
21,7,0.058015787384404334,0.06384387741637589
22,7,0.046271707363494195,0.056942990552757165
23,7,0.04218180972779486,0.05524776584376286
24,7,0.06267585500768409,0.061051506496982405
25,7,0.05161959322822667,0.055730071612679906
26,7,0.046199136089999135,0.058525899446363876
27,7,0.04579630669584518,0.052404886036097754
28,7,0.03615821860539949,0.05389249598611367
29,7,0.04533417883022478,0.055710705392451085
31,7,0.06572335891719792,0.062323041726105546
32,7,0.049688965291334035,0.055053216006742754
33,7,0.0518032200873109,0.058385795570089445
34,7,0.049716388662082604,0.053345643902920646
35,7,0.043330776025137026,0.0564718309710532
36,7,0.04848179711666586,0.054493506319799816
37,7,0.055401400201360626,0.05844374861797656
38,7,0.04560348531665983,0.059017709753286796
39,7,0.043629315631186764,0.05537622876956553
40,7,0.06434396960905776,0.06404429205374254
41,7,0.049107486871183846,0.0579617985882557
42,7,0.049133943262653225,0.05385541294354589
43,7,0.05619001350250372,0.056791383387496196
44,7,0.05764368637616955,0.0544362348791222
45,7,0.03848939053270561,0.05327594430075285
46,7,0.049626696925176635,0.056169279308217746
47,7,0.058095638437820916,0.06035588555132738
