dataset,label_id,n_videos,mean_flow_mag,std_flow_mag,max_flow_mag
driveact,0,5,0.25836472362279894,0.16808855226796196,0.5288916230201721
driveact,1,4,0.444333478808403,0.092684205955576,0.530855119228363
driveact,2,4,0.24159198626875877,0.059329907040822825,0.3296242952346802
driveact,3,5,0.18743594437837602,0.11738661506911631,0.3297120928764343
driveact,4,5,0.2075085997581482,0.07680511970500156,0.3264367878437042
driveact,5,5,0.10356826148927212,0.05007651341950936,0.14992599189281464
driveact,6,5,0.6745805442333221,0.22247237201495848,0.9793726801872253
driveact,7,5,0.49982696771621704,0.3536827676969144,1.1154382228851318
driveact,8,5,0.5741784155368805,0.07205452559255673,0.7033774256706238
driveact,9,5,0.49506787657737733,0.26649013406171057,1.0149741172790527
driveact,10,5,0.06330422684550285,0.041786328820748835,0.14281457662582397
driveact,11,5,0.3488038703799248,0.34651371397163444,1.0120793581008911
driveact,13,5,0.10979421436786652,0.059222935549701455,0.17105942964553833
driveact,14,5,0.45632108151912687,0.22753697682120644,0.7412861585617065
driveact,15,4,0.2502528764307499,0.03153246762066789,0.28644269704818726
driveact,16,5,0.21737091839313508,0.1373838759846094,0.3805740177631378
driveact,17,5,0.5722482442855835,0.04013534184279056,0.6383402943611145
driveact,18,5,0.2551277086138725,0.12869133327976687,0.45265093445777893
driveact,19,5,0.07502758838236331,0.049623643235942205,0.13604508340358734
driveact,20,1,1.1641132831573486,0.0,1.1641132831573486
driveact,21,5,0.8291173219680786,0.38665104829090163,1.2511059045791626
driveact,22,5,0.4009784609079361,0.1643064757095166,0.7086885571479797
driveact,23,5,0.11049247421324253,0.09149241128514066,0.2234725058078766
driveact,24,5,0.07144415844231844,0.05493721810482853,0.17133741080760956
driveact,25,5,0.0449069257825613,0.01724567858282518,0.07179765403270721
driveact,26,1,1.0715082883834839,0.0,1.0715082883834839
driveact,27,5,0.7591384947299957,0.3589497207530609,1.1921943426132202
driveact,28,5,0.32472300827503203,0.15543016182612754,0.4939018189907074
driveact,29,5,0.12404622435569763,0.12258670020060944,0.3661794364452362
driveact,30,5,0.44039472937583923,0.16768073880634457,0.6643140316009521
driveact,31,5,0.06961583867669105,0.022299856885288707,0.0922911986708641
driveact,32,5,0.09762264899909497,0.06920528929300358,0.19382363557815552
driveact,33,5,0.12249718308448791,0.061278272395257315,0.24189329147338867
