dataset,label_id,n_videos,mean_entropy,mean_concentration,std_entropy
hmdb51,0,5,1.8945697128772736,0.08890455687117667,0.03653200683973635
hmdb51,1,5,1.816947865486145,0.12623277496978366,0.028773815560982612
hmdb51,2,5,1.9289295653502143,0.07238096061504713,0.03623897747837371
hmdb51,3,5,1.8851828753948212,0.09341867149969825,0.04709445012376928
hmdb51,4,5,1.9002891888221103,0.08615407034381,0.052642262097289345
hmdb51,5,5,1.8936419566472371,0.08935071330858575,0.042896004826672274
hmdb51,6,5,1.8650609453519185,0.10309527439503496,0.01908811377594739
hmdb51,7,5,1.8464761892954509,0.11203265286130067,0.03080197058185817
hmdb51,8,5,1.8725627680619557,0.0994876602545687,0.024415626500161672
hmdb51,9,5,1.875475424528122,0.0980869685747183,0.08059481927188206
hmdb51,10,5,1.8262871990601224,0.12174150489232209,0.02733474159702152
hmdb51,11,5,1.9015568216641747,0.08554446780550547,0.04301024226753707
hmdb51,12,5,1.8062293271223706,0.13138730235078225,0.022661260383091446
hmdb51,13,5,1.8526567478974658,0.10906043244628369,0.038367891758322066
hmdb51,14,5,1.8715672572453816,0.09996639976064292,0.020002893539123497
hmdb51,15,5,1.9010231435298919,0.08580111273809217,0.02917913611149044
hmdb51,16,5,1.8548837224642434,0.10798948405839175,0.056226853822398816
hmdb51,17,5,1.8605301539103192,0.10527412450973424,0.028404667921146664
hmdb51,18,5,1.8677253723144531,0.10181395587314848,0.024981623250624734
hmdb51,19,5,1.8725203941265742,0.099508037810048,0.03096804781511192
hmdb51,20,5,1.8413400789101917,0.11450259985539116,0.028869426234461294
hmdb51,21,5,1.859597420692444,0.10572267437236789,0.030121968091955786
hmdb51,22,5,1.8787382066249847,0.09651790205783654,0.029901780399807527
hmdb51,23,5,1.8881196081638336,0.09200640156560809,0.050558481075104036
hmdb51,24,5,1.8954260230064393,0.0884927587455732,0.04024158833996225
hmdb51,25,5,1.9299177745978038,0.07190573242142799,0.04955629010937035
hmdb51,26,5,1.936408511797587,0.06878434763148103,0.04785017838981329
hmdb51,27,5,1.8581895232200623,0.10639972993952954,0.046840396111718245
hmdb51,28,5,1.849632979432742,0.11051455770256839,0.0812106353682502
hmdb51,29,5,1.9205733676751453,0.07639944226388384,0.036129695440721435
hmdb51,30,5,1.8423778643210729,0.1140035305667961,0.02555384592313821
hmdb51,31,5,1.8303656876087189,0.1197801664911945,0.012622947510227423
hmdb51,32,5,1.8216073979934055,0.12399201348942172,0.01828568042501766
hmdb51,33,5,1.8896547178427376,0.09126816985861615,0.04924866273181613
hmdb51,34,5,1.8817061682542164,0.09509061421648943,0.07309766564621377
hmdb51,35,5,1.8974767446517944,0.08750657009624063,0.040284280615482865
hmdb51,36,5,1.9165779113769532,0.07832085059304743,0.03372521295790335
hmdb51,37,5,1.8383353153864541,0.11594758566697125,0.019317572444385426
hmdb51,38,5,1.9484053254127502,0.06301509979512598,0.0401867725542471
hmdb51,39,5,1.9118630409240722,0.08058822399998249,0.03422309690712304
hmdb51,40,5,1.874055791894595,0.09876966756147618,0.042785401500302765
hmdb51,41,5,1.8382386445999146,0.11599407448841778,0.03451398256457642
hmdb51,42,5,1.8597526450951893,0.1056480272136792,0.02082723718238492
hmdb51,43,5,1.8946788638830185,0.08885206633294455,0.032344444698965094
hmdb51,44,5,1.8966681619485217,0.08789541618162729,0.047582586101113884
hmdb51,45,5,1.8902083357175195,0.09100193593778468,0.046217017399702374
hmdb51,46,5,1.8825585862000787,0.09468068783540284,0.03813252155490471
hmdb51,47,5,1.8850072940190632,0.09350310829305764,0.05626101642970562
hmdb51,48,5,1.8421664893627168,0.11410518043485904,0.044172773607432075
hmdb51,49,5,1.871769722302755,0.09986903464923444,0.06192337301451491
hmdb51,50,5,1.8602319449186324,0.10541753272088579,0.038414081263782596
