label_id,n_models,ensemble_concentration,std_across_models
0,8,0.14698216365021832,0.0763182919651387
1,8,0.08510566250405005,0.07780620484480923
2,8,0.072544768919312,0.05886354684564431
3,8,0.08258390137964286,0.03073766713672305
4,8,0.17864687468615556,0.1389778384543748
5,8,0.06729283106224866,0.0503593155471546
6,8,0.035078867946177435,0.02921962488671639
7,8,0.06379579114641978,0.05110512276410266
8,8,0.16942691817140498,0.06833069736303693
9,8,0.12028315125375828,0.07296911750138473
10,8,0.026385530881451694,0.035467043451254614
11,8,0.11811422844374758,0.050126695797199285
13,8,0.07971366020677251,0.05012595304278284
14,8,0.06897711988996844,0.09371044646279708
15,8,0.026803745410273194,0.03280105564188547
16,8,0.15526423183689725,0.0871362249733322
17,8,0.203438085491325,0.12245948821215114
18,8,0.10602485149896981,0.040946388872306665
19,8,0.007767479782354089,0.02045919640607748
20,8,0.24152318288422747,0.11088283585342273
21,8,0.16631150452341215,0.10539156715048685
22,8,0.23743858161878298,0.08288666902370186
23,8,0.004665484296434465,0.006264218344116641
24,8,0.00044357857539572757,0.0011693959889537433
25,8,0.00920871313204343,0.009112998504064591
26,8,0.2078571211851853,0.11377078775305016
27,8,0.11599125799196122,0.06720226638365377
28,8,0.15752135609645523,0.08954939796585963
29,8,0.07658285530547457,0.08139104836671456
30,8,0.1364812670257398,0.061961048638445954
31,8,4.975399354728571e-06,9.279396483918473e-06
32,8,0.016633161234970013,0.01159201676099194
33,8,0.0861729105817621,0.06693798171151202
