dataset,label_id,n_videos,mean_entropy,mean_concentration,mean_peak_window,std_entropy
epic_kitchens,0,5,2.360539434827855,0.015578594442500825,5.0,0.01907041140584475
epic_kitchens,1,5,2.3336115179550476,0.026808408012041117,3.6,0.054682700105590315
epic_kitchens,2,5,2.2588330664659035,0.05799344446356065,5.2,0.13363341579873853
epic_kitchens,3,5,2.1220403218878747,0.11504044986442223,6.4,0.2658090717481517
epic_kitchens,4,5,1.8609196528609921,0.22393622691900222,6.0,0.32205755799097785
epic_kitchens,5,5,2.210124323316328,0.07830656810249759,4.6,0.0498843428689897
epic_kitchens,6,5,2.0455420360126886,0.14694271296280675,2.8,0.1454233505493641
epic_kitchens,7,5,1.9531755404916709,0.18546253347741365,6.2,0.37219271390885134
epic_kitchens,8,5,2.2051066206977525,0.08039911262497783,4.2,0.11508750878141454
epic_kitchens,9,5,1.8787060975926793,0.21651870333761156,6.6,0.2246781890204405
epic_kitchens,10,5,1.934997223903126,0.19304348031640156,2.6,0.2981238485943795
epic_kitchens,11,5,1.954252254628777,0.18501350880593612,2.8,0.24553076766433463
epic_kitchens,12,5,2.1537007908108317,0.10183700879586835,3.6,0.09685824379218572
epic_kitchens,13,5,2.1988062166655444,0.0830265851854685,6.4,0.19473780282687028
epic_kitchens,14,5,1.795531920380645,0.25120502936509015,3.2,0.419059492229345
epic_kitchens,15,5,2.297696695635641,0.04178605225147998,4.0,0.0327698236014605
epic_kitchens,16,5,1.9864722669799277,0.1715767200034169,6.6,0.30238617353058156
epic_kitchens,17,5,2.243200484299769,0.06451273758843974,3.6,0.1203724937426039
epic_kitchens,18,5,1.8435916161371626,0.2311625795126279,5.6,0.29058534067083147
epic_kitchens,19,5,2.19625473141421,0.08409063718151646,4.4,0.16275220982383243
epic_kitchens,20,5,2.236672050507734,0.06723530594498699,2.2,0.16836562616174905
epic_kitchens,21,5,2.105646868918126,0.12187705076009751,4.6,0.17052449905727596
epic_kitchens,22,5,2.0861912779968343,0.1299906623685756,6.8,0.19880775232800735
epic_kitchens,23,5,2.2781206061815,0.0499499156512754,3.6,0.02661883143672911
epic_kitchens,24,5,2.294248639546907,0.04322400332792966,4.6,0.07199726365824033
epic_kitchens,25,5,2.1069302088345854,0.12134185644572619,7.4,0.17945830087849957
epic_kitchens,26,5,2.189792453680417,0.08678561631888755,6.2,0.15178884383680522
epic_kitchens,27,5,2.221420181976793,0.0735958291521337,5.8,0.13214209732282362
