label_id,n_videos,mean_entropy,mean_concentration,mean_peak_window,std_entropy
0,5,2.222594351536929,0.07310616241253269,4.8,0.0794341539976894
1,4,2.1030892257805647,0.12294367079416438,3.25,0.05650654738878138
2,5,1.9871932404253054,0.17127605072333763,3.8,0.2648322515903387
3,5,2.073444024001252,0.13530668018644537,4.4,0.14042222359375345
4,5,2.168877583137636,0.09550779479767217,4.8,0.07994698075436253
6,5,1.7105448781224162,0.2866473788381128,5.6,0.25891870938756795
7,5,1.851821601230057,0.22773040914795245,6.0,0.2801411499905341
8,5,1.621427563083407,0.3238121858461388,3.8,0.24479698289024446
9,5,1.7295575480691547,0.2787184796228646,4.2,0.47197516383748006
10,5,1.948291079179595,0.18749951205920778,4.6,0.22943268904290468
11,5,2.1089497368320727,0.1204996478553858,5.2,0.05619378888656534
12,5,1.7750807918142801,0.25973381241844606,3.0,0.17914651848169227
13,5,1.7980944377094275,0.250136376635402,3.8,0.16604259360030843
14,5,1.9022626776546048,0.20669484642060992,5.2,0.18107425080038306
15,5,1.6521665587240235,0.31099302898415293,5.8,0.10583858802676527
16,5,1.919085039132852,0.1996793767839334,2.6,0.24298244897059174
17,5,2.263351256628403,0.056109212815183905,3.8,0.10340775123599996
18,5,2.395599278502042,0.0009575039920943329,2.0,0.0035503535678879936
19,5,2.32348433926269,0.03103176956049547,5.8,0.033714186705419244
20,5,2.2276806185866063,0.07098502430138329,7.6,0.08376183777782555
21,5,2.27992229331523,0.04919855375729776,4.0,0.10279529376278315
22,5,2.2630593690700946,0.05623093938165251,3.0,0.08569311143973925
23,5,2.2283078409526724,0.07072345225810801,5.6,0.0772902713673904
24,5,1.8985379072595663,0.20824819632595917,3.2,0.13290304480048593
25,5,1.9195911660139526,0.199468305480344,2.6,0.1513749800992029
26,5,1.9896921246618515,0.17023393505427847,3.8,0.11891658600554848
27,5,1.615749710441024,0.3261800343117462,2.4,0.14187448637089653
28,5,1.7065123139062073,0.2883290887367703,2.4,0.2607000275835327
29,5,1.8249458472924267,0.2389384690838919,4.4,0.3297499087765808
30,5,1.7183574321800041,0.2833892907363457,5.0,0.18498968827807763
31,5,1.6218618569603556,0.3236310712320541,3.4,0.15133966439005936
32,5,1.7090502744213496,0.28727067699380016,4.2,0.3745899411617581
33,5,1.9909700848650957,0.16970098425457453,3.8,0.26139038938872583
34,5,1.9322442738171408,0.1941915496742316,3.4,0.18295264857759544
35,5,2.023530160530008,0.15612237803508172,4.2,0.17232640932691864
36,5,1.5497276342097153,0.3537133786492828,5.6,0.4101120641619307
37,5,1.8954765613346098,0.20952487673802053,5.4,0.4502904637021887
38,5,1.7667262280701592,0.26321793611596317,5.4,0.3034709235540945
39,5,1.8275595034879817,0.23784848979029868,5.6,0.09846044825963057
40,5,1.2850457570819198,0.4640942948345459,4.2,0.320325971295696
41,5,1.8892221199082282,0.21213318140308735,6.2,0.2828432873399325
43,5,1.6952606796366887,0.29302138468361866,5.2,0.09909004954971683
44,5,1.759530367672093,0.2662188429861237,5.6,0.21008007729258865
45,1,1.6787709187323816,0.29989814910755586,2.0,0.0
46,4,1.4121700869041371,0.4110793315605819,4.0,0.22867625693658933
47,5,1.3948447821908567,0.418304544817315,3.0,0.18881896995719694
48,4,1.7516477291999761,0.2695061585588833,5.5,0.1722881074058392
49,5,1.8410175000856939,0.23223606928537555,6.6,0.18796951878358775
50,5,1.7893130063975426,0.25379851793552516,5.6,0.5225868916414408
51,4,1.8235395450217258,0.23952494268290767,3.5,0.2068783787361299
52,5,1.8845192815843863,0.21409441731576076,4.8,0.1463971315474961
53,4,2.215391554279166,0.07610996217788132,4.25,0.06808097838943876
54,5,2.0385900383612965,0.14984192116854247,3.2,0.14819860337923624
55,3,2.382570894730426,0.006390762032764304,2.3333333333333335,0.018760059032518275
56,5,2.3894056179795222,0.003540461051470678,4.4,0.00980018334190638
57,5,1.7930663142898986,0.2522332669694243,6.2,0.18860857544888113
58,4,1.8798105475449813,0.21605811193279464,6.5,0.15572708885638606
59,5,1.301217634380055,0.4573500981710851,3.4,0.2433901838278485
