dataset,label_id,n_videos,mean_entropy,mean_concentration,mean_peak_window,std_entropy
hmdb51,0,5,2.2906234973507487,0.04473580504724652,3.2,0.21451173403507043
hmdb51,1,5,2.0814655925003365,0.13196142629229893,6.0,0.2652829496937732
hmdb51,2,5,2.3978549698326725,1.680764216680508e-05,6.6,7.398652992467884e-05
hmdb51,3,5,2.3267695084977773,0.02966174757815383,4.4,0.12858176714225966
hmdb51,4,5,2.038224868022308,0.14999420902828814,6.2,0.5241575716704704
hmdb51,5,5,2.3294526762401717,0.028542779717950738,5.2,0.09565636024904974
hmdb51,6,5,2.2626974381638623,0.056381876293008795,3.2,0.25549846609846527
hmdb51,7,5,2.142003379155325,0.10671520835203832,7.2,0.2409332181661067
hmdb51,8,5,2.2840140575829664,0.047492155519579325,5.0,0.1372849936861835
hmdb51,9,5,2.3468192360038613,0.0213003617688871,5.0,0.06606170864550612
hmdb51,10,5,2.0507892075621097,0.14475447246333836,5.6,0.3383587041486818
hmdb51,11,5,1.762053442958153,0.2651666388658348,6.2,0.5740505302709533
hmdb51,12,5,1.6043760188419842,0.33092323211861563,5.4,0.30550143101774324
hmdb51,13,5,2.223902378644799,0.07256067273968991,5.6,0.269858710960497
hmdb51,14,5,2.135721038084561,0.1093351480725216,6.2,0.23907853869171133
hmdb51,15,5,2.287328873568902,0.04610976988183309,7.4,0.19183077486070335
hmdb51,16,5,2.0425794685352536,0.14817819956267717,8.2,0.1842126120982189
hmdb51,17,5,2.2728115168608807,0.05216397786693827,4.8,0.11229228505162
hmdb51,18,5,2.2809643755959197,0.048763971691720955,4.8,0.11803548309000847
hmdb51,19,5,1.8899390986714888,0.21183417803484436,6.6,0.3845308838370084
hmdb51,20,5,2.1698652080144236,0.09509592323347513,8.0,0.10517265212984166
hmdb51,21,5,2.0217319348291047,0.15687229639944983,3.8,0.09789848905132201
hmdb51,22,5,2.358763031055444,0.016319412355844422,4.6,0.06856231192070691
hmdb51,23,5,2.292185817448286,0.04408426696080052,3.4,0.05906786516654555
hmdb51,24,5,2.269061839017477,0.05372771498504336,6.4,0.13450995960628923
hmdb51,25,5,2.3455522563923568,0.021828733306158532,2.8,0.06787765551613116
hmdb51,26,5,2.3962899777611733,0.0006694600283040808,4.6,0.0028198909298517713
hmdb51,27,5,1.8774519862204635,0.21704170840227893,4.2,0.3492721489140321
hmdb51,28,5,2.376965413642057,0.008728429216130373,5.2,0.02988947292063302
hmdb51,29,5,2.3797896531609397,0.0075506298556156535,3.6,0.03613833462882327
hmdb51,30,5,2.1452554198953253,0.10535900202522701,6.2,0.4252985763704854
hmdb51,31,5,2.391058520815055,0.0028511470291763706,5.8,0.013546244917277853
hmdb51,32,5,1.8278522021759538,0.23772642495648705,6.4,0.36808930194338185
hmdb51,33,5,2.3721231626653148,0.010747804720837428,7.4,0.023062413779565975
hmdb51,34,5,2.08237937911349,0.13158034767576401,6.4,0.298275160182982
hmdb51,35,5,2.3891486985562915,0.0036476047729439463,5.2,0.012586663440356699
hmdb51,36,5,2.3566955156309377,0.017181633257632733,3.8,0.050795838037904016
hmdb51,37,5,2.1107151494169285,0.11976341362327299,2.4,0.1027858072609581
hmdb51,38,5,2.389817475308475,0.0033687032046518794,3.0,0.015266986191684954
hmdb51,39,5,2.3977398467979896,6.481767662829263e-05,4.6,0.00024723566736808674
hmdb51,40,5,1.9125430807699906,0.20240758532459538,2.8,0.33705318817109503
hmdb51,41,5,1.9853161210552681,0.17205887030321299,6.0,0.18280400736239585
hmdb51,42,5,1.6196102698549626,0.32457005598711597,7.8,0.3259235355119005
hmdb51,43,5,2.3581417133995215,0.016578521943727886,4.8,0.06948639246359621
hmdb51,44,5,2.108278120986482,0.1207797334175911,4.8,0.26753884265877453
hmdb51,45,5,2.190356877790596,0.08655023318244223,4.4,0.16433122741104764
hmdb51,46,5,2.1019148819541584,0.12343341020844507,5.8,0.20880092265291
hmdb51,47,5,2.2278672830271686,0.07090717918334173,3.2,0.19770469561254447
hmdb51,48,5,2.1444330224033346,0.10570196841801313,5.4,0.10585085090866317
hmdb51,49,5,2.307466331230737,0.03771179775591378,4.8,0.015286584715758883
hmdb51,50,5,2.0862863106040854,0.12995103069311034,7.4,0.26294428037811113
