label_id,n_models,ensemble_concentration,std_across_models
0,6,0.3293435537898057,0.22136221788935315
1,6,0.3077031700783255,0.13729682360513354
2,6,0.2769486378897868,0.11700295698803631
3,6,0.32221335687525626,0.16369536366593807
4,6,0.3141850360025294,0.1871084099169519
5,6,0.33496294698447415,0.18410661719677546
6,6,0.4056679284327191,0.21808548131132585
7,6,0.3431022079609353,0.1661756689827822
8,6,0.30243596822089064,0.15139334871327506
9,6,0.39058114554265,0.20215172271928053
10,6,0.32816022354185836,0.2100212708987039
11,6,0.35528380720198377,0.264685854669083
12,6,0.3172277130776704,0.15377688775455362
13,6,0.3496533762220652,0.16120193472968333
14,6,0.2585149272333344,0.09559773777348923
15,6,0.28809394319477155,0.13403241107338112
16,6,0.1037189287940795,0.0471682492700031
17,6,0.1242654749215994,0.05344727040578989
18,6,0.1662144114709886,0.047034043569496135
19,6,0.13486820257499543,0.06318044539450024
20,6,0.15871831536985542,0.0850892160203144
21,6,0.3273768156377974,0.15319715192316757
22,6,0.20536562849111836,0.10424127482717309
23,6,0.4003056354634758,0.1968043777954189
24,6,0.3685853867124964,0.12014124487153192
25,6,0.13015901684021544,0.06550324458957536
26,6,0.3852524834580484,0.10734495358076299
27,6,0.38267339657305116,0.24148531741797746
28,6,0.5199313180410636,0.21189555769333362
29,6,0.3113257012741477,0.14316628276766635
30,6,0.27672978066814724,0.1446307487520577
31,6,0.40235996527366896,0.20164441940576078
32,6,0.2891175893228217,0.16975956433070732
33,6,0.2774636616188832,0.1253989197878092
34,6,0.3269247911590756,0.15399827021259013
35,6,0.34025735988080097,0.14471275454963098
36,6,0.2719440482788313,0.21617482116049325
37,6,0.2486622571535243,0.15258754833849364
38,6,0.2854187616882642,0.17384189056983404
39,6,0.30353304149110055,0.1842561537633454
40,6,0.323894745774957,0.13946908386238496
41,6,0.3064746078756297,0.16161826448794325
42,6,0.26112878145505247,0.18263261796944769
43,6,0.31900255870913075,0.14383323125814407
44,6,0.3418281852974436,0.1936288324317693
45,6,0.4135251744063176,0.13067842157766837
46,6,0.38659555795829514,0.2463236117414433
47,6,0.2775697141713294,0.15943787239465146
48,6,0.32368248437325187,0.17997717456775075
49,6,0.24232226626583606,0.15850759131486936
50,6,0.29715656198148716,0.18781697675979653
51,6,0.19982553893967556,0.08873301445561899
52,6,0.2602323325025188,0.16359469041530886
53,6,0.3533263064959488,0.18426417962189634
54,6,0.1918000057558387,0.10862639712209497
55,6,0.2576754652795339,0.16011144785927825
56,6,0.20141912177893895,0.10693113440749585
57,6,0.4469861516672007,0.21457866000791287
58,6,0.3290388379584565,0.1374946449302122
59,6,0.15395625510973918,0.10223439390411006
60,6,0.23414022061260673,0.12243426330448688
61,6,0.20410975304471402,0.11475521445895909
62,6,0.11400248135977764,0.048006927257358
63,6,0.24950360818442222,0.11941949505170692
64,6,0.23300351337676783,0.11000399197047003
65,6,0.2712503135471326,0.08765127667532759
66,6,0.23530984825559062,0.10817318603122718
67,6,0.21832632691372053,0.09239572329866048
68,6,0.2487652091995478,0.13636797571175102
69,6,0.23947271232470177,0.160558808658385
70,6,0.19317619796324356,0.10393463409534778
71,6,0.327741992680443,0.1758408389403644
72,6,0.24173502920165857,0.10766620304476789
73,6,0.3619174891895956,0.17784170472031988
74,6,0.3394265508513971,0.17426094862553965
75,6,0.415074638125549,0.17771239473593597
76,6,0.3459579544961817,0.1591889424055251
77,6,0.24801517020942518,0.14451835339689073
78,6,0.2283069062022652,0.11995790074487134
79,6,0.10135743833034316,0.06137431085936056
80,6,0.17506441898848216,0.12217283388629108
81,6,0.27096970847114843,0.10893495839410594
82,6,0.2588234827423597,0.1167514451349198
83,6,0.35011480902345177,0.2150865706264426
84,6,0.36058582999481326,0.14821722017106675
85,6,0.3627310238159199,0.15456548077058338
86,6,0.3143317990207448,0.17050161662811633
87,6,0.3094682328673485,0.1859162360620949
