model,dataset,coverage,stride_a,stride_b,std_s1,std_s16,var_ratio_16_over_1,levene_stat,levene_p,significant,interpretation
r3d_18,ucf101,100,1,16,0.20498852901980383,0.2419066181012585,1.1800983112464294,2.807473598700249,0.09538869604452652,False,marginal change
r3d_18,ssv2,100,1,16,0.2292111665584698,0.13733888863924512,0.5991806162944097,56.325197928545236,5.247750456702779e-13,True,variance stable
r3d_18,hmdb51,100,1,16,0.1637033729632867,0.30270564001361755,1.8491105753355122,17.949555840351554,5.0546986237672116e-05,True,variance INCREASES with stride
r3d_18,diving48,100,1,16,0.23096091936645288,0.13375881272461496,0.5791404559368194,11.773642194905964,0.0009015776977223529,True,variance stable
r3d_18,autsl,100,1,16,0.19533928570472492,0.1465298205629774,0.750129802534152,49.35695307682882,7.935657596349265e-12,True,variance stable
r3d_18,driveact,100,1,16,0.3450773736003889,0.37901578126458707,1.0983501358311303,0.8817669316913553,0.3512487102691265,False,marginal change
r3d_18,epic_kitchens,100,1,16,0.24976697695093172,0.18401170309300804,0.7367335129832827,12.543816689604,0.0005088923154739173,True,variance stable
mc3_18,ucf101,100,1,16,0.18637102354132626,0.19920137579547958,1.0688430580114576,0.36782709949831754,0.544878864538257,False,marginal change
mc3_18,ssv2,100,1,16,0.21641069154948678,0.12204487727934274,0.5639503105949104,67.21056750389985,4.816821943939204e-15,True,variance stable
mc3_18,hmdb51,100,1,16,0.17659264873047725,0.2619703129051838,1.4834723489625041,5.715326998472062,0.018689059035468567,True,variance INCREASES with stride
mc3_18,diving48,100,1,16,0.27991042004922356,0.21502795941994493,0.7682027650629386,3.858773063850143,0.052504347922623866,False,variance stable
mc3_18,autsl,100,1,16,0.2155699083928439,0.13643462844431747,0.6329020076530523,51.60036074776332,2.8394611653812587e-12,True,variance stable
mc3_18,driveact,100,1,16,0.36276439248461617,0.3752101154041631,1.0343080030539842,0.42353729520176314,0.5175070198764308,False,marginal change
mc3_18,epic_kitchens,100,1,16,0.26877528063132755,0.2143476258372991,0.797497539715406,4.186735771716226,0.04222908120617558,True,variance stable
r2plus1d_18,ucf101,100,1,16,0.14600284820224682,0.18559777653157739,1.2711928400416534,3.0146702057824566,0.08405415363594147,False,variance INCREASES with stride
r2plus1d_18,ssv2,100,1,16,0.22511771996622298,0.15841839808008273,0.7037135832760677,33.098505963215004,1.929412797539334e-08,True,variance stable
r2plus1d_18,hmdb51,100,1,16,0.20522799112059195,0.3101922877348498,1.5114521392996958,9.959223855655496,0.002114985614050517,True,variance INCREASES with stride
r2plus1d_18,diving48,100,1,16,0.24357366072014,0.16146423059766854,0.6628969218485817,11.852660734260347,0.0008683345127007137,True,variance stable
r2plus1d_18,autsl,100,1,16,0.19348422628853562,0.1611702352357023,0.8329890115298924,24.507799176609492,1.0482965926223641e-06,True,marginal change
r2plus1d_18,driveact,100,1,16,0.36180777611836723,0.3672198879307341,1.0149585253680058,0.005787327767508984,0.9395971487423602,False,marginal change
r2plus1d_18,epic_kitchens,100,1,16,0.2625623514605727,0.2039168983357805,0.7766418011752136,6.967753072890587,0.009044385623911527,True,variance stable
slowfast_r50,ucf101,100,1,16,0.14570756009660904,0.24003609464552048,1.6473825574938312,21.898801765158538,5.2898245663290606e-06,True,variance INCREASES with stride
slowfast_r50,ssv2,100,1,16,0.2459047072601828,0.13234247156768145,0.5381860010083853,83.98195828129845,4.518523807701008e-18,True,variance stable
slowfast_r50,hmdb51,100,1,16,0.18692105681987833,0.32609735261127293,1.7445725827504586,25.645078543905022,1.876606312662999e-06,True,variance INCREASES with stride
slowfast_r50,diving48,100,1,16,0.24618685787539,0.14554547649635086,0.5911992100683985,7.89451519734712,0.006057079504494036,True,variance stable
slowfast_r50,autsl,100,1,16,0.16017818217743146,0.10538777793030286,0.6579408995641026,60.76588777146765,4.502137656010924e-14,True,variance stable
slowfast_r50,driveact,100,1,16,0.2802276741371495,0.386759417899196,1.3801613909472272,0.9709603200849725,0.3281514434689643,False,variance INCREASES with stride
