label_id,sum,count,acc,coverage,stride,model,dataset
0,0,13,0.0,10,1,videomae,driveact
1,0,4,0.0,10,1,videomae,driveact
2,0,4,0.0,10,1,videomae,driveact
3,0,7,0.0,10,1,videomae,driveact
4,7,20,0.35,10,1,videomae,driveact
5,14,20,0.7,10,1,videomae,driveact
6,4,5,0.8,10,1,videomae,driveact
7,0,7,0.0,10,1,videomae,driveact
8,0,13,0.0,10,1,videomae,driveact
9,2,20,0.1,10,1,videomae,driveact
10,12,20,0.6,10,1,videomae,driveact
11,0,11,0.0,10,1,videomae,driveact
13,0,18,0.0,10,1,videomae,driveact
14,0,6,0.0,10,1,videomae,driveact
15,0,4,0.0,10,1,videomae,driveact
16,0,11,0.0,10,1,videomae,driveact
17,0,20,0.0,10,1,videomae,driveact
18,0,5,0.0,10,1,videomae,driveact
19,19,20,0.95,10,1,videomae,driveact
20,0,1,0.0,10,1,videomae,driveact
21,0,20,0.0,10,1,videomae,driveact
22,0,15,0.0,10,1,videomae,driveact
23,20,20,1.0,10,1,videomae,driveact
24,19,20,0.95,10,1,videomae,driveact
25,20,20,1.0,10,1,videomae,driveact
26,0,1,0.0,10,1,videomae,driveact
27,0,20,0.0,10,1,videomae,driveact
28,0,14,0.0,10,1,videomae,driveact
29,2,20,0.1,10,1,videomae,driveact
30,0,9,0.0,10,1,videomae,driveact
31,7,20,0.35,10,1,videomae,driveact
32,11,20,0.55,10,1,videomae,driveact
33,16,20,0.8,10,1,videomae,driveact
0,0,13,0.0,10,2,videomae,driveact
1,0,4,0.0,10,2,videomae,driveact
2,0,4,0.0,10,2,videomae,driveact
3,0,7,0.0,10,2,videomae,driveact
4,2,20,0.1,10,2,videomae,driveact
5,12,20,0.6,10,2,videomae,driveact
6,2,5,0.4,10,2,videomae,driveact
7,0,7,0.0,10,2,videomae,driveact
8,0,13,0.0,10,2,videomae,driveact
9,0,20,0.0,10,2,videomae,driveact
10,12,20,0.6,10,2,videomae,driveact
11,0,11,0.0,10,2,videomae,driveact
13,0,18,0.0,10,2,videomae,driveact
14,0,6,0.0,10,2,videomae,driveact
15,0,4,0.0,10,2,videomae,driveact
16,0,11,0.0,10,2,videomae,driveact
17,0,20,0.0,10,2,videomae,driveact
18,0,5,0.0,10,2,videomae,driveact
19,19,20,0.95,10,2,videomae,driveact
20,0,1,0.0,10,2,videomae,driveact
21,0,20,0.0,10,2,videomae,driveact
22,0,15,0.0,10,2,videomae,driveact
