label_id,sum,count,acc,coverage,stride,model,dataset
0,2,17,0.11764705882352941,10,1,slowfast_r50,finegym
1,1,20,0.05,10,1,slowfast_r50,finegym
2,7,20,0.35,10,1,slowfast_r50,finegym
3,0,13,0.0,10,1,slowfast_r50,finegym
4,0,20,0.0,10,1,slowfast_r50,finegym
6,0,20,0.0,10,1,slowfast_r50,finegym
7,0,20,0.0,10,1,slowfast_r50,finegym
8,0,20,0.0,10,1,slowfast_r50,finegym
9,0,20,0.0,10,1,slowfast_r50,finegym
10,0,20,0.0,10,1,slowfast_r50,finegym
11,0,16,0.0,10,1,slowfast_r50,finegym
12,0,16,0.0,10,1,slowfast_r50,finegym
13,0,11,0.0,10,1,slowfast_r50,finegym
14,0,15,0.0,10,1,slowfast_r50,finegym
15,0,20,0.0,10,1,slowfast_r50,finegym
16,20,20,1.0,10,1,slowfast_r50,finegym
17,0,20,0.0,10,1,slowfast_r50,finegym
18,3,20,0.15,10,1,slowfast_r50,finegym
19,0,13,0.0,10,1,slowfast_r50,finegym
20,0,12,0.0,10,1,slowfast_r50,finegym
21,0,20,0.0,10,1,slowfast_r50,finegym
22,0,20,0.0,10,1,slowfast_r50,finegym
23,0,8,0.0,10,1,slowfast_r50,finegym
24,0,20,0.0,10,1,slowfast_r50,finegym
25,7,20,0.35,10,1,slowfast_r50,finegym
26,1,20,0.05,10,1,slowfast_r50,finegym
27,0,15,0.0,10,1,slowfast_r50,finegym
28,0,20,0.0,10,1,slowfast_r50,finegym
29,0,8,0.0,10,1,slowfast_r50,finegym
30,0,20,0.0,10,1,slowfast_r50,finegym
31,0,20,0.0,10,1,slowfast_r50,finegym
32,1,20,0.05,10,1,slowfast_r50,finegym
33,0,14,0.0,10,1,slowfast_r50,finegym
34,0,20,0.0,10,1,slowfast_r50,finegym
35,0,20,0.0,10,1,slowfast_r50,finegym
36,0,16,0.0,10,1,slowfast_r50,finegym
37,0,20,0.0,10,1,slowfast_r50,finegym
38,0,20,0.0,10,1,slowfast_r50,finegym
39,0,13,0.0,10,1,slowfast_r50,finegym
40,0,20,0.0,10,1,slowfast_r50,finegym
41,0,20,0.0,10,1,slowfast_r50,finegym
43,4,20,0.2,10,1,slowfast_r50,finegym
44,0,10,0.0,10,1,slowfast_r50,finegym
45,0,1,0.0,10,1,slowfast_r50,finegym
46,0,20,0.0,10,1,slowfast_r50,finegym
47,0,20,0.0,10,1,slowfast_r50,finegym
48,0,4,0.0,10,1,slowfast_r50,finegym
49,0,5,0.0,10,1,slowfast_r50,finegym
50,0,20,0.0,10,1,slowfast_r50,finegym
51,0,20,0.0,10,1,slowfast_r50,finegym
52,0,20,0.0,10,1,slowfast_r50,finegym
53,0,9,0.0,10,1,slowfast_r50,finegym
54,0,13,0.0,10,1,slowfast_r50,finegym
55,17,20,0.85,10,1,slowfast_r50,finegym
56,0,11,0.0,10,1,slowfast_r50,finegym
57,0,9,0.0,10,1,slowfast_r50,finegym
58,0,14,0.0,10,1,slowfast_r50,finegym
59,0,20,0.0,10,1,slowfast_r50,finegym
60,0,20,0.0,10,1,slowfast_r50,finegym
61,0,20,0.0,10,1,slowfast_r50,finegym
62,0,20,0.0,10,1,slowfast_r50,finegym
63,0,20,0.0,10,1,slowfast_r50,finegym
64,0,20,0.0,10,1,slowfast_r50,finegym
65,0,4,0.0,10,1,slowfast_r50,finegym
66,0,20,0.0,10,1,slowfast_r50,finegym
67,0,20,0.0,10,1,slowfast_r50,finegym
68,3,20,0.15,10,1,slowfast_r50,finegym
69,0,17,0.0,10,1,slowfast_r50,finegym
70,11,12,0.9166666666666666,10,1,slowfast_r50,finegym
71,0,20,0.0,10,1,slowfast_r50,finegym
72,0,3,0.0,10,1,slowfast_r50,finegym
73,1,3,0.3333333333333333,10,1,slowfast_r50,finegym
74,0,20,0.0,10,1,slowfast_r50,finegym
75,0,19,0.0,10,1,slowfast_r50,finegym
76,4,20,0.2,10,1,slowfast_r50,finegym
77,0,7,0.0,10,1,slowfast_r50,finegym
78,0,20,0.0,10,1,slowfast_r50,finegym
