model,dataset,coverage,stride,n_classes,mean_acc,std_acc,min_acc,max_acc
r3d_18,ucf101,10,1,101,0.6584158415841586,0.28801643242449665,0.0,1.0
r3d_18,ucf101,10,2,101,0.6381188118811881,0.2913029792888742,0.0,1.0
r3d_18,ucf101,10,4,101,0.5856435643564356,0.2973496791374901,0.0,1.0
r3d_18,ucf101,10,8,101,0.5094059405940594,0.31461983975006474,0.0,1.0
r3d_18,ucf101,10,16,101,0.4460396039603961,0.32784776713566555,0.0,1.0
r3d_18,ucf101,25,1,101,0.7371287128712871,0.25165983642076606,0.1,1.0
r3d_18,ucf101,25,2,101,0.7321782178217822,0.24915699452512283,0.1,1.0
r3d_18,ucf101,25,4,101,0.7183168316831683,0.26473786773686414,0.05,1.0
r3d_18,ucf101,25,8,101,0.654950495049505,0.28464934133904557,0.0,1.0
r3d_18,ucf101,25,16,101,0.5509900990099009,0.31503810864876347,0.0,1.0
r3d_18,ucf101,50,1,101,0.7886138613861385,0.22537537444437136,0.15,1.0
r3d_18,ucf101,50,2,101,0.7871287128712872,0.22656714957673527,0.2,1.0
r3d_18,ucf101,50,4,101,0.7702970297029703,0.23099547807498116,0.15,1.0
r3d_18,ucf101,50,8,101,0.745049504950495,0.2453064359627616,0.05,1.0
r3d_18,ucf101,50,16,101,0.6569306930693068,0.27883953297284597,0.0,1.0
r3d_18,ucf101,75,1,101,0.8084158415841584,0.20881442801333114,0.15,1.0
r3d_18,ucf101,75,2,101,0.8113861386138614,0.20480248876891263,0.2,1.0
r3d_18,ucf101,75,4,101,0.8084158415841585,0.20881442801333114,0.15,1.0
r3d_18,ucf101,75,8,101,0.7816831683168314,0.21905738657680865,0.15,1.0
r3d_18,ucf101,75,16,101,0.7173267326732672,0.26224374573708675,0.0,1.0
r3d_18,ucf101,100,1,101,0.8123762376237622,0.20498852901980383,0.1,1.0
r3d_18,ucf101,100,2,101,0.8128712871287128,0.19920510351727116,0.1,1.0
r3d_18,ucf101,100,4,101,0.8163366336633662,0.20372885299965363,0.1,1.0
r3d_18,ucf101,100,8,101,0.8069306930693068,0.21012254792980892,0.1,1.0
r3d_18,ucf101,100,16,101,0.7524752475247525,0.2419066181012585,0.05,1.0
r3d_18,ssv2,10,1,174,0.03448275862068965,0.09641263223651644,0.0,0.65
r3d_18,ssv2,10,2,174,0.026436781609195402,0.08909924338110273,0.0,0.65
r3d_18,ssv2,10,4,174,0.029885057471264364,0.09794411822902596,0.0,0.75
r3d_18,ssv2,10,8,174,0.026436781609195402,0.09521471945630455,0.0,0.7
r3d_18,ssv2,10,16,174,0.026436781609195402,0.09521471945630455,0.0,0.7
r3d_18,ssv2,25,1,174,0.08601730266617637,0.11868486529296006,0.0,0.65
r3d_18,ssv2,25,2,174,0.06644514430091455,0.11005851669270378,0.0,0.65
r3d_18,ssv2,25,4,174,0.04541742286751361,0.10147333494427276,0.0,0.6
r3d_18,ssv2,25,8,174,0.03104960677555959,0.09194496019540717,0.0,0.65
r3d_18,ssv2,25,16,174,0.027586206896551724,0.09549343126931299,0.0,0.7
r3d_18,ssv2,50,1,174,0.19820202128038147,0.1640193934577294,0.0,0.7
r3d_18,ssv2,50,2,174,0.19629609859672847,0.16715066665128964,0.0,0.7
r3d_18,ssv2,50,4,174,0.13074435864283201,0.1460979634902492,0.0,0.7
r3d_18,ssv2,50,8,174,0.07164246823956442,0.12205184401558031,0.0,0.65
r3d_18,ssv2,50,16,174,0.04485783424077435,0.10848278762455747,0.0,0.65
r3d_18,ssv2,75,1,174,0.3273108361110123,0.20984007991413825,0.0,1.0
r3d_18,ssv2,75,2,174,0.31401833268092477,0.21329595020252665,0.0,1.0
r3d_18,ssv2,75,4,174,0.2638222147096387,0.19195791642719914,0.0,0.8888888888888888
r3d_18,ssv2,75,8,174,0.12951901672142943,0.16675003929240703,0.0,0.75
r3d_18,ssv2,75,16,174,0.0653223096054312,0.12450868364289401,0.0,0.7
r3d_18,ssv2,100,1,174,0.36986102214630556,0.2292111665584698,0.0,1.0
r3d_18,ssv2,100,2,174,0.3696234119782214,0.2307620007834866,0.0,1.0
r3d_18,ssv2,100,4,174,0.32258789228536744,0.20503594525635102,0.0,0.95
