resolution,coverage,stride,top1,n
224,10,1,0.076875,1600
224,10,2,0.061875,1600
224,10,4,0.05875,1600
224,10,8,0.054375,1600
224,10,16,0.051875,1600
224,25,1,0.186875,1600
224,25,2,0.158125,1600
224,25,4,0.089375,1600
224,25,8,0.065,1600
224,25,16,0.058125,1600
224,50,1,0.508125,1600
224,50,2,0.325,1600
224,50,4,0.1375,1600
224,50,8,0.0875,1600
224,50,16,0.06125,1600
224,75,1,0.681875,1600
224,75,2,0.460625,1600
224,75,4,0.18625,1600
224,75,8,0.084375,1600
224,75,16,0.065625,1600
224,100,1,0.781875,1600
224,100,2,0.57625,1600
224,100,4,0.23,1600
224,100,8,0.08,1600
224,100,16,0.066875,1600
