coverage,stride,top1,n
10,1,0.046078431372549,1020
10,2,0.042156862745098,1020
10,4,0.0362745098039215,1020
10,8,0.0352941176470588,1020
10,16,0.0294117647058823,1020
25,1,0.0764705882352941,1020
25,2,0.0588235294117647,1020
25,4,0.0578431372549019,1020
25,8,0.0519607843137254,1020
25,16,0.0362745098039215,1020
50,1,0.0931372549019607,1020
50,2,0.0931372549019607,1020
50,4,0.0852941176470588,1020
50,8,0.0666666666666666,1020
50,16,0.0529411764705882,1020
75,1,0.1049019607843137,1020
75,2,0.1049019607843137,1020
75,4,0.0931372549019607,1020
75,8,0.0774509803921568,1020
75,16,0.0784313725490196,1020
100,1,0.1137254901960784,1020
100,2,0.1166666666666666,1020
100,4,0.096078431372549,1020
100,8,0.0901960784313725,1020
100,16,0.0774509803921568,1020
