coverage,stride,top1,n
10,1,0.0438799076212471,3464
10,2,0.0355080831408776,3464
10,4,0.0343533487297921,3464
10,8,0.0291570438799076,3464
10,16,0.0291570438799076,3464
25,1,0.0912240184757505,3464
25,2,0.0721709006928406,3464
25,4,0.056581986143187,3464
25,8,0.0444572748267898,3464
25,16,0.0317551963048498,3464
50,1,0.2667245873153779,3453
50,2,0.2133757961783439,3454
50,4,0.115417992479028,3457
50,8,0.0711599652878218,3457
50,16,0.0453233256351039,3464
75,1,0.4123222748815165,3376
75,2,0.376850207223209,3378
75,4,0.2321111768184506,3382
75,8,0.1144117647058823,3400
75,16,0.0665887850467289,3424
100,1,0.4659541984732824,3275
100,2,0.4374618669920683,3278
100,4,0.2788929440389294,3288
100,8,0.1377009402487109,3297
100,16,0.072328931572629,3332
