resolution,coverage,stride,top1,n
48,10,1,0.051875,1600
48,10,2,0.051875,1600
48,10,4,0.05,1600
48,10,8,0.049375,1600
48,10,16,0.04875,1600
48,25,1,0.100625,1600
48,25,2,0.093125,1600
48,25,4,0.07625,1600
48,25,8,0.06125,1600
48,25,16,0.05375,1600
48,50,1,0.3,1600
48,50,2,0.29625,1600
48,50,4,0.16875,1600
48,50,8,0.0925,1600
48,50,16,0.0625,1600
48,75,1,0.52625,1600
48,75,2,0.4675,1600
48,75,4,0.299375,1600
48,75,8,0.130625,1600
48,75,16,0.074375,1600
48,100,1,0.61625,1600
48,100,2,0.525625,1600
48,100,4,0.339375,1600
48,100,8,0.14,1600
48,100,16,0.0875,1600
