resolution,coverage,stride,top1,n
160,10,1,0.06625,1600
160,10,2,0.063125,1600
160,10,4,0.051875,1600
160,10,8,0.03875,1600
160,10,16,0.035,1600
160,25,1,0.109375,1600
160,25,2,0.10375,1600
160,25,4,0.0825,1600
160,25,8,0.059375,1600
160,25,16,0.046875,1600
160,50,1,0.27,1600
160,50,2,0.27375,1600
160,50,4,0.1875,1600
160,50,8,0.099375,1600
160,50,16,0.071875,1600
160,75,1,0.52875,1600
160,75,2,0.47625,1600
160,75,4,0.309375,1600
160,75,8,0.140625,1600
160,75,16,0.0825,1600
160,100,1,0.6475,1600
160,100,2,0.60375,1600
160,100,4,0.414375,1600
160,100,8,0.175625,1600
160,100,16,0.0875,1600
