resolution,coverage,stride,top1,n
160,10,1,0.07625,1600
160,10,2,0.06375,1600
160,10,4,0.05625,1600
160,10,8,0.053125,1600
160,10,16,0.053125,1600
160,25,1,0.16375,1600
160,25,2,0.14125,1600
160,25,4,0.100625,1600
160,25,8,0.07,1600
160,25,16,0.053125,1600
160,50,1,0.335625,1600
160,50,2,0.350625,1600
160,50,4,0.240625,1600
160,50,8,0.1075,1600
160,50,16,0.06625,1600
160,75,1,0.604375,1600
160,75,2,0.561875,1600
160,75,4,0.335625,1600
160,75,8,0.15625,1600
160,75,16,0.08125,1600
160,100,1,0.74875,1600
160,100,2,0.6875,1600
160,100,4,0.464375,1600
160,100,8,0.195,1600
160,100,16,0.103125,1600
