resolution,coverage,stride,top1,n
112,10,1,0.05875,1600
112,10,2,0.051875,1600
112,10,4,0.041875,1600
112,10,8,0.03375,1600
112,10,16,0.0325,1600
112,25,1,0.1075,1600
112,25,2,0.108125,1600
112,25,4,0.073125,1600
112,25,8,0.050625,1600
112,25,16,0.038125,1600
112,50,1,0.2475,1600
112,50,2,0.233125,1600
112,50,4,0.155625,1600
112,50,8,0.089375,1600
112,50,16,0.056875,1600
112,75,1,0.44875,1600
112,75,2,0.3875,1600
112,75,4,0.22875,1600
112,75,8,0.119375,1600
112,75,16,0.084375,1600
112,100,1,0.575,1600
112,100,2,0.478125,1600
112,100,4,0.30625,1600
112,100,8,0.143125,1600
112,100,16,0.098125,1600
