config,top1,n,mean_distinct,model,dataset,mode,budget
k16_box,0.1864406779661017,177,15.875706214689265,vivit,ssv2,antialias,32
k16_point,0.3050847457627119,177,15.875706214689265,vivit,ssv2,antialias,32
k1_box,0.022598870056497175,177,1.0,vivit,ssv2,antialias,32
k1_point,0.022598870056497175,177,1.0,vivit,ssv2,antialias,32
k2_box,0.05084745762711865,177,2.0,vivit,ssv2,antialias,32
k2_point,0.07344632768361582,177,2.0,vivit,ssv2,antialias,32
k4_box,0.096045197740113,177,4.0,vivit,ssv2,antialias,32
k4_point,0.1694915254237288,177,4.0,vivit,ssv2,antialias,32
k8_box,0.1751412429378531,177,8.0,vivit,ssv2,antialias,32
k8_point,0.2598870056497175,177,8.0,vivit,ssv2,antialias,32
