resolution,coverage,stride,top1,n
112,10,1,0.086875,1600
112,10,2,0.0775,1600
112,10,4,0.07375,1600
112,10,8,0.07125,1600
112,10,16,0.07125,1600
112,25,1,0.22,1600
112,25,2,0.184375,1600
112,25,4,0.143125,1600
112,25,8,0.108125,1600
112,25,16,0.085,1600
112,50,1,0.43125,1600
112,50,2,0.39,1600
112,50,4,0.33375,1600
112,50,8,0.226875,1600
112,50,16,0.124375,1600
112,75,1,0.484375,1600
112,75,2,0.49,1600
112,75,4,0.445625,1600
112,75,8,0.3525,1600
112,75,16,0.19375,1600
112,100,1,0.508125,1600
112,100,2,0.505,1600
112,100,4,0.491875,1600
112,100,8,0.41375,1600
112,100,16,0.243125,1600
