dataset,split,video_id,video_path,label,label_id,exists,readable,fps,num_frames,duration,width,height,error
hmdb51,all,20060723sfjffangelina_throw_u_cm_np1_ba_med_4,data/HMDB51_data/videos/throw/20060723sfjffangelina_throw_u_cm_np1_ba_med_4.avi,throw,47,True,True,30.0,32,1.0666666666666667,320,240,
hmdb51,all,2008-08-09GiantsGameDodgersPracticeClaytonKershaw_throw_f_cm_np1_fr_med_0,data/HMDB51_data/videos/throw/2008-08-09GiantsGameDodgersPracticeClaytonKershaw_throw_f_cm_np1_fr_med_0.avi,throw,47,True,True,30.0,111,3.7,320,240,
hmdb51,all,2008-08-09GiantsGameDodgersPracticeClaytonKershaw_throw_f_cm_np1_fr_med_1,data/HMDB51_data/videos/throw/2008-08-09GiantsGameDodgersPracticeClaytonKershaw_throw_f_cm_np1_fr_med_1.avi,throw,47,True,True,30.0,126,4.2,320,240,
hmdb51,all,2008-08-09GiantsGameDodgersPracticeClaytonKershaw_throw_f_cm_np1_fr_med_2,data/HMDB51_data/videos/throw/2008-08-09GiantsGameDodgersPracticeClaytonKershaw_throw_f_cm_np1_fr_med_2.avi,throw,47,True,True,30.0,171,5.7,320,240,
hmdb51,all,AboutABoy_throw_f_nm_np1_ba_med_2,data/HMDB51_data/videos/throw/AboutABoy_throw_f_nm_np1_ba_med_2.avi,throw,47,True,True,30.0,80,2.6666666666666665,560,240,
hmdb51,all,AboutABoy_throw_u_nm_np1_ba_med_3,data/HMDB51_data/videos/throw/AboutABoy_throw_u_nm_np1_ba_med_3.avi,throw,47,True,True,30.0,74,2.466666666666667,560,240,
hmdb51,all,AdamandAlvonplayingbasketball2_throw_f_nm_np1_fr_med_1,data/HMDB51_data/videos/throw/AdamandAlvonplayingbasketball2_throw_f_nm_np1_fr_med_1.avi,throw,47,True,True,30.0,80,2.6666666666666665,320,240,
hmdb51,all,amazingballthrowingtricks_throw_f_cm_np1_fr_med_6,data/HMDB51_data/videos/throw/amazingballthrowingtricks_throw_f_cm_np1_fr_med_6.avi,throw,47,True,True,30.0,96,3.2,320,240,
hmdb51,all,amazingballthrowingtricks_throw_f_cm_np1_ri_med_1,data/HMDB51_data/videos/throw/amazingballthrowingtricks_throw_f_cm_np1_ri_med_1.avi,throw,47,True,True,30.0,81,2.7,320,240,
hmdb51,all,amazingballthrowingtricks_throw_f_cm_np1_ri_med_2,data/HMDB51_data/videos/throw/amazingballthrowingtricks_throw_f_cm_np1_ri_med_2.avi,throw,47,True,True,30.0,96,3.2,320,240,
hmdb51,all,amazingballthrowingtricks_throw_f_cm_np1_ri_med_4,data/HMDB51_data/videos/throw/amazingballthrowingtricks_throw_f_cm_np1_ri_med_4.avi,throw,47,True,True,30.0,80,2.6666666666666665,320,240,
hmdb51,all,amazingballthrowingtricks_throw_f_cm_np1_ri_med_5,data/HMDB51_data/videos/throw/amazingballthrowingtricks_throw_f_cm_np1_ri_med_5.avi,throw,47,True,True,30.0,81,2.7,320,240,
hmdb51,all,amazingballthrowingtricks_throw_f_nm_np1_ri_med_0,data/HMDB51_data/videos/throw/amazingballthrowingtricks_throw_f_nm_np1_ri_med_0.avi,throw,47,True,True,30.0,81,2.7,320,240,
hmdb51,all,amazingballthrowingtricks_throw_u_cm_np1_fr_med_3,data/HMDB51_data/videos/throw/amazingballthrowingtricks_throw_u_cm_np1_fr_med_3.avi,throw,47,True,True,30.0,80,2.6666666666666665,320,240,
hmdb51,all,APOCALYPTO_throw_f_nm_np1_fr_med_1,data/HMDB51_data/videos/throw/APOCALYPTO_throw_f_nm_np1_fr_med_1.avi,throw,47,True,True,30.0,55,1.8333333333333333,416,240,
hmdb51,all,APOCALYPTO_throw_u_cm_np1_ri_med_0,data/HMDB51_data/videos/throw/APOCALYPTO_throw_u_cm_np1_ri_med_0.avi,throw,47,True,True,30.0,72,2.4,416,240,
hmdb51,all,BaseballPitchingtarget_BaseballPitchingCage_throw_u_cm_np1_ba_med_1,data/HMDB51_data/videos/throw/BaseballPitchingtarget_BaseballPitchingCage_throw_u_cm_np1_ba_med_1.avi,throw,47,True,True,30.0,101,3.3666666666666667,320,240,
hmdb51,all,BaseballPitchingtarget_BaseballPitchingCage_throw_u_nm_np1_ba_med_0,data/HMDB51_data/videos/throw/BaseballPitchingtarget_BaseballPitchingCage_throw_u_nm_np1_ba_med_0.avi,throw,47,True,True,30.0,119,3.966666666666667,320,240,
hmdb51,all,baseballpitchslowmotion_throw_f_nm_np1_fr_med_0,data/HMDB51_data/videos/throw/baseballpitchslowmotion_throw_f_nm_np1_fr_med_0.avi,throw,47,True,True,30.0,741,24.7,320,240,
hmdb51,all,BiomechanicsEvaluationofaPitcher_throw_f_cm_np1_ri_med_0,data/HMDB51_data/videos/throw/BiomechanicsEvaluationofaPitcher_throw_f_cm_np1_ri_med_0.avi,throw,47,True,True,30.0,695,23.166666666666668,320,240,
hmdb51,all,Compilationknifethrowing_throw_u_nm_np1_ba_med_0,data/HMDB51_data/videos/throw/Compilationknifethrowing_throw_u_nm_np1_ba_med_0.avi,throw,47,True,,,,,,,not_probed
hmdb51,all,Compilationknifethrowing_throw_u_nm_np1_ba_med_1,data/HMDB51_data/videos/throw/Compilationknifethrowing_throw_u_nm_np1_ba_med_1.avi,throw,47,True,,,,,,,not_probed
hmdb51,all,Compilationknifethrowing_throw_u_nm_np1_ba_med_10,data/HMDB51_data/videos/throw/Compilationknifethrowing_throw_u_nm_np1_ba_med_10.avi,throw,47,True,,,,,,,not_probed
hmdb51,all,Compilationknifethrowing_throw_u_nm_np1_ba_med_11,data/HMDB51_data/videos/throw/Compilationknifethrowing_throw_u_nm_np1_ba_med_11.avi,throw,47,True,,,,,,,not_probed
hmdb51,all,Compilationknifethrowing_throw_u_nm_np1_ba_med_12,data/HMDB51_data/videos/throw/Compilationknifethrowing_throw_u_nm_np1_ba_med_12.avi,throw,47,True,,,,,,,not_probed
hmdb51,all,Compilationknifethrowing_throw_u_nm_np1_ba_med_13,data/HMDB51_data/videos/throw/Compilationknifethrowing_throw_u_nm_np1_ba_med_13.avi,throw,47,True,,,,,,,not_probed
hmdb51,all,Compilationknifethrowing_throw_u_nm_np1_ba_med_14,data/HMDB51_data/videos/throw/Compilationknifethrowing_throw_u_nm_np1_ba_med_14.avi,throw,47,True,,,,,,,not_probed
hmdb51,all,Compilationknifethrowing_throw_u_nm_np1_ba_med_15,data/HMDB51_data/videos/throw/Compilationknifethrowing_throw_u_nm_np1_ba_med_15.avi,throw,47,True,,,,,,,not_probed
hmdb51,all,Compilationknifethrowing_throw_u_nm_np1_ba_med_16,data/HMDB51_data/videos/throw/Compilationknifethrowing_throw_u_nm_np1_ba_med_16.avi,throw,47,True,,,,,,,not_probed
hmdb51,all,Compilationknifethrowing_throw_u_nm_np1_ba_med_17,data/HMDB51_data/videos/throw/Compilationknifethrowing_throw_u_nm_np1_ba_med_17.avi,throw,47,True,,,,,,,not_probed
hmdb51,all,Compilationknifethrowing_throw_u_nm_np1_ba_med_18,data/HMDB51_data/videos/throw/Compilationknifethrowing_throw_u_nm_np1_ba_med_18.avi,throw,47,True,,,,,,,not_probed
hmdb51,all,Compilationknifethrowing_throw_u_nm_np1_ba_med_19,data/HMDB51_data/videos/throw/Compilationknifethrowing_throw_u_nm_np1_ba_med_19.avi,throw,47,True,,,,,,,not_probed
