dataset,split,video_id,video_path,label,label_clean,label_id,exists
somethingv2,validation,452,data/Something_data/videos/452.webm,Spinning [something] that quickly stops spinning,Spinning something that quickly stops spinning,140,False
somethingv2,validation,127985,data/Something_data/videos/127985.webm,Spinning [something] that quickly stops spinning,Spinning something that quickly stops spinning,140,False
somethingv2,validation,81179,data/Something_data/videos/81179.webm,Showing [something] on top of [something],Showing something on top of something,127,False
somethingv2,validation,29614,data/Something_data/videos/29614.webm,Showing [something] on top of [something],Showing something on top of something,127,False
somethingv2,validation,52698,data/Something_data/videos/52698.webm,Wiping [something] off of [something],Wiping something off of something,173,False
somethingv2,validation,127300,data/Something_data/videos/127300.webm,Wiping [something] off of [something],Wiping something off of something,173,False
somethingv2,validation,132790,data/Something_data/videos/132790.webm,Pushing [something] so that it falls off the table,Pushing something so that it falls off the table,99,False
somethingv2,validation,173229,data/Something_data/videos/173229.webm,Pushing [something] so that it falls off the table,Pushing something so that it falls off the table,99,False
somethingv2,validation,19508,data/Something_data/videos/19508.webm,Turning the camera left while filming [something],Turning the camera left while filming something,166,False
somethingv2,validation,154181,data/Something_data/videos/154181.webm,Turning the camera left while filming [something],Turning the camera left while filming something,166,False
somethingv2,validation,171956,data/Something_data/videos/171956.webm,Showing [something] next to [something],Showing something next to something,126,False
somethingv2,validation,212827,data/Something_data/videos/212827.webm,Showing [something] next to [something],Showing something next to something,126,False
somethingv2,validation,91309,data/Something_data/videos/91309.webm,Throwing [something],Throwing something,151,False
somethingv2,validation,145707,data/Something_data/videos/145707.webm,Throwing [something],Throwing something,151,False
somethingv2,validation,15422,data/Something_data/videos/15422.webm,[Something] falling like a feather or paper,Something falling like a feather or paper,134,False
somethingv2,validation,85046,data/Something_data/videos/85046.webm,[Something] falling like a feather or paper,Something falling like a feather or paper,134,False
somethingv2,validation,35716,data/Something_data/videos/35716.webm,Bending [something] so that it deforms,Bending something so that it deforms,2,False
somethingv2,validation,174755,data/Something_data/videos/174755.webm,Bending [something] so that it deforms,Bending something so that it deforms,2,False
somethingv2,validation,190956,data/Something_data/videos/190956.webm,Moving [something] up,Moving something up,45,False
