dataset,split,video_id,video_path,label,label_id,total_frames_annotation,exists,readable,fps,num_frames,duration,width,height,error
diving48,train,3qq031609lA_00002,data/Diving48_data/videos/3qq031609lA_00002.mp4,class_00,0,124,True,True,25.0,124,4.96,640,480,
diving48,train,3qq031609lA_00004,data/Diving48_data/videos/3qq031609lA_00004.mp4,class_00,0,103,True,True,25.0,103,4.12,640,480,
diving48,train,5V-dKBtmKLI_00018,data/Diving48_data/videos/5V-dKBtmKLI_00018.mp4,class_00,0,56,True,True,25.0,56,2.24,640,480,
diving48,train,5V-dKBtmKLI_00019,data/Diving48_data/videos/5V-dKBtmKLI_00019.mp4,class_00,0,76,True,True,25.0,76,3.04,640,480,
diving48,train,5V-dKBtmKLI_00085,data/Diving48_data/videos/5V-dKBtmKLI_00085.mp4,class_00,0,81,True,True,25.0,81,3.24,640,480,
diving48,train,5V-dKBtmKLI_00086,data/Diving48_data/videos/5V-dKBtmKLI_00086.mp4,class_00,0,90,True,True,25.0,90,3.6,640,480,
diving48,test,8qRmKunCjtY_00016,data/Diving48_data/videos/8qRmKunCjtY_00016.mp4,class_00,0,79,True,True,25.0,79,3.16,640,480,
diving48,train,9BC6ssCjyfg_00176,data/Diving48_data/videos/9BC6ssCjyfg_00176.mp4,class_00,0,129,True,True,25.0,129,5.16,640,480,
diving48,train,9BC6ssCjyfg_00177,data/Diving48_data/videos/9BC6ssCjyfg_00177.mp4,class_00,0,159,True,True,25.0,159,6.36,640,480,
diving48,train,9BC6ssCjyfg_00178,data/Diving48_data/videos/9BC6ssCjyfg_00178.mp4,class_00,0,154,True,True,25.0,154,6.16,640,480,
diving48,train,9jZYYtzYqwE_00037,data/Diving48_data/videos/9jZYYtzYqwE_00037.mp4,class_00,0,93,True,True,25.0,93,3.72,640,480,
diving48,train,9jZYYtzYqwE_00038,data/Diving48_data/videos/9jZYYtzYqwE_00038.mp4,class_00,0,123,True,True,25.0,123,4.92,640,480,
diving48,train,9jZYYtzYqwE_00049,data/Diving48_data/videos/9jZYYtzYqwE_00049.mp4,class_00,0,99,True,True,25.0,99,3.96,640,480,
diving48,train,9jZYYtzYqwE_00050,data/Diving48_data/videos/9jZYYtzYqwE_00050.mp4,class_00,0,238,True,True,25.0,238,9.52,640,480,
diving48,train,9jZYYtzYqwE_00097,data/Diving48_data/videos/9jZYYtzYqwE_00097.mp4,class_00,0,65,True,True,25.0,65,2.6,640,480,
diving48,train,9jZYYtzYqwE_00098,data/Diving48_data/videos/9jZYYtzYqwE_00098.mp4,class_00,0,122,True,True,25.0,122,4.88,640,480,
diving48,test,bl0C6d9QgIg_00017,data/Diving48_data/videos/bl0C6d9QgIg_00017.mp4,class_00,0,250,True,True,25.0,250,10.0,640,480,
diving48,test,bl0C6d9QgIg_00018,data/Diving48_data/videos/bl0C6d9QgIg_00018.mp4,class_00,0,332,True,True,25.0,332,13.28,640,480,
diving48,test,bl0C6d9QgIg_00021,data/Diving48_data/videos/bl0C6d9QgIg_00021.mp4,class_00,0,51,True,True,25.0,51,2.04,640,480,
diving48,test,bl0C6d9QgIg_00022,data/Diving48_data/videos/bl0C6d9QgIg_00022.mp4,class_00,0,96,True,True,25.0,96,3.84,640,480,
diving48,test,bl0C6d9QgIg_00023,data/Diving48_data/videos/bl0C6d9QgIg_00023.mp4,class_00,0,90,True,True,25.0,90,3.6,640,480,
