dataset,split,video_id,video_path,label,label_clean,label_id,exists
somethingv2,train,136503,data/Something_data/videos/136503.webm,Holding [something] next to [something],Holding something next to something,19,True
somethingv2,train,188515,data/Something_data/videos/188515.webm,Holding [something] next to [something],Holding something next to something,19,True
somethingv2,train,34758,data/Something_data/videos/34758.webm,Holding [something] next to [something],Holding something next to something,19,True
somethingv2,train,25247,data/Something_data/videos/25247.webm,Holding [something] next to [something],Holding something next to something,19,True
somethingv2,train,197177,data/Something_data/videos/197177.webm,Holding [something] next to [something],Holding something next to something,19,True
somethingv2,train,122972,data/Something_data/videos/122972.webm,Spreading [something] onto [something],Spreading something onto something,141,True
somethingv2,train,41896,data/Something_data/videos/41896.webm,Spreading [something] onto [something],Spreading something onto something,141,True
somethingv2,train,107603,data/Something_data/videos/107603.webm,Spreading [something] onto [something],Spreading something onto something,141,True
somethingv2,train,142423,data/Something_data/videos/142423.webm,Spreading [something] onto [something],Spreading something onto something,141,True
somethingv2,validation,76217,data/Something_data/videos/76217.webm,Spreading [something] onto [something],Spreading something onto something,141,True
somethingv2,train,52491,data/Something_data/videos/52491.webm,Putting [something] on a surface,Putting something on a surface,109,True
somethingv2,train,161194,data/Something_data/videos/161194.webm,Putting [something] on a surface,Putting something on a surface,109,True
somethingv2,train,17881,data/Something_data/videos/17881.webm,Putting [something] on a surface,Putting something on a surface,109,True
somethingv2,train,213379,data/Something_data/videos/213379.webm,Putting [something] on a surface,Putting something on a surface,109,True
somethingv2,train,76597,data/Something_data/videos/76597.webm,Putting [something] on a surface,Putting something on a surface,109,True
somethingv2,train,44155,data/Something_data/videos/44155.webm,"Lifting up one end of [something], then letting it drop down","Lifting up one end of something, then letting it drop down",31,True
somethingv2,train,200870,data/Something_data/videos/200870.webm,"Lifting up one end of [something], then letting it drop down","Lifting up one end of something, then letting it drop down",31,True
somethingv2,train,180790,data/Something_data/videos/180790.webm,"Lifting up one end of [something], then letting it drop down","Lifting up one end of something, then letting it drop down",31,True
somethingv2,train,215490,data/Something_data/videos/215490.webm,"Lifting up one end of [something], then letting it drop down","Lifting up one end of something, then letting it drop down",31,True
somethingv2,train,47572,data/Something_data/videos/47572.webm,"Lifting up one end of [something], then letting it drop down","Lifting up one end of something, then letting it drop down",31,True
somethingv2,validation,109910,data/Something_data/videos/109910.webm,Holding [something],Holding something,16,True
somethingv2,train,155945,data/Something_data/videos/155945.webm,Holding [something],Holding something,16,True
somethingv2,train,198435,data/Something_data/videos/198435.webm,Holding [something],Holding something,16,True
somethingv2,train,39132,data/Something_data/videos/39132.webm,Holding [something],Holding something,16,True
somethingv2,train,2293,data/Something_data/videos/2293.webm,Holding [something],Holding something,16,True
somethingv2,train,109821,data/Something_data/videos/109821.webm,Pushing [something] from right to left,Pushing something from right to left,94,True
somethingv2,train,103664,data/Something_data/videos/103664.webm,Pushing [something] from right to left,Pushing something from right to left,94,True
somethingv2,train,148460,data/Something_data/videos/148460.webm,Pushing [something] from right to left,Pushing something from right to left,94,True
somethingv2,train,18767,data/Something_data/videos/18767.webm,Pushing [something] from right to left,Pushing something from right to left,94,True
somethingv2,train,169816,data/Something_data/videos/169816.webm,Pushing [something] from right to left,Pushing something from right to left,94,True
somethingv2,train,94429,data/Something_data/videos/94429.webm,Spilling [something] onto [something],Spilling something onto something,138,True
somethingv2,train,4032,data/Something_data/videos/4032.webm,Spilling [something] onto [something],Spilling something onto something,138,True
somethingv2,train,79661,data/Something_data/videos/79661.webm,Spilling [something] onto [something],Spilling something onto something,138,True
somethingv2,validation,156666,data/Something_data/videos/156666.webm,Spilling [something] onto [something],Spilling something onto something,138,True
somethingv2,train,18254,data/Something_data/videos/18254.webm,Spilling [something] onto [something],Spilling something onto something,138,True
somethingv2,train,123235,data/Something_data/videos/123235.webm,Pushing [something] so that it slightly moves,Pushing something so that it slightly moves,100,True
somethingv2,train,118244,data/Something_data/videos/118244.webm,Pushing [something] so that it slightly moves,Pushing something so that it slightly moves,100,True
somethingv2,train,149109,data/Something_data/videos/149109.webm,Pushing [something] so that it slightly moves,Pushing something so that it slightly moves,100,True
somethingv2,train,58491,data/Something_data/videos/58491.webm,Pushing [something] so that it slightly moves,Pushing something so that it slightly moves,100,True
somethingv2,train,138732,data/Something_data/videos/138732.webm,Pushing [something] so that it slightly moves,Pushing something so that it slightly moves,100,True
somethingv2,train,201309,data/Something_data/videos/201309.webm,Moving [something] across a surface until it falls down,Moving something across a surface until it falls down,34,True
somethingv2,validation,82895,data/Something_data/videos/82895.webm,Moving [something] across a surface until it falls down,Moving something across a surface until it falls down,34,True
somethingv2,validation,13842,data/Something_data/videos/13842.webm,Moving [something] across a surface until it falls down,Moving something across a surface until it falls down,34,True
somethingv2,train,84926,data/Something_data/videos/84926.webm,Moving [something] across a surface until it falls down,Moving something across a surface until it falls down,34,True
somethingv2,validation,219554,data/Something_data/videos/219554.webm,Moving [something] across a surface until it falls down,Moving something across a surface until it falls down,34,True
somethingv2,train,147667,data/Something_data/videos/147667.webm,Folding [something],Folding something,14,True
somethingv2,train,139428,data/Something_data/videos/139428.webm,Folding [something],Folding something,14,True
somethingv2,train,216279,data/Something_data/videos/216279.webm,Folding [something],Folding something,14,True
somethingv2,train,54171,data/Something_data/videos/54171.webm,Folding [something],Folding something,14,True
somethingv2,validation,129113,data/Something_data/videos/129113.webm,Folding [something],Folding something,14,True
somethingv2,validation,113226,data/Something_data/videos/113226.webm,Taking [one of many similar things on the table],Taking one of many similar things on the table,146,True
somethingv2,train,208017,data/Something_data/videos/208017.webm,Taking [one of many similar things on the table],Taking one of many similar things on the table,146,True
somethingv2,train,142567,data/Something_data/videos/142567.webm,Taking [one of many similar things on the table],Taking one of many similar things on the table,146,True
somethingv2,train,199603,data/Something_data/videos/199603.webm,Taking [one of many similar things on the table],Taking one of many similar things on the table,146,True
somethingv2,train,32172,data/Something_data/videos/32172.webm,Taking [one of many similar things on the table],Taking one of many similar things on the table,146,True
somethingv2,train,217401,data/Something_data/videos/217401.webm,Pretending to turn [something] upside down,Pretending to turn something upside down,84,True
somethingv2,train,74871,data/Something_data/videos/74871.webm,Pretending to turn [something] upside down,Pretending to turn something upside down,84,True
somethingv2,train,40873,data/Something_data/videos/40873.webm,Pretending to turn [something] upside down,Pretending to turn something upside down,84,True
somethingv2,train,7297,data/Something_data/videos/7297.webm,Pretending to turn [something] upside down,Pretending to turn something upside down,84,True
somethingv2,train,121660,data/Something_data/videos/121660.webm,Pretending to turn [something] upside down,Pretending to turn something upside down,84,True
somethingv2,train,120783,data/Something_data/videos/120783.webm,Pretending to take [something] from [somewhere],Pretending to take something from somewhere,81,True
somethingv2,train,122783,data/Something_data/videos/122783.webm,Pretending to take [something] from [somewhere],Pretending to take something from somewhere,81,True
somethingv2,train,103352,data/Something_data/videos/103352.webm,Pretending to take [something] from [somewhere],Pretending to take something from somewhere,81,True
somethingv2,train,135531,data/Something_data/videos/135531.webm,Pretending to take [something] from [somewhere],Pretending to take something from somewhere,81,True
somethingv2,train,117217,data/Something_data/videos/117217.webm,Pretending to take [something] from [somewhere],Pretending to take something from somewhere,81,True
somethingv2,train,118333,data/Something_data/videos/118333.webm,Moving [something] up,Moving something up,45,True
somethingv2,validation,50807,data/Something_data/videos/50807.webm,Moving [something] up,Moving something up,45,True
somethingv2,train,153061,data/Something_data/videos/153061.webm,Moving [something] up,Moving something up,45,True
somethingv2,train,86979,data/Something_data/videos/86979.webm,Moving [something] up,Moving something up,45,True
somethingv2,train,139488,data/Something_data/videos/139488.webm,Moving [something] up,Moving something up,45,True
somethingv2,train,101084,data/Something_data/videos/101084.webm,Twisting (wringing) [something] wet until water comes out,Twisting (wringing) something wet until water comes out,169,True
somethingv2,train,191565,data/Something_data/videos/191565.webm,Twisting (wringing) [something] wet until water comes out,Twisting (wringing) something wet until water comes out,169,True
somethingv2,train,1175,data/Something_data/videos/1175.webm,Twisting (wringing) [something] wet until water comes out,Twisting (wringing) something wet until water comes out,169,True
