video_path,video_id,label,split,dataset,label_id,exists
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/Fighting/Fighting042_x264.mp4,Fighting042_x264,Fighting,validation,ufc_crime,6,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/Fighting/Fighting047_x264.mp4,Fighting047_x264,Fighting,validation,ufc_crime,6,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/Fighting/Fighting018_x264.mp4,Fighting018_x264,Fighting,validation,ufc_crime,6,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/Fighting/Fighting033_x264.mp4,Fighting033_x264,Fighting,validation,ufc_crime,6,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/Fighting/Fighting003_x264.mp4,Fighting003_x264,Fighting,validation,ufc_crime,6,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/Stealing/Stealing058_x264.mp4,Stealing058_x264,Stealing,validation,ufc_crime,12,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/Stealing/Stealing079_x264.mp4,Stealing079_x264,Stealing,validation,ufc_crime,12,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/Stealing/Stealing019_x264.mp4,Stealing019_x264,Stealing,validation,ufc_crime,12,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/Stealing/Stealing062_x264.mp4,Stealing062_x264,Stealing,validation,ufc_crime,12,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/Stealing/Stealing036_x264.mp4,Stealing036_x264,Stealing,validation,ufc_crime,12,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/RoadAccidents/RoadAccidents124_x264.mp4,RoadAccidents124_x264,RoadAccidents,validation,ufc_crime,8,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/RoadAccidents/RoadAccidents022_x264.mp4,RoadAccidents022_x264,RoadAccidents,validation,ufc_crime,8,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/RoadAccidents/RoadAccidents123_x264.mp4,RoadAccidents123_x264,RoadAccidents,validation,ufc_crime,8,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/RoadAccidents/RoadAccidents010_x264.mp4,RoadAccidents010_x264,RoadAccidents,validation,ufc_crime,8,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/RoadAccidents/RoadAccidents009_x264.mp4,RoadAccidents009_x264,RoadAccidents,validation,ufc_crime,8,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/RoadAccidents/RoadAccidents001_x264.mp4,RoadAccidents001_x264,RoadAccidents,validation,ufc_crime,8,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/RoadAccidents/RoadAccidents011_x264.mp4,RoadAccidents011_x264,RoadAccidents,validation,ufc_crime,8,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/RoadAccidents/RoadAccidents020_x264.mp4,RoadAccidents020_x264,RoadAccidents,validation,ufc_crime,8,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/RoadAccidents/RoadAccidents125_x264.mp4,RoadAccidents125_x264,RoadAccidents,validation,ufc_crime,8,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/RoadAccidents/RoadAccidents019_x264.mp4,RoadAccidents019_x264,RoadAccidents,validation,ufc_crime,8,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/RoadAccidents/RoadAccidents132_x264.mp4,RoadAccidents132_x264,RoadAccidents,validation,ufc_crime,8,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/RoadAccidents/RoadAccidents016_x264.mp4,RoadAccidents016_x264,RoadAccidents,validation,ufc_crime,8,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/RoadAccidents/RoadAccidents012_x264.mp4,RoadAccidents012_x264,RoadAccidents,validation,ufc_crime,8,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/RoadAccidents/RoadAccidents002_x264.mp4,RoadAccidents002_x264,RoadAccidents,validation,ufc_crime,8,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/RoadAccidents/RoadAccidents131_x264.mp4,RoadAccidents131_x264,RoadAccidents,validation,ufc_crime,8,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/RoadAccidents/RoadAccidents133_x264.mp4,RoadAccidents133_x264,RoadAccidents,validation,ufc_crime,8,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/RoadAccidents/RoadAccidents004_x264.mp4,RoadAccidents004_x264,RoadAccidents,validation,ufc_crime,8,True
/mnt/datasets/infoRates/data/UCFCrime_data/videos/Test/RoadAccidents/RoadAccidents127_x264.mp4,RoadAccidents127_x264,RoadAccidents,validation,ufc_crime,8,True
