coverage,stride,accuracy,avg_time,correct,total
10,1,0.759058,0.000000,9281,12227
25,1,0.808538,0.000000,9886,12227
50,1,0.838554,0.000000,10253,12227
75,1,0.848123,0.000000,10370,12227
100,1,0.849595,0.000000,10388,12227
10,2,0.769281,0.000000,9406,12227
25,2,0.789237,0.000000,9650,12227
50,2,0.838472,0.000000,10252,12227
75,2,0.847959,0.000000,10368,12227
100,2,0.850904,0.000000,10404,12227
10,4,0.764701,0.000000,9350,12227
25,4,0.794798,0.000000,9718,12227
50,4,0.817371,0.000000,9994,12227
75,4,0.848287,0.000000,10372,12227
100,4,0.850822,0.000000,10403,12227
10,8,0.693056,0.000000,8474,12227
25,8,0.782203,0.000000,9564,12227
50,8,0.817290,0.000000,9993,12227
75,8,0.834710,0.000000,10206,12227
100,8,0.834710,0.000000,10206,12227
10,16,0.693056,0.000000,8474,12227
25,16,0.693056,0.000000,8474,12227
50,16,0.796107,0.000000,9734,12227
75,16,0.824732,0.000000,10084,12227
100,16,0.824732,0.000000,10084,12227
