config,top1,n,mean_distinct,model,dataset,mode,budget
cov100_s1,0.3862745098039216,1020,15.980392156862745,videomae,epic_kitchens,covstride,16
cov100_s16,0.23431372549019608,1020,8.025490196078431,videomae,epic_kitchens,covstride,16
cov100_s2,0.3872549019607843,1020,15.749019607843136,videomae,epic_kitchens,covstride,16
cov100_s4,0.37745098039215685,1020,14.286274509803922,videomae,epic_kitchens,covstride,16
cov100_s8,0.3215686274509804,1020,11.374509803921569,videomae,epic_kitchens,covstride,16
cov10_s1,0.10392156862745099,1020,10.003921568627451,videomae,epic_kitchens,covstride,16
cov10_s16,0.06666666666666667,1020,1.6676470588235295,videomae,epic_kitchens,covstride,16
cov10_s2,0.09607843137254903,1020,6.801960784313725,videomae,epic_kitchens,covstride,16
cov10_s4,0.09705882352941177,1020,4.298039215686274,videomae,epic_kitchens,covstride,16
cov10_s8,0.0784313725490196,1020,2.5862745098039217,videomae,epic_kitchens,covstride,16
cov25_s1,0.18333333333333332,1020,14.15,videomae,epic_kitchens,covstride,16
cov25_s16,0.09509803921568627,1020,3.069607843137255,videomae,epic_kitchens,covstride,16
cov25_s2,0.1784313725490196,1020,11.216666666666667,videomae,epic_kitchens,covstride,16
cov25_s4,0.16176470588235295,1020,7.920588235294118,videomae,epic_kitchens,covstride,16
cov25_s8,0.12058823529411765,1020,5.080392156862745,videomae,epic_kitchens,covstride,16
cov50_s1,0.2754901960784314,1020,15.72549019607843,videomae,epic_kitchens,covstride,16
cov50_s16,0.13333333333333333,1020,5.1117647058823525,videomae,epic_kitchens,covstride,16
cov50_s2,0.2676470588235294,1020,14.193137254901961,videomae,epic_kitchens,covstride,16
cov50_s4,0.25,1020,11.300980392156863,videomae,epic_kitchens,covstride,16
cov50_s8,0.2068627450980392,1020,7.973529411764706,videomae,epic_kitchens,covstride,16
cov75_s1,0.30980392156862746,1020,15.941176470588236,videomae,epic_kitchens,covstride,16
cov75_s16,0.18627450980392157,1020,6.736274509803922,videomae,epic_kitchens,covstride,16
cov75_s2,0.3235294117647059,1020,15.330392156862745,videomae,epic_kitchens,covstride,16
cov75_s4,0.30686274509803924,1020,13.124509803921569,videomae,epic_kitchens,covstride,16
cov75_s8,0.25882352941176473,1020,9.980392156862745,videomae,epic_kitchens,covstride,16
