resolution,coverage,stride,top1,n,model,dataset
48,10,1,0.036875,1600,vivit,finegym
48,10,2,0.034375,1600,vivit,finegym
48,10,4,0.030625,1600,vivit,finegym
48,10,8,0.02875,1600,vivit,finegym
48,10,16,0.02875,1600,vivit,finegym
48,25,1,0.084375,1600,vivit,finegym
48,25,2,0.06625,1600,vivit,finegym
48,25,4,0.043125,1600,vivit,finegym
48,25,8,0.030625,1600,vivit,finegym
48,25,16,0.03,1600,vivit,finegym
48,50,1,0.16375,1600,vivit,finegym
48,50,2,0.144375,1600,vivit,finegym
48,50,4,0.11,1600,vivit,finegym
48,50,8,0.070625,1600,vivit,finegym
48,50,16,0.038125,1600,vivit,finegym
48,75,1,0.216875,1600,vivit,finegym
48,75,2,0.181875,1600,vivit,finegym
48,75,4,0.154375,1600,vivit,finegym
48,75,8,0.121875,1600,vivit,finegym
48,75,16,0.053125,1600,vivit,finegym
48,100,1,0.213125,1600,vivit,finegym
48,100,2,0.17875,1600,vivit,finegym
48,100,4,0.15125,1600,vivit,finegym
48,100,8,0.11125,1600,vivit,finegym
48,100,16,0.074375,1600,vivit,finegym
96,10,1,0.05375,1600,vivit,finegym
96,10,2,0.04,1600,vivit,finegym
96,10,4,0.03375,1600,vivit,finegym
96,10,8,0.03375,1600,vivit,finegym
96,10,16,0.03375,1600,vivit,finegym
96,25,1,0.1125,1600,vivit,finegym
96,25,2,0.08875,1600,vivit,finegym
96,25,4,0.064375,1600,vivit,finegym
96,25,8,0.039375,1600,vivit,finegym
96,25,16,0.03375,1600,vivit,finegym
96,50,1,0.25125,1600,vivit,finegym
96,50,2,0.1975,1600,vivit,finegym
96,50,4,0.144375,1600,vivit,finegym
96,50,8,0.08,1600,vivit,finegym
96,50,16,0.048125,1600,vivit,finegym
96,75,1,0.361875,1600,vivit,finegym
96,75,2,0.265625,1600,vivit,finegym
96,75,4,0.195625,1600,vivit,finegym
96,75,8,0.123125,1600,vivit,finegym
96,75,16,0.078125,1600,vivit,finegym
96,100,1,0.39125,1600,vivit,finegym
96,100,2,0.32,1600,vivit,finegym
96,100,4,0.22625,1600,vivit,finegym
96,100,8,0.159375,1600,vivit,finegym
96,100,16,0.08625,1600,vivit,finegym
112,10,1,0.048125,1600,vivit,finegym
112,10,2,0.04125,1600,vivit,finegym
112,10,4,0.03625,1600,vivit,finegym
112,10,8,0.035625,1600,vivit,finegym
112,10,16,0.035625,1600,vivit,finegym
112,25,1,0.113125,1600,vivit,finegym
112,25,2,0.085625,1600,vivit,finegym
112,25,4,0.05625,1600,vivit,finegym
112,25,8,0.04,1600,vivit,finegym
112,25,16,0.036875,1600,vivit,finegym
112,50,1,0.27,1600,vivit,finegym
112,50,2,0.19375,1600,vivit,finegym
112,50,4,0.135625,1600,vivit,finegym
112,50,8,0.0825,1600,vivit,finegym
112,50,16,0.04375,1600,vivit,finegym
112,75,1,0.399375,1600,vivit,finegym
112,75,2,0.28875,1600,vivit,finegym
112,75,4,0.1925,1600,vivit,finegym
112,75,8,0.115625,1600,vivit,finegym
112,75,16,0.074375,1600,vivit,finegym
112,100,1,0.408125,1600,vivit,finegym
112,100,2,0.3175,1600,vivit,finegym
112,100,4,0.219375,1600,vivit,finegym
112,100,8,0.14375,1600,vivit,finegym
112,100,16,0.09625,1600,vivit,finegym
160,10,1,0.06,1600,vivit,finegym
160,10,2,0.05,1600,vivit,finegym
160,10,4,0.04375,1600,vivit,finegym
160,10,8,0.0425,1600,vivit,finegym
160,10,16,0.0425,1600,vivit,finegym
160,25,1,0.14875,1600,vivit,finegym
160,25,2,0.116875,1600,vivit,finegym
160,25,4,0.066875,1600,vivit,finegym
160,25,8,0.048125,1600,vivit,finegym
160,25,16,0.041875,1600,vivit,finegym
160,50,1,0.33875,1600,vivit,finegym
160,50,2,0.24875,1600,vivit,finegym
160,50,4,0.1675,1600,vivit,finegym
160,50,8,0.090625,1600,vivit,finegym
160,50,16,0.0575,1600,vivit,finegym
160,75,1,0.490625,1600,vivit,finegym
160,75,2,0.3925,1600,vivit,finegym
160,75,4,0.231875,1600,vivit,finegym
160,75,8,0.15875,1600,vivit,finegym
160,75,16,0.096875,1600,vivit,finegym
160,100,1,0.495625,1600,vivit,finegym
160,100,2,0.406875,1600,vivit,finegym
160,100,4,0.285625,1600,vivit,finegym
160,100,8,0.1825,1600,vivit,finegym
160,100,16,0.119375,1600,vivit,finegym
224,10,1,0.063125,1600,vivit,finegym
224,10,2,0.055625,1600,vivit,finegym
224,10,4,0.05,1600,vivit,finegym
224,10,8,0.046875,1600,vivit,finegym
224,10,16,0.0475,1600,vivit,finegym
224,25,1,0.16625,1600,vivit,finegym
224,25,2,0.14125,1600,vivit,finegym
224,25,4,0.094375,1600,vivit,finegym
224,25,8,0.05875,1600,vivit,finegym
224,25,16,0.046875,1600,vivit,finegym
224,50,1,0.45375,1600,vivit,finegym
224,50,2,0.35875,1600,vivit,finegym
224,50,4,0.24375,1600,vivit,finegym
224,50,8,0.135625,1600,vivit,finegym
224,50,16,0.076875,1600,vivit,finegym
224,75,1,0.645625,1600,vivit,finegym
224,75,2,0.549375,1600,vivit,finegym
224,75,4,0.36875,1600,vivit,finegym
224,75,8,0.225,1600,vivit,finegym
224,75,16,0.113125,1600,vivit,finegym
224,100,1,0.699375,1600,vivit,finegym
224,100,2,0.628125,1600,vivit,finegym
224,100,4,0.438125,1600,vivit,finegym
224,100,8,0.289375,1600,vivit,finegym
224,100,16,0.146875,1600,vivit,finegym
