coverage,stride,top1,n
10,1,0.0309555854643337,743
10,2,0.0376850605652759,743
10,4,0.0417227456258411,743
10,8,0.0390309555854643,743
10,16,0.0390309555854643,743
25,1,0.0363391655450874,743
25,2,0.0430686406460296,743
25,4,0.0457604306864064,743
25,8,0.0403768506056527,743
25,16,0.034993270524899,743
50,1,0.0511440107671601,743
50,2,0.0605652759084791,743
50,4,0.0457604306864064,743
50,8,0.0484522207267833,743
50,16,0.0511440107671601,743
75,1,0.0740242261103634,743
75,2,0.0713324360699865,743
75,4,0.0605652759084791,743
75,8,0.0592193808882907,743
75,16,0.0524899057873485,743
100,1,0.0928667563930013,743
100,2,0.0861372812920592,743
100,4,0.0807537012113055,743
100,8,0.0699865410497981,743
100,16,0.0592193808882907,743
