resolution,coverage,stride,top1,n
224,10,1,0.111875,1600
224,10,2,0.0975,1600
224,10,4,0.0825,1600
224,10,8,0.07375,1600
224,10,16,0.07375,1600
224,25,1,0.18625,1600
224,25,2,0.17875,1600
224,25,4,0.16,1600
224,25,8,0.104375,1600
224,25,16,0.076875,1600
224,50,1,0.451875,1600
224,50,2,0.4575,1600
224,50,4,0.415,1600
224,50,8,0.294375,1600
224,50,16,0.13625,1600
224,75,1,0.65,1600
224,75,2,0.6475,1600
224,75,4,0.625,1600
224,75,8,0.48,1600
224,75,16,0.249375,1600
224,100,1,0.7325,1600
224,100,2,0.72,1600
224,100,4,0.708125,1600
224,100,8,0.603125,1600
224,100,16,0.3325,1600
