coverage,stride,top1,n,model,dataset
10,1,0.030311778290993,3464,r2plus1d_18,ssv2
10,2,0.0262702078521939,3464,r2plus1d_18,ssv2
10,4,0.0228060046189376,3464,r2plus1d_18,ssv2
10,8,0.0193418013856812,3464,r2plus1d_18,ssv2
10,16,0.0193418013856812,3464,r2plus1d_18,ssv2
25,1,0.075635103926097,3464,r2plus1d_18,ssv2
25,2,0.0600461893764434,3464,r2plus1d_18,ssv2
25,4,0.036662817551963,3464,r2plus1d_18,ssv2
25,8,0.0285796766743648,3464,r2plus1d_18,ssv2
25,16,0.0193418013856812,3464,r2plus1d_18,ssv2
50,1,0.1998262380538662,3453,r2plus1d_18,ssv2
50,2,0.1847133757961783,3454,r2plus1d_18,ssv2
50,4,0.1136823835695689,3457,r2plus1d_18,ssv2
50,8,0.0532253398900781,3457,r2plus1d_18,ssv2
50,16,0.0352193995381062,3464,r2plus1d_18,ssv2
75,1,0.3240521327014218,3376,r2plus1d_18,ssv2
75,2,0.3188277087033748,3378,r2plus1d_18,ssv2
75,4,0.244234180958013,3382,r2plus1d_18,ssv2
75,8,0.1126470588235294,3400,r2plus1d_18,ssv2
75,16,0.0569509345794392,3424,r2plus1d_18,ssv2
100,1,0.3618320610687023,3275,r2plus1d_18,ssv2
100,2,0.3333333333333333,177,r2plus1d_18,ssv2
100,4,0.2598870056497175,177,r2plus1d_18,ssv2
100,8,0.1016949152542373,177,r2plus1d_18,ssv2
100,16,0.0508474576271186,177,r2plus1d_18,ssv2
