resolution,coverage,stride,top1,n
96,10,1,0.090625,1600
96,10,2,0.075625,1600
96,10,4,0.065625,1600
96,10,8,0.059375,1600
96,10,16,0.058125,1600
96,25,1,0.165,1600
96,25,2,0.154375,1600
96,25,4,0.1275,1600
96,25,8,0.078125,1600
96,25,16,0.06,1600
96,50,1,0.373125,1600
96,50,2,0.373125,1600
96,50,4,0.249375,1600
96,50,8,0.143125,1600
96,50,16,0.079375,1600
96,75,1,0.621875,1600
96,75,2,0.559375,1600
96,75,4,0.36125,1600
96,75,8,0.20125,1600
96,75,16,0.105625,1600
96,100,1,0.730625,1600
96,100,2,0.6675,1600
96,100,4,0.468125,1600
96,100,8,0.215,1600
96,100,16,0.121875,1600
