coverage,stride,top1,n
10,1,0.0699865410497981,743
10,2,0.088829071332436,743
10,4,0.0847913862718708,743
10,8,0.063257065948856,743
10,16,0.0780619111709286,743
25,1,0.1036339165545087,743
25,2,0.1090174966352624,743
25,4,0.1009421265141319,743
25,8,0.0874831763122476,743
25,16,0.0807537012113055,743
50,1,0.1695827725437416,743
50,2,0.1668909825033647,743
50,4,0.1790040376850605,743
50,8,0.1372812920592193,743
50,16,0.0969044414535666,743
75,1,0.3189771197846568,743
75,2,0.2907133243606998,743
75,4,0.2732166890982503,743
75,8,0.2113055181695827,743
75,16,0.1049798115746971,743
100,1,0.332436069986541,743
100,2,0.3203230148048452,743
100,4,0.3028263795423957,743
100,8,0.2489905787348587,743
100,16,0.1574697173620457,743
