coverage,stride,top1,n
10,1,0.0376850605652759,743
10,2,0.0323014804845222,743
10,4,0.0323014804845222,743
10,8,0.0282637954239569,743
10,16,0.0323014804845222,743
25,1,0.0282637954239569,743
25,2,0.0309555854643337,743
25,4,0.0282637954239569,743
25,8,0.0309555854643337,743
25,16,0.0403768506056527,743
50,1,0.0686406460296096,743
50,2,0.0578734858681022,743
50,4,0.0417227456258411,743
50,8,0.0336473755047106,743
50,16,0.02557200538358,743
75,1,0.1063257065948856,743
75,2,0.107671601615074,743
75,4,0.0969044414535666,743
75,8,0.0511440107671601,743
75,16,0.034993270524899,743
100,1,0.1426648721399731,743
100,2,0.1318977119784656,743
100,4,0.1197846567967698,743
100,8,0.0619111709286675,743
100,16,0.0417227456258411,743
