resolution,coverage,stride,top1,n
48,10,1,0.036875,1600
48,10,2,0.034375,1600
48,10,4,0.030625,1600
48,10,8,0.02875,1600
48,10,16,0.02875,1600
48,25,1,0.084375,1600
48,25,2,0.06625,1600
48,25,4,0.043125,1600
48,25,8,0.030625,1600
48,25,16,0.03,1600
48,50,1,0.16375,1600
48,50,2,0.144375,1600
48,50,4,0.11,1600
48,50,8,0.070625,1600
48,50,16,0.038125,1600
48,75,1,0.216875,1600
48,75,2,0.181875,1600
48,75,4,0.154375,1600
48,75,8,0.121875,1600
48,75,16,0.053125,1600
48,100,1,0.213125,1600
48,100,2,0.17875,1600
48,100,4,0.15125,1600
48,100,8,0.11125,1600
48,100,16,0.074375,1600
