coverage,stride,top1,n
10,1,0.0607843137254901,1020
10,2,0.0637254901960784,1020
10,4,0.0794117647058823,1020
10,8,0.0872549019607843,1020
10,16,0.0725490196078431,1020
25,1,0.096078431372549,1020
25,2,0.1049019607843137,1020
25,4,0.0970588235294117,1020
25,8,0.1068627450980392,1020
25,16,0.0852941176470588,1020
50,1,0.1372549019607843,1020
50,2,0.1450980392156863,1020
50,4,0.1362745098039215,1020
50,8,0.138235294117647,1020
50,16,0.1323529411764706,1020
75,1,0.1911764705882352,1020
75,2,0.1803921568627451,1020
75,4,0.1745098039215686,1020
75,8,0.1568627450980392,1020
75,16,0.134313725490196,1020
100,1,0.2019607843137255,1020
100,2,0.1990196078431372,1020
100,4,0.192156862745098,1020
100,8,0.1794117647058823,1020
100,16,0.142156862745098,1020
