coverage,stride,top1,n
10,1,0.1666666666666666,1020
10,2,0.1666666666666666,1020
10,4,0.1568627450980392,1020
10,8,0.1294117647058823,1020
10,16,0.1088235294117647,1020
25,1,0.238235294117647,1020
25,2,0.2313725490196078,1020
25,4,0.2156862745098039,1020
25,8,0.1950980392156862,1020
25,16,0.1509803921568627,1020
50,1,0.2941176470588235,1020
50,2,0.2901960784313726,1020
50,4,0.2852941176470588,1020
50,8,0.2480392156862745,1020
50,16,0.2205882352941176,1020
75,1,0.3274509803921568,1020
75,2,0.3235294117647059,1020
75,4,0.3186274509803921,1020
75,8,0.292156862745098,1020
75,16,0.2441176470588235,1020
100,1,0.3382352941176471,1020
100,2,0.342156862745098,1020
100,4,0.3303921568627451,1020
100,8,0.3,1020
100,16,0.2549019607843137,1020
