resolution,coverage,stride,top1,n
48,10,1,0.05625,1600
48,10,2,0.045625,1600
48,10,4,0.041875,1600
48,10,8,0.036875,1600
48,10,16,0.035625,1600
48,25,1,0.074375,1600
48,25,2,0.0825,1600
48,25,4,0.06125,1600
48,25,8,0.0425,1600
48,25,16,0.0375,1600
48,50,1,0.12625,1600
48,50,2,0.12375,1600
48,50,4,0.10625,1600
48,50,8,0.08375,1600
48,50,16,0.05875,1600
48,75,1,0.20375,1600
48,75,2,0.175,1600
48,75,4,0.1275,1600
48,75,8,0.09125,1600
48,75,16,0.064375,1600
48,100,1,0.255,1600
48,100,2,0.19875,1600
48,100,4,0.148125,1600
48,100,8,0.0925,1600
48,100,16,0.07875,1600
