dataset,model,stride,fps,top1,median_interval_s,median_k,median_duration_s
ucf101,r3d_18,1,25.0,81.23762376237624,0.395,16.0,6.32
ucf101,r3d_18,2,25.0,81.28712871287128,0.395,16.0,6.32
ucf101,r3d_18,4,25.0,81.63366336633663,0.395,16.0,6.32
ucf101,r3d_18,8,25.0,80.6930693069307,0.395,16.0,6.32
ucf101,r3d_18,16,25.0,75.24752475247524,0.6171428571428572,10.0,6.32
ucf101,mc3_18,1,25.0,85.39603960396039,0.395,16.0,6.32
ucf101,mc3_18,2,25.0,85.29702970297029,0.395,16.0,6.32
ucf101,mc3_18,4,25.0,85.34653465346534,0.395,16.0,6.32
ucf101,mc3_18,8,25.0,85.14851485148515,0.395,16.0,6.32
ucf101,mc3_18,16,25.0,82.52475247524752,0.6171428571428572,10.0,6.32
ucf101,r2plus1d_18,1,25.0,88.56435643564356,0.395,16.0,6.32
ucf101,r2plus1d_18,2,25.0,88.26732673267327,0.395,16.0,6.32
ucf101,r2plus1d_18,4,25.0,88.86138613861387,0.395,16.0,6.32
ucf101,r2plus1d_18,8,25.0,88.16831683168317,0.395,16.0,6.32
ucf101,r2plus1d_18,16,25.0,83.41584158415841,0.6171428571428572,10.0,6.32
ucf101,slowfast_r50,1,25.0,87.57425742574257,0.1975,32.0,6.32
ucf101,slowfast_r50,2,25.0,87.57425742574257,0.1975,32.0,6.32
ucf101,slowfast_r50,4,25.0,87.87128712871286,0.1975,32.0,6.32
ucf101,slowfast_r50,8,25.0,83.9108910891089,0.31428571428571433,20.0,6.32
ucf101,slowfast_r50,16,25.0,72.12871287128712,0.615,10.0,6.32
ucf101,timesformer,1,25.0,91.03960396039604,0.79,8.0,6.32
ucf101,timesformer,2,25.0,90.94059405940594,0.79,8.0,6.32
ucf101,timesformer,4,25.0,91.0891089108911,0.79,8.0,6.32
ucf101,timesformer,8,25.0,91.13861386138615,0.79,8.0,6.32
ucf101,timesformer,16,25.0,91.03960396039604,0.79,8.0,6.32
ucf101,vivit,1,25.0,94.25742574257426,0.1975,32.0,6.32
ucf101,vivit,2,25.0,94.20792079207921,0.1975,32.0,6.32
ucf101,vivit,4,25.0,93.76237623762376,0.1975,32.0,6.32
ucf101,vivit,8,25.0,92.92079207920793,0.31428571428571433,20.0,6.32
ucf101,vivit,16,25.0,89.00990099009901,0.615,10.0,6.32
ucf101,videomae,1,25.0,95.44554455445544,0.395,16.0,6.32
ucf101,videomae,2,25.0,95.59405940594058,0.395,16.0,6.32
ucf101,videomae,4,25.0,95.84158415841584,0.395,16.0,6.32
ucf101,videomae,8,25.0,95.54455445544554,0.395,16.0,6.32
ucf101,videomae,16,25.0,91.98019801980199,0.6171428571428572,10.0,6.32
ssv2,r3d_18,1,12.0,37.12977099236641,0.2552083333333333,16.0,4.083333333333333
ssv2,r3d_18,2,12.0,37.126296522269676,0.2552083333333333,16.0,4.083333333333333
ssv2,r3d_18,4,12.0,32.420924574209245,0.325,13.0,4.083333333333333
ssv2,r3d_18,8,12.0,16.954807400667274,0.6203703703703703,7.0,4.083333333333333
ssv2,r3d_18,16,12.0,8.94357743097239,1.1666666666666665,4.0,4.083333333333333
ssv2,mc3_18,1,12.0,33.587786259541986,0.2552083333333333,16.0,4.083333333333333
ssv2,mc3_18,2,12.0,34.350213544844415,0.2552083333333333,16.0,4.083333333333333
ssv2,mc3_18,4,12.0,30.77858880778589,0.325,13.0,4.083333333333333
ssv2,mc3_18,8,12.0,15.498938428874734,0.6203703703703703,7.0,4.083333333333333
ssv2,mc3_18,16,12.0,6.872749099639856,1.1666666666666665,4.0,4.083333333333333
ssv2,r2plus1d_18,1,12.0,42.56488549618321,0.2552083333333333,16.0,4.083333333333333
ssv2,r2plus1d_18,2,12.0,43.07504575960952,0.2552083333333333,16.0,4.083333333333333
ssv2,r2plus1d_18,4,12.0,37.895377128953776,0.325,13.0,4.083333333333333
ssv2,r2plus1d_18,8,12.0,21.049438883833787,0.6203703703703703,7.0,4.083333333333333
ssv2,r2plus1d_18,16,12.0,11.854741896758703,1.1666666666666665,4.0,4.083333333333333
ssv2,slowfast_r50,1,12.0,49.49618320610687,0.12760416666666666,32.0,4.083333333333333
ssv2,slowfast_r50,2,12.0,45.88163514338011,0.16666666666666666,25.0,4.083333333333333
ssv2,slowfast_r50,4,12.0,26.520681265206814,0.3235294117647059,13.0,4.083333333333333
ssv2,slowfast_r50,8,12.0,12.405216863815589,0.6203703703703703,7.0,4.083333333333333
ssv2,slowfast_r50,16,12.0,6.482593037214886,1.1666666666666665,4.0,4.083333333333333
ssv2,timesformer,1,12.0,42.29007633587786,0.5104166666666666,8.0,4.083333333333333
ssv2,timesformer,2,12.0,42.34289200732154,0.5104166666666666,8.0,4.083333333333333
ssv2,timesformer,4,12.0,41.545012165450125,0.5104166666666666,8.0,4.083333333333333
ssv2,timesformer,8,12.0,39.611768274188655,0.625,7.0,4.083333333333333
ssv2,timesformer,16,12.0,29.4717887154862,1.1666666666666665,4.0,4.083333333333333
ssv2,vivit,1,12.0,38.3206106870229,0.12760416666666666,32.0,4.083333333333333
ssv2,vivit,2,12.0,36.27211714460037,0.16666666666666666,25.0,4.083333333333333
