dataset,model,budget,stride,n_clips,pct_padded,mean_distinct
ucf101,timesformer,8,1,2020,0.0,8.0
ucf101,timesformer,8,2,2020,0.0,8.0
ucf101,timesformer,8,4,2020,0.0,8.0
ucf101,timesformer,8,8,2020,1.4,7.98
ucf101,timesformer,8,16,2020,26.9,7.44
ucf101,r3d_18,16,1,2020,0.0,16.0
ucf101,r3d_18,16,2,2020,0.0,16.0
ucf101,r3d_18,16,4,2020,1.9,15.95
ucf101,r3d_18,16,8,2020,30.6,14.72
ucf101,r3d_18,16,16,2020,76.1,10.8
ucf101,mc3_18,16,1,2020,0.0,16.0
ucf101,mc3_18,16,2,2020,0.0,16.0
ucf101,mc3_18,16,4,2020,1.9,15.95
ucf101,mc3_18,16,8,2020,30.6,14.72
ucf101,mc3_18,16,16,2020,76.1,10.8
ucf101,r2plus1d_18,16,1,2020,0.0,16.0
ucf101,r2plus1d_18,16,2,2020,0.0,16.0
ucf101,r2plus1d_18,16,4,2020,1.9,15.95
ucf101,r2plus1d_18,16,8,2020,30.6,14.72
ucf101,r2plus1d_18,16,16,2020,76.1,10.8
ucf101,videomae,16,1,2020,0.0,16.0
ucf101,videomae,16,2,2020,0.0,16.0
ucf101,videomae,16,4,2020,1.9,15.95
ucf101,videomae,16,8,2020,30.6,14.72
ucf101,videomae,16,16,2020,76.1,10.8
ucf101,vivit,32,1,2020,0.0,32.0
ucf101,vivit,32,2,2020,2.5,31.88
ucf101,vivit,32,4,2020,33.1,29.26
ucf101,vivit,32,8,2020,78.6,21.21
ucf101,vivit,32,16,2020,98.7,11.69
ucf101,slowfast_r50,32,1,2020,0.0,32.0
ucf101,slowfast_r50,32,2,2020,2.5,31.88
ucf101,slowfast_r50,32,4,2020,33.1,29.26
ucf101,slowfast_r50,32,8,2020,78.6,21.21
ucf101,slowfast_r50,32,16,2020,98.7,11.69
ssv2,timesformer,8,1,3275,0.0,8.0
ssv2,timesformer,8,2,3278,0.2,8.0
ssv2,timesformer,8,4,3288,7.1,7.87
ssv2,timesformer,8,8,3297,70.7,6.39
ssv2,timesformer,8,16,3332,100.0,3.5
ssv2,r3d_18,16,1,3275,0.3,15.99
ssv2,r3d_18,16,2,3278,9.3,15.69
ssv2,r3d_18,16,4,3288,81.5,12.34
ssv2,r3d_18,16,8,3297,100.0,6.5
ssv2,r3d_18,16,16,3332,100.0,3.5
ssv2,mc3_18,16,1,3275,0.3,15.99
ssv2,mc3_18,16,2,3278,9.3,15.69
ssv2,mc3_18,16,4,3288,81.5,12.34
ssv2,mc3_18,16,8,3297,100.0,6.5
ssv2,mc3_18,16,16,3332,100.0,3.5
ssv2,r2plus1d_18,16,1,3275,0.3,15.99
ssv2,r2plus1d_18,16,2,3278,9.3,15.69
ssv2,r2plus1d_18,16,4,3288,81.5,12.34
ssv2,r2plus1d_18,16,8,3297,100.0,6.5
ssv2,r2plus1d_18,16,16,3332,100.0,3.5
ssv2,videomae,16,1,3275,0.3,15.99
ssv2,videomae,16,2,3278,9.3,15.69
ssv2,videomae,16,4,3288,81.5,12.34
ssv2,videomae,16,8,3297,100.0,6.5
ssv2,videomae,16,16,3332,100.0,3.5
ssv2,vivit,32,1,3275,10.6,31.33
ssv2,vivit,32,2,3278,86.0,24.24
ssv2,vivit,32,4,3288,100.0,12.49
ssv2,vivit,32,8,3297,100.0,6.5
ssv2,vivit,32,16,3332,100.0,3.5
ssv2,slowfast_r50,32,1,3275,10.6,31.33
ssv2,slowfast_r50,32,2,3278,86.0,24.24
ssv2,slowfast_r50,32,4,3288,100.0,12.49
ssv2,slowfast_r50,32,8,3297,100.0,6.5
ssv2,slowfast_r50,32,16,3332,100.0,3.5
hmdb51,timesformer,8,1,885,0.0,8.0
hmdb51,timesformer,8,2,885,0.0,8.0
hmdb51,timesformer,8,4,885,0.8,7.99
hmdb51,timesformer,8,8,885,25.5,7.5
hmdb51,timesformer,8,16,885,80.8,5.42
hmdb51,r3d_18,16,1,885,0.0,16.0
hmdb51,r3d_18,16,2,885,1.1,15.97
