model,dataset,span_pct,top1,distinct,budget
mc3_18,autsl,10,18.6283386147578,5.905387052965143,16
mc3_18,autsl,100,63.73924852874604,15.997962879130828,16
mc3_18,autsl,25,34.22363060208239,14.234947940244457,16
mc3_18,autsl,50,56.473517428700774,15.994567677682207,16
mc3_18,autsl,75,63.580805794477136,15.997283838841104,16
mc3_18,diving48,10,13.05518169582772,10.682368775235531,16
mc3_18,diving48,100,31.62853297442799,16.0,16
mc3_18,diving48,25,19.51547779273216,15.662180349932706,16
mc3_18,diving48,50,31.090174966352617,15.99192462987887,16
mc3_18,diving48,75,33.91655450874832,16.0,16
mc3_18,driveact,10,54.24107142857143,3.669642857142857,16
mc3_18,driveact,100,69.41964285714286,15.491071428571429,16
mc3_18,driveact,25,60.71428571428571,9.401785714285714,16
mc3_18,driveact,50,64.0625,14.189732142857142,16
mc3_18,driveact,75,68.52678571428571,15.0625,16
mc3_18,epic_kitchens,10,21.76470588235294,10.003921568627453,16
mc3_18,epic_kitchens,100,36.17647058823529,15.980392156862743,16
mc3_18,epic_kitchens,25,27.45098039215686,14.15,16
mc3_18,epic_kitchens,50,33.4313725490196,15.72549019607843,16
mc3_18,epic_kitchens,75,36.07843137254902,15.941176470588236,16
mc3_18,hmdb51,10,66.77966101694915,8.561581920903954,16
mc3_18,hmdb51,100,79.09604519774011,16.0,16
mc3_18,hmdb51,25,72.54237288135593,14.732203389830508,16
mc3_18,hmdb51,50,76.27118644067797,15.96271186440678,16
mc3_18,hmdb51,75,79.09604519774011,16.0,16
mc3_18,kinetics400,10,54.7875,15.886375,16
mc3_18,kinetics400,100,55.512499999999996,15.999875,16
mc3_18,kinetics400,25,56.6125,15.975875,16
mc3_18,kinetics400,50,57.0125,15.994125,16
mc3_18,kinetics400,75,56.362500000000004,15.998625,16
mc3_18,ssv2,10,9.03954802259887,4.028248587570621,16
mc3_18,ssv2,100,30.508474576271187,15.875706214689265,16
mc3_18,ssv2,25,16.38418079096045,9.740112994350282,16
mc3_18,ssv2,50,25.423728813559322,13.52542372881356,16
mc3_18,ssv2,75,28.24858757062147,15.073446327683616,16
mc3_18,ucf101,10,77.72277227722772,13.476732673267326,16
mc3_18,ucf101,100,85.39603960396039,16.0,16
mc3_18,ucf101,25,82.32673267326732,15.938118811881187,16
mc3_18,ucf101,50,85.14851485148515,16.0,16
mc3_18,ucf101,75,85.54455445544555,16.0,16
r2plus1d_18,autsl,10,15.79900407424173,5.905387052965143,16
r2plus1d_18,autsl,100,75.93933906745134,15.997962879130828,16
r2plus1d_18,autsl,25,37.234042553191486,14.234947940244457,16
r2plus1d_18,autsl,50,61.81530104119511,15.994567677682207,16
r2plus1d_18,autsl,75,76.25622453598913,15.997283838841104,16
r2plus1d_18,diving48,10,9.95962314939434,10.682368775235531,16
r2plus1d_18,diving48,100,35.26244952893674,16.0,16
r2plus1d_18,diving48,25,18.57335127860027,15.662180349932706,16
r2plus1d_18,diving48,50,34.185733512786,15.99192462987887,16
r2plus1d_18,diving48,75,37.95423956931359,16.0,16
r2plus1d_18,driveact,10,43.52678571428571,3.669642857142857,16
r2plus1d_18,driveact,100,63.39285714285714,15.491071428571429,16
r2plus1d_18,driveact,25,50.0,9.401785714285714,16
r2plus1d_18,driveact,50,58.25892857142857,14.189732142857142,16
r2plus1d_18,driveact,75,62.72321428571429,15.0625,16
r2plus1d_18,epic_kitchens,10,17.450980392156858,10.003921568627453,16
r2plus1d_18,epic_kitchens,100,35.49019607843137,15.980392156862743,16
r2plus1d_18,epic_kitchens,25,24.01960784313725,14.15,16
r2plus1d_18,epic_kitchens,50,29.90196078431372,15.72549019607843,16
r2plus1d_18,epic_kitchens,75,33.725490196078425,15.941176470588236,16
r2plus1d_18,hmdb51,10,49.6045197740113,8.561581920903954,16
r2plus1d_18,hmdb51,100,73.78531073446327,16.0,16
r2plus1d_18,hmdb51,25,62.259887005649716,14.732203389830508,16
r2plus1d_18,hmdb51,50,70.3954802259887,15.96271186440678,16
r2plus1d_18,hmdb51,75,74.80225988700565,16.0,16
r2plus1d_18,kinetics400,10,57.987500000000004,15.886375,16
r2plus1d_18,kinetics400,100,53.93750000000001,15.999875,16
r2plus1d_18,kinetics400,25,59.2375,15.975875,16
r2plus1d_18,kinetics400,50,57.637499999999996,15.994125,16
r2plus1d_18,kinetics400,75,56.325,15.998625,16
r2plus1d_18,ssv2,10,6.21468926553672,4.028248587570621,16
r2plus1d_18,ssv2,100,38.983050847457626,15.875706214689265,16
r2plus1d_18,ssv2,25,15.81920903954802,9.740112994350282,16
r2plus1d_18,ssv2,50,28.24858757062147,13.52542372881356,16
r2plus1d_18,ssv2,75,35.59322033898305,15.073446327683616,16
r2plus1d_18,ucf101,10,74.5049504950495,13.476732673267326,16
r2plus1d_18,ucf101,100,88.56435643564356,16.0,16
r2plus1d_18,ucf101,25,82.42574257425743,15.938118811881187,16
r2plus1d_18,ucf101,50,86.18811881188118,16.0,16
r2plus1d_18,ucf101,75,88.91089108910892,16.0,16
r3d_18,autsl,10,10.63829787234042,5.905387052965143,16
r3d_18,autsl,100,74.98868266183794,15.997962879130828,16
r3d_18,autsl,25,29.44771389769126,14.234947940244457,16
r3d_18,autsl,50,59.84608420099593,15.994567677682207,16
r3d_18,autsl,75,73.72114078768674,15.997283838841104,16
r3d_18,diving48,10,9.28667563930013,10.682368775235531,16
r3d_18,diving48,100,28.802153432032302,16.0,16
r3d_18,diving48,25,14.93943472409152,15.662180349932706,16
r3d_18,diving48,50,25.168236877523547,15.99192462987887,16
r3d_18,diving48,75,26.37954239569313,16.0,16
r3d_18,driveact,10,47.09821428571428,3.669642857142857,16
r3d_18,driveact,100,68.75,15.491071428571429,16
r3d_18,driveact,25,55.80357142857143,9.401785714285714,16
r3d_18,driveact,50,62.27678571428571,14.189732142857142,16
r3d_18,driveact,75,66.07142857142857,15.0625,16
r3d_18,epic_kitchens,10,19.11764705882352,10.003921568627453,16
r3d_18,epic_kitchens,100,37.05882352941176,15.980392156862743,16
r3d_18,epic_kitchens,25,25.588235294117638,14.15,16
r3d_18,epic_kitchens,50,33.23529411764706,15.72549019607843,16
r3d_18,epic_kitchens,75,35.19607843137255,15.941176470588236,16
r3d_18,hmdb51,10,54.57627118644067,8.561581920903954,16
r3d_18,hmdb51,100,80.90395480225989,16.0,16
r3d_18,hmdb51,25,67.2316384180791,14.732203389830508,16
r3d_18,hmdb51,50,76.49717514124293,15.96271186440678,16
r3d_18,hmdb51,75,80.22598870056498,16.0,16
r3d_18,kinetics400,10,53.7625,15.886375,16
r3d_18,kinetics400,100,45.95,15.999875,16
r3d_18,kinetics400,25,53.912499999999994,15.975875,16
r3d_18,kinetics400,50,50.675000000000004,15.994125,16
r3d_18,kinetics400,75,47.85,15.998625,16
r3d_18,ssv2,10,3.954802259887,4.028248587570621,16
r3d_18,ssv2,100,36.15819209039548,15.875706214689265,16
r3d_18,ssv2,25,16.38418079096045,9.740112994350282,16
r3d_18,ssv2,50,25.98870056497175,13.52542372881356,16
r3d_18,ssv2,75,33.89830508474576,15.073446327683616,16
r3d_18,ucf101,10,67.92079207920793,13.476732673267326,16
r3d_18,ucf101,100,81.1881188118812,16.0,16
r3d_18,ucf101,25,75.39603960396039,15.938118811881187,16
r3d_18,ucf101,50,80.3960396039604,16.0,16
r3d_18,ucf101,75,81.53465346534652,16.0,16
slowfast_r50,autsl,10,19.013128112267992,5.905387052965143,32
slowfast_r50,autsl,100,79.2440018107741,31.98868266183793,32
slowfast_r50,autsl,25,36.28338614757809,14.805341783612494,32
slowfast_r50,autsl,50,60.11770031688547,28.448392937980987,32
slowfast_r50,autsl,75,76.18832050701675,31.840878225441376,32
slowfast_r50,diving48,10,9.55585464333782,11.17900403768506,32
slowfast_r50,diving48,100,47.64468371467025,31.98654104979812,32
slowfast_r50,diving48,25,22.88021534320323,25.029609690444147,32
slowfast_r50,diving48,50,39.569313593539704,31.31493943472409,32
slowfast_r50,diving48,75,53.29744279946165,31.93539703903096,32
slowfast_r50,driveact,10,54.46428571428571,3.669642857142857,32
slowfast_r50,driveact,100,70.75892857142857,28.397321428571427,32
slowfast_r50,driveact,25,60.04464285714286,9.401785714285714,32
slowfast_r50,driveact,50,64.28571428571429,18.725446428571427,32
slowfast_r50,driveact,75,67.1875,26.754464285714285,32
slowfast_r50,epic_kitchens,10,14.313725490196068,13.201960784313725,32
slowfast_r50,epic_kitchens,100,37.74509803921568,31.45,32
slowfast_r50,epic_kitchens,25,21.96078431372549,22.215686274509803,32
slowfast_r50,epic_kitchens,50,31.66666666666666,28.300980392156863,32
slowfast_r50,epic_kitchens,75,36.86274509803922,30.59607843137255,32
slowfast_r50,hmdb51,10,46.44067796610169,9.413559322033898,32
slowfast_r50,hmdb51,100,82.14689265536722,31.92429378531073,32
slowfast_r50,hmdb51,25,60.451977401129945,20.384180790960453,32
slowfast_r50,hmdb51,50,75.48022598870057,29.46779661016949,32
slowfast_r50,hmdb51,75,81.80790960451978,31.568361581920904,32
slowfast_r50,kinetics400,10,57.987500000000004,28.772375,32
slowfast_r50,kinetics400,100,60.9875,31.9885,32
slowfast_r50,kinetics400,25,64.0125,31.846875,32
slowfast_r50,kinetics400,50,63.800000000000004,31.951875,32
slowfast_r50,kinetics400,75,62.824999999999996,31.97725,32
slowfast_r50,ssv2,10,7.90960451977401,4.028248587570621,32
slowfast_r50,ssv2,100,42.3728813559322,27.0225988700565,32
slowfast_r50,ssv2,25,14.12429378531073,9.84180790960452,32
slowfast_r50,ssv2,50,30.508474576271187,19.53672316384181,32
slowfast_r50,ssv2,75,38.4180790960452,24.610169491525426,32
slowfast_r50,ucf101,10,69.45544554455445,17.40940594059406,32
slowfast_r50,ucf101,100,91.43564356435644,32.0,32
slowfast_r50,ucf101,25,82.97029702970296,29.134158415841583,32
slowfast_r50,ucf101,50,90.14851485148516,31.87722772277228,32
slowfast_r50,ucf101,75,91.23762376237624,31.98960396039604,32
timesformer,autsl,10,25.62245359891353,5.884563150746945,8
