model,dataset,resolution,n_epochs,best_epoch,best_val_acc,gain_last_3,still_improving,log
mc3,18_driveact,48,10,3,58.79,,False,fix-mc3_-drivea-48-146372.out
mc3,18_epic_kitchens,160,10,9,54.51,0.24,True,fix-mc3_-epic_k-160-146385.out
slowfast,r50_autsl,112,10,6,60.12,3.69,False,fix-slow-autsl-112-146301.out
slowfast,r50_autsl,96,10,4,54.37,26.3,False,fix-slow-autsl-96-146300.out
slowfast,r50_driveact,224,10,10,81.17,0.45,True,fix-slow-driva-224-146811.out
slowfast,r50_epic_kitchens,48,10,9,36.28,0.06,True,fix-slow-epic_k-48-146353.out
slowfast,r50_epic_kitchens,96,10,7,50.22,0.91,False,fix-slow-epic_k-96-146307.out
slowfast,r50_ssv2,96,10,4,50.76,5.5,False,fix-slow-ssv2-96-146304.out
timesformer,autsl,224,10,8,8.67,0.54,False,fix-time-autsl-48-146772.out
timesformer,diving48,224,10,4,14.26,5.53,False,fix-time-diving-48-146773.out
timesformer,epic_kitchens,224,7,3,49.99,,False,fix-time-epic_k-224-146841.out
videomae,driveact,224,10,5,82.72,4.51,False,fix-vide-drivea-224-146813.out
videomae,epic_kitchens,224,9,9,63.39,0.43,True,fix-vide-epic_k-224-146830.out
videomae,hmdb51,224,10,3,84.17,,False,fix-vide-hmdb51-224-146824.out
videomae,ssv2,224,6,1,59.99,,False,fix-vide-ssv2-112-146803.out
videomae,ssv2,224,5,1,62.21,,False,fix-vide-ssv2-160-146808.out
videomae,ssv2,224,10,1,57.86,,False,fix-vide-ssv2-96-146357.out
vivit,autsl,224,10,5,10.46,3.78,False,fix-vivi-autsl-48-146774.out
videomae,driveact,160,10,10,81.24,0.29,True,fix-vmae-driveact-160-147095.out
videomae,epic_kitchens,160,10,9,60.32,0.1,True,fix-vmae-epic_kitchens-160-147096.out
videomae,hmdb51,160,10,5,81.75,5.64,False,fix-vmae-hmdb51-160-147094.out
r3d,18_diving48,336,10,1,0.0,,False,retrain-336px-89822.out
r3d,18_hmdb51,336,10,1,0.0,,False,retrain-336px-89831.out
r3d,18_autsl,336,10,1,0.0,,False,retrain-336px-89832.out
r3d,18_ucf101,336,2,2,68.5,,False,retrain-336px-89846.out
r3d,18_ucf101,336,10,9,80.73,1.11,True,retrain-336px-89850.out
r3d,18_ssv2,336,1,1,32.78,,False,retrain-336px-89853.out
r3d,18_ssv2,336,1,1,32.99,,False,retrain-336px-89855.out
r3d,18_ssv2,336,1,1,32.46,,False,retrain-336px-89857.out
r3d,18_driveact,336,10,1,0.0,,False,retrain-336px-89871.out
r3d,18_epic_kitchens,336,10,1,0.0,,False,retrain-336px-89873.out
mc3,18_ucf101,336,9,9,77.51,0.92,True,retrain-336px-89874.out
mc3,18_hmdb51,336,10,1,0.0,,False,retrain-336px-89881.out
mc3,18_diving48,336,10,1,0.0,,False,retrain-336px-89882.out
mc3,18_autsl,336,10,1,0.0,,False,retrain-336px-89883.out
mc3,18_driveact,336,10,1,0.0,,False,retrain-336px-89884.out
mc3,18_epic_kitchens,336,10,1,0.0,,False,retrain-336px-89885.out
slowfast,r50_hmdb51,336,10,1,0.0,,False,retrain-336px-89888.out
slowfast,r50_diving48,336,10,1,0.0,,False,retrain-336px-89889.out
slowfast,r50_autsl,336,10,1,0.0,,False,retrain-336px-89890.out
slowfast,r50_driveact,336,10,1,0.0,,False,retrain-336px-89891.out
slowfast,r50_epic_kitchens,336,10,1,0.0,,False,retrain-336px-89892.out
r3d,18_driveact,336,10,9,83.9,2.66,True,retrain-336px-89902.out
r3d,18_driveact,336,10,7,82.79,3.54,False,retrain-336px-89903.out
r3d,18_epic_kitchens,336,10,6,56.89,1.72,False,retrain-336px-89904.out
mc3,18_hmdb51,336,10,10,70.46,1.0,True,retrain-336px-89905.out
mc3,18_autsl,336,10,9,78.09,1.18,True,retrain-336px-89907.out
mc3,18_driveact,336,10,6,77.62,2.95,False,retrain-336px-89908.out
mc3,18_epic_kitchens,336,4,3,52.4,,False,retrain-336px-89909.out
r3d,18_hmdb51,336,10,10,73.89,3.83,True,retrain-336px-89911.out
r3d,18_autsl,336,10,9,86.58,1.34,True,retrain-336px-89915.out
mc3,18_ssv2,336,10,10,43.59,1.58,True,retrain-336px-89917.out
mc3,18_autsl,48,10,7,21.93,0.54,False,retrain-48px-mc3_18-autsl-143995.out
mc3,18_diving48,48,10,9,20.1,0.81,True,retrain-48px-mc3_18-diving48-143997.out
mc3,18_driveact,48,10,2,50.22,,False,retrain-48px-mc3_18-driveact-144005.out
mc3,18_epic_kitchens,48,10,7,43.88,0.23,False,retrain-48px-mc3_18-epic_kitchens-144009.out
mc3,18_hmdb51,48,10,9,66.03,1.41,True,retrain-48px-mc3_18-hmdb51-144011.out
mc3,18_ssv2,48,10,4,33.7,9.61,False,retrain-48px-mc3_18-ssv2-144015.out
mc3,18_ucf101,48,10,10,70.13,0.42,True,retrain-48px-mc3_18-ucf101-144020.out
r2plus1d,18_autsl,48,10,10,47.06,0.7,True,retrain-48px-r2plus1d_18-autsl-144022.out
r2plus1d,18_diving48,48,10,10,21.68,0.21,True,retrain-48px-r2plus1d_18-diving48-144025.out
r2plus1d,18_driveact,48,10,9,63.59,0.44,True,retrain-48px-r2plus1d_18-driveact-144029.out
r2plus1d,18_epic_kitchens,48,10,10,51.8,0.22,True,retrain-48px-r2plus1d_18-epic_kitchens-144030.out
r2plus1d,18_hmdb51,48,10,9,69.66,0.41,True,retrain-48px-r2plus1d_18-hmdb51-144032.out
r2plus1d,18_ssv2,48,10,4,43.35,4.16,False,retrain-48px-r2plus1d_18-ssv2-144035.out
r2plus1d,18_ucf101,48,10,10,78.22,0.16,True,retrain-48px-r2plus1d_18-ucf101-144038.out
r3d,18_autsl,48,10,8,39.86,2.4,False,retrain-48px-r3d_18-autsl-143981.out
r3d,18_diving48,48,10,4,13.2,2.24,False,retrain-48px-r3d_18-diving48-143982.out
r3d,18_driveact,48,10,9,59.08,0.73,True,retrain-48px-r3d_18-driveact-143983.out
r3d,18_epic_kitchens,48,10,10,48.61,0.16,True,retrain-48px-r3d_18-epic_kitchens-143984.out
r3d,18_hmdb51,48,10,10,65.22,1.01,True,retrain-48px-r3d_18-hmdb51-143986.out
r3d,18_ssv2,48,10,7,38.43,0.11,False,retrain-48px-r3d_18-ssv2-retry-144014.out
r3d,18_ucf101,48,10,10,72.54,0.82,True,retrain-48px-r3d_18-ucf101-143992.out
slowfast,r50_autsl,48,10,10,36.46,0.38,True,retrain-48px-slowfast_r50-autsl-144039.out
slowfast,r50_diving48,48,10,2,11.32,,False,retrain-48px-slowfast_r50-diving48-144041.out
slowfast,r50_diving48,48,10,2,11.12,,False,retrain-48px-slowfast_r50-diving48-144271.out
slowfast,r50_driveact,48,10,9,57.02,5.54,True,retrain-48px-slowfast_r50-driveact-144044.out
slowfast,r50_epic_kitchens,48,2,2,39.88,,False,retrain-48px-slowfast_r50-epic_kitchens-144057.out
slowfast,r50_epic_kitchens,48,10,5,40.3,0.64,False,retrain-48px-slowfast_r50-epic_kitchens-144331.out
slowfast,r50_epic_kitchens,48,1,1,35.5,,False,retrain-48px-slowfast_r50-epic_kitchens-144346.out
slowfast,r50_hmdb51,48,9,9,60.36,1.41,True,retrain-48px-slowfast_r50-hmdb51-144059.out
slowfast,r50_hmdb51,48,10,10,59.36,0.31,True,retrain-48px-slowfast_r50-hmdb51-144321.out
slowfast,r50_ssv2,48,10,3,38.94,,False,retrain-48px-slowfast_r50-ssv2-144348.out
slowfast,r50_ucf101,48,10,10,58.71,0.19,True,retrain-48px-slowfast_r50-ucf101-144343.out
slowfast,r50_ucf101,48,10,6,56.7,3.46,False,retrain-48px-slowfast_r50-ucf101-144355.out
timesformer,autsl,224,10,9,10.12,0.68,True,retrain-48px-timesformer-autsl-144126.out
timesformer,diving48,224,10,8,14.57,0.05,False,retrain-48px-timesformer-diving48-144127.out
timesformer,driveact,224,10,2,37.22,,False,retrain-48px-timesformer-driveact-144128.out
timesformer,epic_kitchens,224,10,3,33.49,,False,retrain-48px-timesformer-epic_kitchens-144129.out
timesformer,hmdb51,224,10,10,49.6,0.1,True,retrain-48px-timesformer-hmdb51-144130.out
timesformer,ssv2,224,10,2,34.56,,False,retrain-48px-timesformer-ssv2-144132.out
timesformer,ucf101,224,10,9,51.78,0.15,True,retrain-48px-timesformer-ucf101-144139.out
videomae,autsl,224,10,4,38.03,4.01,False,retrain-48px-videomae-autsl-144210.out
videomae,diving48,224,10,3,23.65,,False,retrain-48px-videomae-diving48-144211.out
videomae,driveact,224,10,2,54.87,,False,retrain-48px-videomae-driveact-144219.out
videomae,epic_kitchens,224,10,2,45.9,,False,retrain-48px-videomae-epic_kitchens-144225.out
videomae,hmdb51,224,10,3,57.26,,False,retrain-48px-videomae-hmdb51-144228.out
videomae,ssv2,224,10,2,47.19,,False,retrain-48px-videomae-ssv2-144232.out
videomae,ucf101,224,10,4,73.7,2.7,False,retrain-48px-videomae-ucf101-144237.out
videomamba,autsl,224,10,10,3.67,1.59,True,retrain-48px-videomamba-autsl-144290.out
videomamba,diving48,48,4,2,6.75,,False,retrain-48px-videomamba-diving48-144242.out
videomamba,diving48,224,10,9,12.74,0.3,True,retrain-48px-videomamba-diving48-144256.out
videomamba,driveact,224,10,10,38.77,1.47,True,retrain-48px-videomamba-driveact-144245.out
videomamba,epic_kitchens,224,10,6,36.41,3.3,False,retrain-48px-videomamba-epic_kitchens-144251.out
videomamba,hmdb51,224,10,10,47.38,4.13,True,retrain-48px-videomamba-hmdb51-144259.out
videomamba,ssv2,224,10,5,31.99,2.49,False,retrain-48px-videomamba-ssv2-144438.out
videomamba,ucf101,224,10,9,51.89,0.85,True,retrain-48px-videomamba-ucf101-144263.out
vivit,autsl,224,10,8,13.01,0.92,False,retrain-48px-vivit-autsl-144141.out
vivit,diving48,224,10,6,18.98,0.1,False,retrain-48px-vivit-diving48-144167.out
vivit,driveact,224,10,9,41.95,0.81,True,retrain-48px-vivit-driveact-144199.out
vivit,epic_kitchens,224,10,4,34.13,4.55,False,retrain-48px-vivit-epic_kitchens-144202.out
vivit,hmdb51,224,10,10,40.83,0.41,True,retrain-48px-vivit-hmdb51-144203.out
vivit,ssv2,224,10,3,31.36,,False,retrain-48px-vivit-ssv2-144206.out
vivit,ucf101,224,10,5,56.01,2.88,False,retrain-48px-vivit-ucf101-144209.out
slowfast,r50_hmdb51,160,10,9,79.58,2.42,True,retrain-h200-100145.out
slowfast,r50_driveact,160,10,10,78.8,3.76,True,retrain-h200-100146.out
slowfast,r50_epic_kitchens,160,10,8,52.1,0.21,False,retrain-h200-100147.out
vivit,ssv2,160,10,5,36.64,1.26,False,retrain-h200-100170.out
vivit,autsl,160,10,9,40.49,2.1,True,retrain-h200-100172.out
vivit,driveact,160,10,8,62.26,2.22,False,retrain-h200-100174.out
vivit,epic_kitchens,160,10,4,45.01,7.56,False,retrain-h200-108768.out
videomae,hmdb51,160,10,7,76.51,0.1,False,retrain-h200-112362.out
videomae,autsl,160,10,6,55.55,1.79,False,retrain-h200-112367.out
videomamba,ssv2,160,10,10,49.1,0.43,True,retrain-h200-112380.out
videomamba,hmdb51,160,10,10,63.31,8.37,True,retrain-h200-112495.out
videomamba,autsl,160,10,10,22.0,5.18,True,retrain-h200-112530.out
videomamba,diving48,96,10,10,20.1,4.01,True,retrain-h200-114557.out
r3d,18_diving48,112,10,5,37.51,2.84,False,retrain-h200-114566.out
mc3,18_diving48,112,10,6,49.44,10.66,False,retrain-h200-114582.out
r2plus1d,18_diving48,112,10,6,42.39,4.83,False,retrain-h200-114609.out
slowfast,r50_diving48,112,10,8,41.02,3.1,False,retrain-h200-127453.out
vivit,diving48,112,10,8,37.77,1.12,False,retrain-h200-127697.out
videomae,diving48,112,10,8,39.95,0.36,False,retrain-h200-127698.out
videomamba,diving48,112,10,10,24.37,4.88,True,retrain-h200-131687.out
r2plus1d,18_diving48,224,10,7,49.04,4.12,False,retrain-h200-142723.out
videomae,diving48,224,10,4,62.64,11.12,False,retrain-h200-142724.out
slowfast,r50_diving48,224,10,5,48.02,14.77,False,retrain-h200-142726.out
timesformer,diving48,224,10,5,52.69,5.53,False,retrain-h200-142728.out
vivit,diving48,224,10,5,56.04,3.76,False,retrain-h200-142738.out
videomamba,diving48,224,10,4,6.8,1.17,False,retrain-h200-142770.out
timesformer,ucf101,224,10,2,92.55,,False,retrain-h200-89985.out
r2plus1d,18_ucf101,224,10,4,89.69,7.71,False,retrain-h200-90112.out
r2plus1d,18_ssv2,224,10,8,51.34,0.37,False,retrain-h200-90113.out
r2plus1d,18_hmdb51,224,10,9,81.75,3.12,True,retrain-h200-90114.out
r2plus1d,18_autsl,224,10,8,84.7,0.97,False,retrain-h200-90117.out
r2plus1d,18_driveact,224,10,8,86.85,2.58,False,retrain-h200-90118.out
r2plus1d,18_epic_kitchens,224,4,4,61.13,6.95,False,retrain-h200-90119.out
slowfast,r50_ucf101,224,10,4,90.04,6.5,False,retrain-h200-90121.out
slowfast,r50_ssv2,224,10,5,45.08,2.76,False,retrain-h200-90122.out
slowfast,r50_hmdb51,224,10,9,80.08,1.31,True,retrain-h200-90228.out
slowfast,r50_autsl,224,10,5,65.46,26.17,False,retrain-h200-91241.out
slowfast,r50_driveact,224,10,7,78.51,4.21,False,retrain-h200-91256.out
slowfast,r50_epic_kitchens,224,10,4,52.24,2.2,False,retrain-h200-94290.out
timesformer,ssv2,224,10,4,54.87,12.17,False,retrain-h200-94294.out
timesformer,hmdb51,224,10,7,78.83,0.2,False,retrain-h200-94300.out
slowfast,r50_epic_kitchens,224,10,7,54.79,1.3,False,retrain-h200-94302.out
timesformer,driveact,224,10,6,77.62,0.44,False,retrain-h200-94304.out
timesformer,autsl,224,10,8,68.18,1.2,False,retrain-h200-94308.out
timesformer,epic_kitchens,224,10,4,49.72,6.93,False,retrain-h200-94334.out
vivit,ucf101,224,10,9,95.64,0.08,True,retrain-h200-94356.out
timesformer,ucf101,336,10,9,81.77,0.11,True,retrain-h200-94377.out
vivit,ssv2,224,5,3,50.24,,False,retrain-h200-94592.out
vivit,ssv2,224,10,5,50.09,2.23,False,retrain-h200-94636.out
vivit,hmdb51,224,10,10,80.14,0.1,True,retrain-h200-94678.out
vivit,autsl,224,10,7,73.9,2.4,False,retrain-h200-94694.out
vivit,epic_kitchens,224,10,4,52.31,7.24,False,retrain-h200-94703.out
vivit,driveact,224,10,6,77.47,1.92,False,retrain-h200-94747.out
videomae,ucf101,224,10,2,96.38,,False,retrain-h200-94777.out
vivit,epic_kitchens,224,10,8,52.91,0.34,False,retrain-h200-94800.out
videomae,ssv2,224,10,3,61.51,,False,retrain-h200-94806.out
videomae,ssv2,224,10,3,61.99,,False,retrain-h200-94809.out
videomae,hmdb51,224,10,4,86.59,9.88,False,retrain-h200-94810.out
videomae,autsl,224,10,7,80.51,1.76,False,retrain-h200-94864.out
videomae,driveact,224,10,4,84.42,4.51,False,retrain-h200-94897.out
videomae,epic_kitchens,224,10,10,65.08,0.4,True,retrain-h200-94915.out
r2plus1d,18_hmdb51,336,1,1,51.41,,False,retrain-h200-95043.out
timesformer,ssv2,336,10,8,48.58,0.06,False,retrain-h200-95079.out
timesformer,driveact,336,10,9,70.53,2.51,True,retrain-h200-95081.out
timesformer,autsl,336,10,5,70.19,5.75,False,retrain-h200-95146.out
r2plus1d,18_driveact,336,1,1,69.42,,False,retrain-h200-95200.out
timesformer,hmdb51,336,10,6,72.88,2.11,False,retrain-h200-95322.out
videomamba,ucf101,224,10,9,85.44,3.52,True,retrain-h200-95454.out
videomamba,ssv2,224,10,10,51.34,0.78,True,retrain-h200-95496.out
videomamba,hmdb51,224,10,10,60.58,8.06,True,retrain-h200-95513.out
videomamba,autsl,224,10,10,20.17,19.67,True,retrain-h200-95520.out
videomamba,ucf101,336,10,10,83.88,2.43,True,retrain-h200-95533.out
