model,dataset,n_clips,in_sample_tau,in_sample_acc,in_sample_frames,in_sample_gain_vs_dense,heldout_acc,heldout_frames,heldout_gain_vs_dense,gain_ci_lo,gain_ci_hi,pct_splits_positive,tau_median
r3d_18,ucf101,2020,0.1,81.63,4.07,0.4,81.46,4.51,0.21,-0.4,0.69,72.4,0.15
r3d_18,ssv2,3275,0.5,34.63,7.69,-2.5,34.55,7.66,-2.55,-3.75,-1.55,0.0,0.5
r3d_18,hmdb51,885,0.6,80.23,7.55,-0.11,79.91,6.96,-0.55,-2.41,0.22,11.5,0.6
r3d_18,diving48,743,0.5,27.59,7.26,-1.21,27.11,7.25,-1.5,-3.73,0.53,6.0,0.5
r3d_18,finegym,1600,0.45,60.19,7.65,-11.75,60.21,7.66,-11.61,-13.58,-9.51,0.0,0.45
r3d_18,autsl,4418,0.65,73.29,7.37,-1.7,73.26,7.55,-1.73,-2.38,-1.12,0.0,0.65
r3d_18,driveact,448,0.6,66.07,7.91,-2.23,65.24,7.63,-2.77,-5.26,-0.44,0.3,0.6
r3d_18,epic_kitchens,1020,0.6,36.67,7.82,-0.49,36.18,6.91,-0.94,-2.73,0.39,8.4,0.6
mc3_18,ucf101,2020,0.25,85.59,4.71,0.2,85.41,4.78,0.03,-0.4,0.4,47.8,0.25
mc3_18,ssv2,3275,0.4,32.43,7.91,-1.16,32.31,7.73,-1.25,-2.32,-0.42,0.0,0.4
mc3_18,hmdb51,885,0.55,78.53,6.9,-0.11,78.33,6.25,-0.58,-2.19,0.0,0.0,0.55
mc3_18,diving48,743,0.15,31.76,4.16,0.13,30.91,5.61,-0.46,-2.4,1.33,25.8,0.3
mc3_18,finegym,1600,0.45,62.69,7.98,-11.94,61.73,7.64,-12.66,-15.44,-10.25,0.0,0.45
mc3_18,autsl,4418,0.5,63.4,7.66,-0.34,63.38,7.63,-0.36,-0.85,0.09,5.9,0.5
mc3_18,driveact,448,0.45,69.42,6.92,0.45,68.81,6.84,-0.02,-2.63,0.88,45.2,0.45
mc3_18,epic_kitchens,1020,0.1,36.47,4.0,0.29,36.19,5.31,-0.07,-1.17,0.78,38.9,0.2
r2plus1d_18,ucf101,2020,0.3,89.01,4.35,0.45,88.86,4.4,0.28,-0.3,0.79,81.8,0.3
r2plus1d_18,ssv2,3275,0.55,40.76,7.48,-1.8,40.63,7.51,-1.86,-2.98,-0.83,0.0,0.55
r2plus1d_18,hmdb51,885,0.65,73.33,6.9,0.23,73.01,5.98,-0.35,-1.75,0.66,27.9,0.6
r2plus1d_18,diving48,743,0.5,36.34,7.07,1.08,35.52,6.09,0.31,-2.41,2.93,55.5,0.5
r2plus1d_18,finegym,1600,0.6,65.31,7.8,-13.13,65.16,7.77,-13.15,-15.68,-10.99,0.0,0.6
r2plus1d_18,autsl,4418,0.85,74.15,7.91,-1.79,74.1,7.84,-1.84,-2.51,-1.26,0.0,0.85
r2plus1d_18,driveact,448,0.6,59.6,6.38,-2.9,59.1,6.68,-3.33,-5.7,-1.32,0.0,0.6
r2plus1d_18,epic_kitchens,1020,0.5,34.8,7.98,-0.69,34.2,6.66,-1.27,-2.92,0.19,4.1,0.45
slowfast_r50,ucf101,2020,0.3,87.92,4.17,0.35,87.73,4.28,0.18,-0.3,0.59,70.8,0.3
slowfast_r50,ssv2,3275,0.3,34.99,7.57,-14.5,34.96,7.57,-14.49,-15.83,-13.1,0.0,0.3
slowfast_r50,hmdb51,885,0.75,76.27,7.73,-3.05,76.39,7.64,-3.02,-4.61,-1.31,0.1,0.75
slowfast_r50,diving48,743,0.55,46.57,7.73,-3.9,45.96,7.44,-4.25,-7.73,-1.07,0.6,0.55
slowfast_r50,finegym,1600,0.35,45.19,7.37,-34.69,46.38,7.57,-33.42,-36.79,-28.77,0.0,0.35
slowfast_r50,autsl,4418,0.3,59.53,7.64,-22.73,59.52,7.63,-22.73,-23.89,-21.56,0.0,0.3
slowfast_r50,driveact,448,0.65,67.41,7.88,-5.13,66.68,7.73,-5.65,-8.34,-2.63,0.0,0.65
slowfast_r50,epic_kitchens,1020,0.5,37.35,7.62,-2.06,37.04,7.15,-2.37,-4.67,-0.39,0.7,0.5
timesformer,ucf101,2020,0.55,91.34,4.87,0.3,91.19,4.71,0.14,-0.5,0.5,72.3,0.55
timesformer,ssv2,3275,0.55,42.5,7.09,0.21,42.19,6.89,-0.03,-1.07,0.83,49.0,0.55
timesformer,hmdb51,885,0.4,80.56,5.0,0.68,80.44,5.21,0.32,-1.32,1.32,68.1,0.4
timesformer,diving48,743,0.35,38.9,4.79,0.67,37.94,5.73,0.1,-2.13,2.4,48.7,0.4
timesformer,finegym,1600,0.6,65.44,7.95,-0.62,64.99,7.62,-0.85,-2.35,0.37,6.7,0.6
timesformer,autsl,4418,0.55,67.07,6.36,0.29,66.89,6.64,0.1,-0.81,0.67,64.4,0.55
timesformer,driveact,448,0.45,68.53,5.39,0.89,67.7,5.84,0.02,-3.07,1.75,54.8,0.45
timesformer,epic_kitchens,1020,0.35,32.35,7.88,0.1,31.83,6.43,-0.31,-1.56,0.78,27.7,0.3
vivit,ucf101,2020,0.95,94.26,6.57,0.0,94.03,5.46,-0.22,-0.99,0.0,0.0,0.7
vivit,ssv2,3275,0.45,32.18,7.95,-6.14,31.94,7.72,-6.33,-7.8,-5.0,0.0,0.45
vivit,hmdb51,885,0.8,80.11,7.32,-0.11,79.92,7.12,-0.5,-2.63,0.66,19.7,0.8
vivit,diving48,743,0.65,48.86,7.42,-4.17,47.88,6.72,-4.89,-8.53,-2.13,0.0,0.65
vivit,finegym,1600,0.55,54.44,7.82,-14.69,54.25,7.79,-14.68,-16.91,-12.72,0.0,0.55
vivit,autsl,4418,0.6,67.22,7.69,-7.4,67.28,7.7,-7.34,-8.29,-6.32,0.0,0.6
vivit,driveact,448,0.75,64.29,7.56,-3.12,63.92,7.44,-3.54,-7.02,-0.88,0.2,0.75
vivit,epic_kitchens,1020,0.4,31.27,7.92,-1.67,30.69,7.1,-2.18,-4.09,-0.58,0.1,0.35
videomae,ucf101,2020,0.1,95.94,4.06,0.5,95.87,4.12,0.41,0.0,0.79,94.9,0.1
videomae,ssv2,3275,0.55,51.88,7.87,-0.52,51.65,7.6,-0.71,-1.85,0.36,7.9,0.55
videomae,hmdb51,885,0.55,84.75,6.43,0.79,84.18,6.05,0.15,-2.19,1.54,60.8,0.55
videomae,diving48,743,0.65,52.62,7.39,4.04,51.69,6.74,3.19,-0.27,6.13,95.7,0.6
