model,dataset,k,point,box,delta
mc3_18,autsl,1,0.75,1.7,0.95
mc3_18,autsl,2,0.93,2.74,1.81
mc3_18,autsl,4,28.86,12.0,-16.86
mc3_18,autsl,8,54.21,33.21,-21.0
mc3_18,autsl,16,63.74,53.87,-9.87
mc3_18,diving48,1,6.06,3.9,-2.15
mc3_18,diving48,2,5.52,3.63,-1.88
mc3_18,diving48,4,11.04,3.77,-7.27
mc3_18,diving48,8,22.21,7.27,-14.94
mc3_18,diving48,16,31.63,15.75,-15.88
mc3_18,driveact,1,41.07,39.29,-1.79
mc3_18,driveact,2,51.79,47.32,-4.46
mc3_18,driveact,4,62.05,55.36,-6.7
mc3_18,driveact,8,68.53,64.29,-4.24
mc3_18,driveact,16,69.42,65.4,-4.02
mc3_18,epic_kitchens,1,7.94,4.9,-3.04
mc3_18,epic_kitchens,2,9.22,5.88,-3.33
mc3_18,epic_kitchens,4,20.2,10.0,-10.2
mc3_18,epic_kitchens,8,33.92,23.53,-10.39
mc3_18,epic_kitchens,16,36.18,27.94,-8.24
mc3_18,hmdb51,1,52.66,39.21,-13.45
mc3_18,hmdb51,2,60.56,45.2,-15.37
mc3_18,hmdb51,4,69.38,54.92,-14.46
mc3_18,hmdb51,8,75.25,64.75,-10.51
mc3_18,hmdb51,16,79.66,74.58,-5.08
mc3_18,kinetics400,1,31.91,13.96,-17.95
mc3_18,kinetics400,2,41.41,17.04,-24.38
mc3_18,kinetics400,4,50.66,26.51,-24.15
mc3_18,kinetics400,8,55.44,36.18,-19.26
mc3_18,kinetics400,16,55.51,45.41,-10.1
mc3_18,ssv2,1,1.69,3.39,1.69
mc3_18,ssv2,2,7.34,5.08,-2.26
mc3_18,ssv2,4,11.86,11.3,-0.56
mc3_18,ssv2,8,21.47,16.38,-5.08
mc3_18,ssv2,16,30.51,19.21,-11.3
mc3_18,ucf101,1,62.67,39.6,-23.07
mc3_18,ucf101,2,69.75,43.47,-26.29
mc3_18,ucf101,4,75.45,54.41,-21.04
mc3_18,ucf101,8,82.48,69.36,-13.12
mc3_18,ucf101,16,85.4,77.82,-7.57
r2plus1d_18,autsl,1,0.5,0.48,-0.02
r2plus1d_18,autsl,2,0.68,1.22,0.54
r2plus1d_18,autsl,4,33.41,14.62,-18.79
r2plus1d_18,autsl,8,64.17,42.39,-21.77
r2plus1d_18,autsl,16,75.94,64.49,-11.45
r2plus1d_18,diving48,1,5.92,4.71,-1.21
r2plus1d_18,diving48,2,6.06,4.31,-1.75
r2plus1d_18,diving48,4,10.23,4.31,-5.92
r2plus1d_18,diving48,8,22.34,10.23,-12.11
r2plus1d_18,diving48,16,35.26,19.78,-15.48
r2plus1d_18,driveact,1,31.92,29.46,-2.46
r2plus1d_18,driveact,2,45.98,37.95,-8.04
r2plus1d_18,driveact,4,51.12,43.75,-7.37
r2plus1d_18,driveact,8,59.15,53.12,-6.03
r2plus1d_18,driveact,16,63.39,59.82,-3.57
r2plus1d_18,epic_kitchens,1,8.33,5.1,-3.24
r2plus1d_18,epic_kitchens,2,13.04,6.76,-6.27
r2plus1d_18,epic_kitchens,4,20.88,10.69,-10.2
r2plus1d_18,epic_kitchens,8,26.47,18.43,-8.04
r2plus1d_18,epic_kitchens,16,35.49,29.12,-6.37
r2plus1d_18,hmdb51,1,28.59,14.58,-14.01
r2plus1d_18,hmdb51,2,42.82,24.63,-18.19
r2plus1d_18,hmdb51,4,58.76,40.45,-18.31
r2plus1d_18,hmdb51,8,71.07,56.95,-14.12
r2plus1d_18,hmdb51,16,75.37,65.42,-9.94
r2plus1d_18,kinetics400,1,36.68,15.34,-21.34
r2plus1d_18,kinetics400,2,44.24,17.68,-26.56
r2plus1d_18,kinetics400,4,49.31,27.38,-21.94
r2plus1d_18,kinetics400,8,53.74,38.92,-14.81
r2plus1d_18,kinetics400,16,53.94,45.69,-8.25
r2plus1d_18,ssv2,1,2.82,1.13,-1.69
r2plus1d_18,ssv2,2,8.47,7.34,-1.13
r2plus1d_18,ssv2,4,17.51,12.43,-5.08
r2plus1d_18,ssv2,8,28.81,19.77,-9.04
r2plus1d_18,ssv2,16,38.98,31.07,-7.91
r2plus1d_18,ucf101,1,48.12,25.4,-22.72
r2plus1d_18,ucf101,2,59.36,29.8,-29.55
r2plus1d_18,ucf101,4,73.37,46.88,-26.49
r2plus1d_18,ucf101,8,82.97,64.85,-18.12
r2plus1d_18,ucf101,16,88.56,81.14,-7.43
r3d_18,autsl,1,0.61,0.68,0.07
r3d_18,autsl,2,0.79,1.72,0.93
r3d_18,autsl,4,26.66,11.52,-15.14
r3d_18,autsl,8,62.38,42.94,-19.44
r3d_18,autsl,16,74.99,67.32,-7.67
r3d_18,diving48,1,5.65,2.96,-2.69
r3d_18,diving48,2,7.54,3.36,-4.17
r3d_18,diving48,4,11.44,5.52,-5.92
r3d_18,diving48,8,17.36,11.98,-5.38
r3d_18,diving48,16,28.8,17.09,-11.71
r3d_18,driveact,1,35.49,35.71,0.22
r3d_18,driveact,2,44.64,44.64,0.0
r3d_18,driveact,4,53.12,51.12,-2.01
r3d_18,driveact,8,64.29,60.04,-4.24
r3d_18,driveact,16,68.75,67.19,-1.56
r3d_18,epic_kitchens,1,7.55,3.73,-3.82
r3d_18,epic_kitchens,2,10.88,6.08,-4.8
r3d_18,epic_kitchens,4,21.86,13.63,-8.24
r3d_18,epic_kitchens,8,30.39,26.67,-3.73
r3d_18,epic_kitchens,16,37.06,33.53,-3.53
r3d_18,hmdb51,1,36.95,22.82,-14.12
r3d_18,hmdb51,2,49.83,29.49,-20.34
r3d_18,hmdb51,4,63.62,46.1,-17.51
