model,dataset,k,top1,n,distinct,budget,family,strictly_matched
mc3_18,autsl,1,0.74694431869624,4418,1.0,16,CNN,True
mc3_18,autsl,16,63.73924852874604,4418,15.997962879130828,16,CNN,True
mc3_18,autsl,2,0.92802172928927,4418,2.0,16,CNN,True
mc3_18,autsl,4,28.85921231326392,4418,4.0,16,CNN,True
mc3_18,autsl,8,54.21004979628792,4418,7.999773653236759,16,CNN,True
mc3_18,diving48,1,6.05652759084791,743,1.0,16,CNN,True
mc3_18,diving48,16,31.62853297442799,743,16.0,16,CNN,True
mc3_18,diving48,2,5.51816958277254,743,2.0,16,CNN,True
mc3_18,diving48,4,11.03633916554508,743,4.0,16,CNN,True
mc3_18,diving48,8,22.20726783310901,743,8.0,16,CNN,True
mc3_18,driveact,1,41.07142857142857,448,1.0,16,CNN,True
mc3_18,driveact,16,69.41964285714286,448,15.491071428571429,16,CNN,True
mc3_18,driveact,2,51.78571428571429,448,2.0,16,CNN,True
mc3_18,driveact,4,62.05357142857143,448,4.0,16,CNN,True
mc3_18,driveact,8,68.52678571428571,448,7.993303571428571,16,CNN,True
mc3_18,epic_kitchens,1,7.941176470588231,1020,1.0,16,CNN,True
mc3_18,epic_kitchens,16,36.17647058823529,1020,15.980392156862743,16,CNN,True
mc3_18,epic_kitchens,2,9.2156862745098,1020,2.0,16,CNN,True
mc3_18,epic_kitchens,4,20.19607843137255,1020,4.0,16,CNN,True
mc3_18,epic_kitchens,8,33.92156862745098,1020,8.0,16,CNN,True
mc3_18,hmdb51,1,52.655367231638415,885,1.0,16,CNN,True
mc3_18,hmdb51,16,78.53107344632768,885,16.0,16,CNN,True
mc3_18,hmdb51,2,61.80790960451977,885,2.0,16,CNN,True
mc3_18,hmdb51,4,68.8135593220339,885,4.0,16,CNN,True
mc3_18,hmdb51,8,74.46327683615819,885,8.0,16,CNN,True
mc3_18,kinetics400,1,31.912499999999998,8000,1.0,16,CNN,True
mc3_18,kinetics400,16,55.512499999999996,8000,15.999875,16,CNN,True
mc3_18,kinetics400,2,41.4125,8000,2.0,16,CNN,True
mc3_18,kinetics400,4,50.6625,8000,4.0,16,CNN,True
mc3_18,kinetics400,8,55.43749999999999,8000,8.0,16,CNN,True
mc3_18,ssv2,1,1.69491525423728,177,1.0,16,CNN,True
mc3_18,ssv2,16,30.508474576271187,177,15.875706214689265,16,CNN,True
mc3_18,ssv2,2,7.3446327683615795,177,2.0,16,CNN,True
mc3_18,ssv2,4,11.86440677966101,177,4.0,16,CNN,True
mc3_18,ssv2,8,21.46892655367231,177,8.0,16,CNN,True
mc3_18,ucf101,1,62.67326732673267,2020,1.0,16,CNN,True
mc3_18,ucf101,16,85.39603960396039,2020,16.0,16,CNN,True
mc3_18,ucf101,2,69.75247524752474,2020,2.0,16,CNN,True
mc3_18,ucf101,4,75.44554455445545,2020,4.0,16,CNN,True
mc3_18,ucf101,8,82.47524752475248,2020,8.0,16,CNN,True
r2plus1d_18,autsl,1,0.49796287913082005,4418,1.0,16,CNN,True
r2plus1d_18,autsl,16,75.93933906745134,4418,15.997962879130828,16,CNN,True
r2plus1d_18,autsl,2,0.67904028972385,4418,2.0,16,CNN,True
r2plus1d_18,autsl,4,33.43141693073789,4418,4.0,16,CNN,True
r2plus1d_18,autsl,8,64.16930737890448,4418,7.999773653236759,16,CNN,True
r2plus1d_18,diving48,1,5.92193808882907,743,1.0,16,CNN,True
r2plus1d_18,diving48,16,35.26244952893674,743,16.0,16,CNN,True
r2plus1d_18,diving48,2,6.05652759084791,743,2.0,16,CNN,True
r2plus1d_18,diving48,4,10.22880215343203,743,4.0,16,CNN,True
r2plus1d_18,diving48,8,22.4764468371467,743,8.0,16,CNN,True
r2plus1d_18,driveact,1,31.91964285714285,448,1.0,16,CNN,True
r2plus1d_18,driveact,16,63.39285714285714,448,15.491071428571429,16,CNN,True
r2plus1d_18,driveact,2,45.98214285714285,448,2.0,16,CNN,True
r2plus1d_18,driveact,4,51.11607142857143,448,4.0,16,CNN,True
r2plus1d_18,driveact,8,59.15178571428571,448,7.993303571428571,16,CNN,True
r2plus1d_18,epic_kitchens,1,8.33333333333333,1020,1.0,16,CNN,True
r2plus1d_18,epic_kitchens,16,35.49019607843137,1020,15.980392156862743,16,CNN,True
r2plus1d_18,epic_kitchens,2,13.039215686274511,1020,2.0,16,CNN,True
r2plus1d_18,epic_kitchens,4,20.78431372549019,1020,4.0,16,CNN,True
r2plus1d_18,epic_kitchens,8,26.47058823529412,1020,8.0,16,CNN,True
r2plus1d_18,hmdb51,1,28.587570621468927,885,1.0,16,CNN,True
r2plus1d_18,hmdb51,16,73.78531073446327,885,16.0,16,CNN,True
