model,dataset,n_clips,peta2_coverage,peta2_stride,peta2_interaction,F_coverage,F_stride,F_interaction
r3d_18,ucf101,2020,0.18809359737591216,0.18923006713399465,0.021108932789205684,467.739842763373,471.22554753973213,43.537975500014156
r3d_18,ssv2,3275,0.24894728289946777,0.1957991657311878,0.06463260469602787,1085.2146402710616,797.1223620860267,226.2289115882941
r3d_18,hmdb51,885,0.26063269572036113,0.22953287902615171,0.01051768228753593,311.6168400782556,263.3559038867868,9.396460124397677
r3d_18,diving48,743,0.12572017014968323,0.05991995615052243,0.014179601609641553,106.69852267669944,47.29449130908956,10.672597576123488
r3d_18,finegym,1600,0.41153513321685964,0.3705164482854753,0.17217380767739435,1118.2395333318339,941.1775719870723,332.5648801999566
r3d_18,autsl,4418,0.5988097227357773,0.48485472152475456,0.2623322245490031,6592.738396753261,4157.280275020034,1570.790367146681
r3d_18,driveact,448,0.199737191162496,0.18558900025374267,0.03776584406972337,111.56650473277813,101.86292073568497,17.543892196225016
r3d_18,epic_kitchens,1020,0.12884680595102385,0.09019777135719984,0.0019455883882732341,150.71389987547002,101.02363581818862,1.9864193220175848
mc3_18,ucf101,2020,0.10639382062299119,0.08567771691755235,0.010027189868288185,240.38455507053078,189.19292863929874,20.449951894517532
mc3_18,ssv2,3275,0.2130397327502928,0.21035079467269294,0.0829515940066362,886.3116907567332,872.1448677618026,296.1496001768223
mc3_18,hmdb51,885,0.14970613339836591,0.11065024868414702,0.005028438175406668,155.64056983390824,109.98464855031706,4.467604419676009
mc3_18,diving48,743,0.18127388657230567,0.08753254392567077,0.02076726619713082,164.28598237025648,71.17968664030576,15.736107450604425
mc3_18,finegym,1600,0.4732007783018868,0.4651420097011012,0.21228749730429156,1436.312001497832,1390.5785965661998,430.92842506359216
mc3_18,autsl,4418,0.5037471082455575,0.4284003299831228,0.1934135578019192,4483.703801209554,3310.4362314967443,1059.1644492349117
mc3_18,driveact,448,0.14294458337005372,0.11769655151217112,0.012289362075370446,74.5532056931188,59.62841765620305,5.561694525466655
mc3_18,epic_kitchens,1020,0.1454031627006243,0.0740435848252344,0.0016915981907490345,173.37511248012245,81.48376284284753,1.726659370240004
r2plus1d_18,ucf101,2020,0.19655843565295764,0.1643794676166321,0.018290378105952694,493.9394464933401,397.16849006974684,37.61628955481913
r2plus1d_18,ssv2,3275,0.2749011035444663,0.2259638816415644,0.06494080746632006,1241.2461491861839,955.7767795945375,227.38261421570232
r2plus1d_18,hmdb51,885,0.26763512802056194,0.20594645934691366,0.005762910859947533,323.0486089955708,229.27505607863074,5.123942021313991
r2plus1d_18,diving48,743,0.2026126538861946,0.11994341914694427,0.02550973102242661,188.53897032133193,101.1276080917038,19.42371414185579
r2plus1d_18,finegym,1600,0.45261027354833555,0.40889233315220075,0.1867756666164507,1322.1362996619828,1106.0909498890276,367.2471157830533
r2plus1d_18,autsl,4418,0.6043606146733651,0.49323500817389454,0.2535503634655032,6747.207012285648,4299.071692489123,1500.344967179002
r2plus1d_18,driveact,448,0.16676403293452116,0.2156105293272302,0.0543373175218578,89.46268004279878,122.86996474673316,25.684402464334152
r2plus1d_18,epic_kitchens,1020,0.12957225306575076,0.06832585683993547,0.0055875892366831405,151.68878328964124,74.7300422911196,5.725746551985973
slowfast_r50,ucf101,2020,0.29809518995575285,0.2929695424831035,0.020922128928013418,857.4584187316296,836.6054106788606,43.144452094917455
slowfast_r50,ssv2,3275,0.3061487893780616,0.32111939321227867,0.13416674811971233,1444.5908879013516,1548.6447585410917,507.32855591999333
slowfast_r50,hmdb51,885,0.3284335930046376,0.3126281919675628,0.040465164560758,432.3255201448821,402.0579815317126,37.27973612894966
slowfast_r50,diving48,743,0.3002170225366805,0.2763774076271228,0.08072192665881643,318.3287360457312,283.3963983723342,65.15511608271758
slowfast_r50,finegym,1600,0.423362510177969,0.5155057114434687,0.23233987540824969,1173.9726703921092,1701.3485031040304,483.95305275933794
slowfast_r50,autsl,4418,0.570629066617173,0.556286077654474,0.27115072074092694,5870.14255341035,5537.612144354628,1643.237864939914
slowfast_r50,driveact,448,0.17158536208601086,0.2606566137983936,0.06842933851862423,92.5848643205773,157.5905168591184,32.83477634341166
slowfast_r50,epic_kitchens,1020,0.14431232742651426,0.1159206394976291,0.007534500534415406,171.85506623620213,133.61145721234973,7.735942507526465
timesformer,ucf101,2020,0.08668713025148667,0.0418950307353011,0.017824474755167807,191.63347169951174,88.2847597789716,36.64071604890886
timesformer,ssv2,3275,0.2776689651545712,0.13791303609836797,0.020559821883746845,1258.5478791044902,523.7607098737872,68.72584804193887
timesformer,hmdb51,885,0.23791969664242688,0.09185975483834496,0.008503987207123438,275.9827421142799,89.41793264832361,7.582001938587248
timesformer,diving48,743,0.2227382627791396,0.02635851684185799,0.0025701092799038376,212.6333808390716,20.087496100946176,1.9119349674911692
timesformer,finegym,1600,0.4287974240069304,0.31550265540954586,0.07314336022823517,1200.3571233813916,737.0207495862641,126.18589325070604
timesformer,autsl,4418,0.5710628476989259,0.24682955382164168,0.061456657279767374,5880.545867278187,1447.5423787034924,289.22910946015776
timesformer,driveact,448,0.15531975465011186,0.07882552499636683,0.005987793260609681,82.19433414101118,38.250093363949325,2.6926667191263807
timesformer,epic_kitchens,1020,0.10390294024926625,0.04888970930073564,0.002289600914704559,118.15360285129606,52.379428826096024,2.3384574664381
vivit,ucf101,2020,0.20182857196103393,0.18904096291982142,0.026320269013202703,510.5317886290388,470.6448620503921,54.57710728331554
vivit,ssv2,3275,0.22859116660813086,0.2157170407874408,0.06468377012959386,970.1826671912582,900.5137536676591,226.4203877159632
vivit,hmdb51,885,0.2965416831839526,0.2493009143610221,0.01211107592634154,372.6487293818772,293.5690378623006,10.83744422878827
vivit,diving48,743,0.3608051735911762,0.20817504253536148,0.06234036372661911,418.8354281726036,195.07579308415066,49.331919702753396
vivit,finegym,1600,0.4406586824799404,0.40003473306275356,0.1366376260652021,1259.7196223755727,1066.1542816181857,253.0612529273349
vivit,autsl,4418,0.5528701985703331,0.4993202068152456,0.20332059749882322,5461.563195467951,4405.005721269633,1127.2628316143464
vivit,driveact,448,0.15030213609241652,0.13783650298259645,0.027644564915207115,79.06934651375974,71.46314712507122,12.708439806293669
vivit,epic_kitchens,1020,0.12192603021090506,0.07677027549788634,0.0025285987333827807,141.49448572624715,84.73396020100424,2.583173919618308
videomae,ucf101,2020,0.23574800269061474,0.1560162924027119,0.026336503415743905,622.7987877140822,373.2262738315536,54.61168112281754
videomae,ssv2,3275,0.3627055017727603,0.2641645755532841,0.06518794664837842,1863.3423262044103,1175.364479104499,228.30828567259906
videomae,hmdb51,885,0.42275521058456034,0.22142270159219318,0.005858797969192447,647.4126973674428,251.4042839520019,5.209699984455151
videomae,diving48,743,0.3540555572044096,0.14815573370784327,0.035710862090404485,406.7056019689397,129.05123478698923,27.478749505072543
videomae,finegym,1600,0.4946236593003166,0.4243683499919394,0.19988626261064507,1564.9787446048954,1178.8180716394054,399.4658746358801
videomae,autsl,4418,0.651938606622879,0.49045488032274853,0.202213198174768,8273.289943229136,4251.515955560031,1119.56689969611
videomae,driveact,448,0.2966310047641104,0.3110916050460442,0.08181313451776648,188.51280057502274,201.85259531476012,39.82900704012438
videomae,epic_kitchens,1020,0.17152192408773265,0.05251076484055657,0.00451181245594488,210.96616280755774,56.47396021710235,4.6183741305362
